,ltable_name,ltable_addr,ltable_city,ltable_phone,ltable_res_type,ltable_class,rtable_name,rtable_addr,rtable_city,rtable_phone,rtable_res_type,rtable_class,outcome
0,manora,' 3110 main st. ',` san francisco ',310/399 -4800,continental,433.0,` chinois on main ','67 n. raymond ave. ',` santa monica ',310-392-9025,` pacific new wave ',5.0,1
1,manora,' 3110 main st. ',` san francisco ',310/399 -4800,continental,433.0,` chinois on main ','67 n. raymond ave. ',` santa monica ',310-392-9025,italian,5.0,0
2,oceana,' 1829 peachtree rd. ',` san francisco ',310/399 -4800,american,162.0,` chinois on main ',' 3060 peachtree rd. ',` san francisco ',404-233-7673,` pacific new wave ',5.0,0
3,oceana,' 1829 peachtree rd. ',` san francisco ',310/399 -4800,american,162.0,` chinois on main ',' 3060 peachtree rd. ',` san francisco ',404-233-7673,` pacific new wave ',664.0,0
4,manora,' 1931 peachtree rd. ',` san francisco ',818/585 -0855,asian,162.0,` chinois on main ',' 2709 main st. ',` west la ',310-392-9025,` pacific new wave ',5.0,0
5,manora,' 3110 main st. ',` san francisco ',310/399 -4800,continental,140.0,` jan \ 's family restaurant ',' 2709 main st. ',` san francisco ',212-758-1479,` french bistro ',77.0,0
6,manora,' 1931 peachtree rd. ',` san francisco ',818/585 -0855,asian,162.0,` chinois on main ',' 2709 main st. ',` west la ',310-652-4025,` pacific new wave ',5.0,0
7,manora,' 3110 main st. ',` san francisco ',213/938 -2863,continental,433.0,` chinois on main ','67 n. raymond ave. ',` santa monica ',310-392-9025,italian,5.0,1
8,manora,' 129 e. fremont st. ',` san francisco ',310/399 -4800,italian,162.0,` ritz-carlton dining room ( buckhead ) ',' 595 piedmont ave. ',` santa monica ',310-550-8811,chinese,5.0,0
9,manora,' 1931 peachtree rd. ',` san francisco ',818/585 -0855,asian,494.0,` chinois on main ',' 2709 main st. ',` west la ',310-652-4025,` pacific new wave ',5.0,0
