,ltable_id,ltable_title,ltable_category,ltable_brand,ltable_modelno,ltable_price,rtable_id,rtable_title,rtable_category,rtable_brand,rtable_modelno,rtable_price,match
0,1853,sony 16gb class 4 sd memory card,usb drives,sony,sf16n4/tqp,0.0,2139,pny 4gb class 4 navy sd card,car audio video,pny,p-sdhc4g4-ef / navy,11.18,0.04462985
1,2115,da-lite high power model b manual screen with csr - 84 x 84 av format,electronics - general,da-lite,85303,372.99,8789,da-lite advantage manual with csr - projection screen - 133 in - 16 9 - high power,home audio theater,da-lite,,904.95,0.012875591
2,278,da-lite hc cinema vision tensioned advantage electrol - av format 8 x 8 diagonal,electronics - general,da-lite,89939,2595.0,9064,hc da-mat tensioned advantage electrol - av format 50 x 50,projection screens,da-lite,,,0.001436599
3,2305,clickfree c2 500gb usb 3.0 portable external hard drive,hard drives,clickfree,hd527b3,84.98,2948,iomega skin 500 gb usb 2.0 portable external hard drive 35106 black,computers accessories,iomega,35106,94.49,3.5358643e-09
4,1543,apc battery backup 750va back-ups es 120v 10 outlet power supply power-saving ups be750g,electronics - general,apc,be750g,95.88,10366,apc be450g back-ups es 8-outlet 450va 120v uninterrupted power supply,batteries chargers accessories,apc,be450g,55.99,8.7880384e-05
5,88,balt wheasel easel adjustable melamine dry erase board white,stationery & office machinery,balt,33250,239.88,3269,balt inc. wheasel easel adjustable melamine dry erase board 28 3 4 x 59 1 2 white,laminating supplies,mayline,,134.45,0.191076
6,1718,kodak esp 3250 all-in-one printer value bundle,printers,,,58.0,11835,kodak esp 7 all-in-one printer,all-in-one printers,kodak,1252972,149.29,3.0214588e-11
7,1624,hp q3675a image transfer kit,printers,hp,q3675a,194.84,5013,hewlett packard q3675a image transfer kit for hp color laserjet 4650,cleaning repair,hp,q3675a,,0.00013166277
8,614,atrend-bbox a361-12cp b box series speaker,car stereos,atrend,a361-12cp,56.88,5969,atrend-bbox a362-12cp b box series dual speakers for ford f150 super crew cab 2009 and up 12-inch,coaxial speakers,atrend-bbox,a362-12cp,88.85,5.6979676e-13
9,768,accell ultraav displayport multi-monitor adapter,electronics - general,accell,k087b-005b,198.35,10397,accell ultraav b101b-003b display port with vga active adapter,,accell,b101b-003b,24.99,2.2224575e-07
10,2476,ifrogz ipod touch 4 luxe lean case white,mp3 accessories,ifrogz,it4ll-wht,24.99,18730,ifrogz luxe lean case for ipod touch 4g gun metal,cases,ifrogz,it4ll-gmt,11.99,0.0001452235
11,470,iogear gbu421w6 bluetooth usb micro adapter,networking,iogear,gbu421w6,14.84,10874,iogear bluetooth usb 2.1 micro adapter with tri-language package black,computers accessories,iogear,gbu421w6,15.17,4.2198935e-11
12,2223,da-lite matte white gray carpeted picture king w keystone eliminator - hdtv format 92 diagonal,electronics - general,da-lite,87062,343.99,10753,da-lite carpeted picture king with keystone eliminator - projection screen with tripod - 1 1 - matte white - black,projection screens,da-lite,with keystone eliminator,203.95,0.03195592
13,1512,uniden d1680 dect 6.0 with caller id and call waiting,electronics - general,uniden,d1680,33.84,19684,new-uniden d1660 dect 6.0 cordless phone system with call waiting caller id single-handset system - unnd1660,cordless telephones,uniden,,24.09,0.98550874
