,ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,ltable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,rtable_ABV,alteredAttributes,droppedValues,copiedValues,nomatch_score,match_score,attr_count
0,Rock Creek Red,Revival Brewing Co. .,American Amber / Red Ale,-,Alley Kat Rocky Mountain Red Ale &#40; The Cheesecake Cafe &#41;,Alley Kat Brewing Company,Irish Ale,-,"('ltable_Beer_Name', 'ltable_ABV')","['Rocky Point Red Ale', '5.50 %']","['Rock Creek Red', '-']",0.21560515,0.78439486,2
14,Rocky Point Red Ale,Revival Brewing Co. .,American Amber / Red Ale,5.50 %,Block Alias Amber,Alley Kat Brewing Company,Irish Ale,5.90 %,"('rtable_Beer_Name', 'rtable_ABV')","['Alley Kat Rocky Mountain Red Ale &#40; The Cheesecake Cafe &#41;', '-']","['Block Alias Amber', '5.90 %']",0.23719548,0.76280445,2
8,Rocky Point Red Ale,Revival Brewing Co. .,American Amber / Red Ale,5.50 %,De Rustica Red Pyment,Alley Kat Brewing Company,Mead,-,"('rtable_Beer_Name', 'rtable_Style')","['Alley Kat Rocky Mountain Red Ale &#40; The Cheesecake Cafe &#41;', 'Irish Ale']","['De Rustica Red Pyment', 'Mead']",0.27732024,0.7226798,2
7,Rocky Point Red Ale,Revival Brewing Co. .,American Amber / Red Ale,5.50 %,De Rustica Red Pyment,De Rustica Meadery,Irish Ale,-,"('rtable_Beer_Name', 'rtable_Brew_Factory_Name')","['Alley Kat Rocky Mountain Red Ale &#40; The Cheesecake Cafe &#41;', 'Alley Kat Brewing Company']","['De Rustica Red Pyment', 'De Rustica Meadery']",0.20989613,0.7901038,2
6,Rocky Point Red Ale,Revival Brewing Co. .,American Amber / Red Ale,5.50 %,De Rustica Red Pyment,Alley Kat Brewing Company,Irish Ale,-,"('rtable_Beer_Name',)",['Alley Kat Rocky Mountain Red Ale &#40; The Cheesecake Cafe &#41;'],['De Rustica Red Pyment'],0.23383655,0.76616347,2
9,Rocky Point Red Ale,Revival Brewing Co. .,American Amber / Red Ale,5.50 %,De Rustica Red Pyment,Alley Kat Brewing Company,Irish Ale,-,"('rtable_Beer_Name', 'rtable_ABV')","['Alley Kat Rocky Mountain Red Ale &#40; The Cheesecake Cafe &#41;', '-']","['De Rustica Red Pyment', '-']",0.23383655,0.76616347,2
4,Rocky Point Red Ale,Revival Brewing Co. .,American Amber / Red Ale,5.50 %,Circle Devil_s Envy,Circle Brewing Company,Irish Ale,4.80 %,"('rtable_Beer_Name', 'rtable_Brew_Factory_Name', 'rtable_ABV')","['Alley Kat Rocky Mountain Red Ale &#40; The Cheesecake Cafe &#41;', 'Alley Kat Brewing Company', '-']","['Circle Devil_s Envy', 'Circle Brewing Company', '4.80 %']",0.4800058,0.51999414,3
2,Rock Creek Red,Revival Brewing Co. .,American Amber / Red Ale,-,Alley Kat Rocky Mountain Red Ale &#40; The Cheesecake Cafe &#41;,Alley Kat Brewing Company,Irish Ale,-,"('ltable_Beer_Name', 'ltable_Style', 'ltable_ABV')","['Rocky Point Red Ale', 'American Amber / Red Ale', '5.50 %']","['Rock Creek Red', 'American Amber / Red Ale', '-']",0.21560515,0.78439486,3
18,Rocky Point Red Ale,Revival Brewing Co. .,American Amber / Red Ale,5.50 %,Kern River Double Dirty Hippie,Kern River Brewing,American Strong Ale,-,"('rtable_Beer_Name', 'rtable_Brew_Factory_Name', 'rtable_Style')","['Alley Kat Rocky Mountain Red Ale &#40; The Cheesecake Cafe &#41;', 'Alley Kat Brewing Company', 'Irish Ale']","['Kern River Double Dirty Hippie', 'Kern River Brewing', 'American Strong Ale']",0.4461405,0.55385953,3
10,Rocky Point Red Ale,Revival Brewing Co. .,American Amber / Red Ale,5.50 %,De Rustica Red Pyment,De Rustica Meadery,Mead,-,"('rtable_Beer_Name', 'rtable_Brew_Factory_Name', 'rtable_Style')","['Alley Kat Rocky Mountain Red Ale &#40; The Cheesecake Cafe &#41;', 'Alley Kat Brewing Company', 'Irish Ale']","['De Rustica Red Pyment', 'De Rustica Meadery', 'Mead']",0.17178467,0.82821536,3
