,ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,ltable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,rtable_ABV,outcome
0,Bushfire American Red,Granite Falls Brewing Co. .,American Amber / Red Ale,5.00 %,Mammoth Real McCoy Amber Ale,Granite Falls Brewing Company,Amber Ale,8.50 %,0
1,Bushfire American Red,Granite Falls Brewing Co. .,American Amber / Red Ale,5.00 %,Lompoc Bourbon Barrel Aged Old Tavern Rat,Custom Brewcrafters,Amber Ale,5 %,0
2,Bushfire American Red,Central City Brewers + Distillers,American Amber / Red Ale,5.00 %,Granite Falls Bushfire American Red Ale,Granite Falls Brewing Company,Amber Ale,8.79 %,0
3,Inception Series - Runnin ' With The Devil,Granite Falls Brewing Co. .,American Amber / Red Ale,5.00 %,Granite Falls Bushfire American Red Ale,Granite Falls Brewing Company,Amber Ale,5 %,1
4,Bushfire American Red,Granite Falls Brewing Co. .,American Amber / Red Ale,5.00 %,Mammoth Real McCoy Amber Ale,Granite Falls Brewing Company,Amber Ale,5 %,0
5,Bushfire American Red,Granite Falls Brewing Co. .,American Amber / Red Ale,5.00 %,Mammoth Real McCoy Amber Ale,Custom Brewcrafters,Amber Ale,5 %,0
6,Bushfire American Red,Central City Brewers + Distillers,American Amber / Red Ale,5.00 %,Granite Falls Bushfire American Red Ale,Granite Falls Brewing Company,Amber Ale,7.40 %,0
7,Bushfire American Red,Central City Brewers + Distillers,American Amber / Red Ale,5.00 %,Granite Falls Bushfire American Red Ale,Granite Falls Brewing Company,Amber Ale,8.20 %,0
8,Brewmaster 's Reserve Imperial Red Ale,Granite Falls Brewing Co. .,American Amber / Red Ale,5.00 %,Granite Falls Bushfire American Red Ale,Granite Falls Brewing Company,Barley Wine,5 %,0
9,Rocket City Red,Granite Falls Brewing Co. .,American Amber / Red Ale,5.00 %,Granite Falls Bushfire American Red Ale,Rock Bottom La Jolla,Amber Ale,5 %,0
