,label,ltable_Song_Name,ltable_Artist_Name,ltable_Album_Name,ltable_Genre,ltable_Price,ltable_CopyRight,ltable_Time,ltable_Released,rtable_Song_Name,rtable_Artist_Name,rtable_Album_Name,rtable_Genre,rtable_Price,rtable_CopyRight,rtable_Time,rtable_Released,alteredAttributes,droppedValues,copiedValues,classes,labels,nomatch_score,match_score,attr_count
0,,This Is What Makes Us Girls,Zedd,True Colors,"Dance , Music , Electronic",$ 1.29,2015 Interscope Records,6:30,18-May-15,Illusion [ feat . Echosmith ],Zedd,True Colors,Dance & Electronic,$ 1.29,( C ) 2015 Interscope Records,6:25,"May 18 , 2015","('ltable_Song_Name',)",['Illusion ( feat . Echosmith )'],['This Is What Makes Us Girls'],0,0,0.91973734,0.0802626,2
30,,Illusion ( feat . Echosmith ),Zedd,True Colors,"Dance , Music , Electronic",$ 1.29,2015 Interscope Records,6:30,18-May-15,Illusion [ feat . Echosmith ],Zedd,# 31 : Days to Remember,Dance & Electronic,$ 1.29,( C ) 2015 Interscope Records,6:25,"May 18 , 2015","('rtable_Album_Name',)",['True Colors'],['# 31 : Days to Remember'],0,0,0.6546633,0.34533674,2
29,,Illusion ( feat . Echosmith ),Zedd,True Colors,"Dance , Music , Electronic",$ 1.29,2015 Interscope Records,6:30,18-May-15,Illusion [ feat . Echosmith ],Adventures in Odyssey,True Colors,Dance & Electronic,$ 1.29,( C ) 2015 Interscope Records,6:25,"May 18 , 2015","('rtable_Artist_Name',)",['Zedd'],['Adventures in Odyssey'],0,0,0.92594385,0.07405613,2
28,,Illusion ( feat . Echosmith ),Zedd,True Colors,"Dance , Music , Electronic",$ 1.29,2015 Interscope Records,6:30,18-May-15,409 : Natural Born Leader,Zedd,True Colors,Dance & Electronic,$ 1.29,( C ) 2015 Interscope Records,6:25,"May 18 , 2015","('rtable_Song_Name',)",['Illusion [ feat . Echosmith ]'],['409 : Natural Born Leader'],0,0,0.5449864,0.45501354,2
27,,Illusion ( feat . Echosmith ),Zedd,True Colors,"Dance , Music , Electronic",$ 1.29,2015 Interscope Records,6:30,18-May-15,Illusion [ feat . Echosmith ],Zedd,True Colors,Dance & Electronic,$ 1.29,( C ) 2015 Interscope Records,21:52,"May 18 , 2015","('rtable_Time',)",['6:25'],['21:52'],0,0,0.50610095,0.49389908,2
26,,Illusion ( feat . Echosmith ),Zedd,True Colors,"Dance , Music , Electronic",$ 1.29,2015 Interscope Records,6:30,18-May-15,Illusion [ feat . Echosmith ],Zedd,# 26 : Back on the Air,Dance & Electronic,$ 1.29,( C ) 2015 Interscope Records,6:25,"May 18 , 2015","('rtable_Album_Name',)",['True Colors'],['# 26 : Back on the Air'],0,0,0.79203254,0.20796749,2
25,,Illusion ( feat . Echosmith ),Zedd,True Colors,"Dance , Music , Electronic",$ 1.29,2015 Interscope Records,6:30,18-May-15,Illusion [ feat . Echosmith ],Adventures in Odyssey,True Colors,Dance & Electronic,$ 1.29,( C ) 2015 Interscope Records,6:25,"May 18 , 2015","('rtable_Artist_Name',)",['Zedd'],['Adventures in Odyssey'],0,0,0.92594385,0.07405613,2
24,,Illusion ( feat . Echosmith ),Zedd,True Colors,"Dance , Music , Electronic",$ 1.29,2015 Interscope Records,6:30,18-May-15,343 : The Pretty Good Samaritan,Zedd,True Colors,Dance & Electronic,$ 1.29,( C ) 2015 Interscope Records,6:25,"May 18 , 2015","('rtable_Song_Name',)",['Illusion [ feat . Echosmith ]'],['343 : The Pretty Good Samaritan'],0,0,0.92552555,0.07447449,2
23,,Illusion ( feat . Echosmith ),Zedd,True Colors,"Dance , Music , Electronic",$ 1.29,2015 Interscope Records,6:30,18-May-15,Illusion [ feat . Echosmith ],Zedd,True Colors,Dance & Electronic,$ 1.29,( C ) 2015 Interscope Records,22:05,"May 18 , 2015","('rtable_Time',)",['6:25'],['22:05'],0,0,0.5256989,0.4743011,2
22,,Illusion ( feat . Echosmith ),Zedd,True Colors,"Dance , Music , Electronic",$ 1.29,2015 Interscope Records,6:30,18-May-15,Illusion [ feat . Echosmith ],Adventures in Odyssey,True Colors,Dance & Electronic,$ 1.29,( C ) 2015 Interscope Records,6:25,"May 18 , 2015","('rtable_Artist_Name',)",['Zedd'],['Adventures in Odyssey'],0,0,0.92594385,0.07405613,2
21,,Illusion ( feat . Echosmith ),Zedd,True Colors,"Dance , Music , Electronic",$ 1.29,2015 Interscope Records,6:30,18-May-15,Illusion [ feat . Echosmith ],Zedd,True Colors,Dance & Electronic,$ 1.29,( C ) 2015 Interscope Records,22:04,"May 18 , 2015","('rtable_Time',)",['6:25'],['22:04'],0,0,0.64726025,0.35273978,2
20,,Illusion ( feat . Echosmith ),Zedd,True Colors,"Dance , Music , Electronic",$ 1.29,2015 Interscope Records,6:30,18-May-15,Illusion [ feat . Echosmith ],Adventures in Odyssey,True Colors,Dance & Electronic,$ 1.29,( C ) 2015 Interscope Records,6:25,"May 18 , 2015","('rtable_Artist_Name',)",['Zedd'],['Adventures in Odyssey'],0,0,0.92594385,0.07405613,2
19,,Illusion ( feat . Echosmith ),Zedd,True Colors,"Dance , Music , Electronic",$ 1.29,2015 Interscope Records,6:30,18-May-15,167 : Dobson Comes to Town,Zedd,True Colors,Dance & Electronic,$ 1.29,( C ) 2015 Interscope Records,6:25,"May 18 , 2015","('rtable_Song_Name',)",['Illusion [ feat . Echosmith ]'],['167 : Dobson Comes to Town'],0,0,0.69486594,0.30513403,2
18,,Illusion ( feat . Echosmith ),Zedd,True Colors,"Dance , Music , Electronic",$ 1.29,2015 Interscope Records,4:00,18-May-15,Illusion [ feat . Echosmith ],Zedd,True Colors,Dance & Electronic,$ 1.29,( C ) 2015 Interscope Records,6:25,"May 18 , 2015","('ltable_Time',)",['6:30'],['4:00'],0,0,0.5663549,0.4336452,2
17,,Illusion ( feat . Echosmith ),Zedd,Born To Die,"Dance , Music , Electronic",$ 1.29,2015 Interscope Records,6:30,18-May-15,Illusion [ feat . Echosmith ],Zedd,True Colors,Dance & Electronic,$ 1.29,( C ) 2015 Interscope Records,6:25,"May 18 , 2015","('ltable_Album_Name',)",['True Colors'],['Born To Die'],0,0,0.8943222,0.10567781,2
