,ltable_title,ltable_manufacturer,ltable_price,rtable_title,rtable_manufacturer,rtable_price,outcome
0,musicalis guitar workshop,intuit,39.95,quickbooks ( r ),nan,599.0,1
1,quickbooks point-of-sale basic 6.0,intuit,549.0,quickbooks ( r ),nan,178.99,1
2,musicalis guitar workshop,intuit,39.95,quickbooks ( r ),nan,249.95,1
3,learning quickbooks 2007,intuit,39.95,scrapbook designer platinum,apple software,178.99,1
4,learning quickbooks 2007,intuit,229.95,quickbooks ( r ),nan,178.99,1
5,instant immersion 33 languages,intuit,39.95,quickbooks ( r ),nan,399.99,1
6,instant immersion 33 languages,intuit,399.0,quickbooks ( r ),nan,178.99,1
7,microsoft office & windows training,intuit,39.95,microsoft ( r ) money 2007 premium,nan,178.99,1
8,instant immersion spanish 2.0,intuit,39.95,quickbooks ( r ),nan,17.55,1
9,learning quickbooks 2007,microsoft software,39.95,quickbooks ( r ),nan,178.99,1
