,ltable_name,ltable_addr,ltable_city,ltable_phone,ltable_res_type,ltable_class,rtable_name,rtable_addr,rtable_city,rtable_phone,rtable_res_type,rtable_class,outcome
0,joss,' 9255 sunset blvd. ',` los angeles ',310/276 -1886,asian,143.0,` la grenouille ',' 8358 sunset blvd. ',` w. hollywood ',213-848-6677,` french ( new ) ',586.0,1
1,joss,' 9255 sunset blvd. ',` los angeles ',310/276 -1886,` tel caribbean ',143.0,` fenix at the argyle ',' 8358 sunset blvd. ',` w. hollywood ',213-848-6677,` french ( new ) ',7.0,1
2,joss,' 9255 sunset blvd. ',` los angeles ',702/734 -0410,asian,143.0,` fenix at the argyle ',' 3700 w. flamingo rd. ',` w. hollywood ',213-848-6677,` french ( new ) ',7.0,1
3,joss,' 9255 sunset blvd. ',` los angeles ',310/276 -1886,asian,143.0,` trio cafe ',' 8358 sunset blvd. ',` w. hollywood ',213-848-6677,` french ( new ) ',7.0,1
4,` border grill ',' 9255 sunset blvd. ',` los angeles ',310/276 -1886,asian,143.0,` la grenouille ',' 8358 sunset blvd. ',` w. hollywood ',213-848-6677,` french ( new ) ',7.0,1
5,joss,' 9255 sunset blvd. ',` los angeles ',310/276 -1886,asian,143.0,` fenix at the argyle ',' 8358 sunset blvd. ',` w. hollywood ',213-848-6677,vegetarian,749.0,1
6,joss,' 9255 sunset blvd. ',` los angeles ',310/276 -1886,asian,162.0,` fenix at the argyle ',' 8358 sunset blvd. ',` w. hollywood ',213-848-6677,` french ( new ) ',657.0,1
7,joss,' 9255 sunset blvd. ',` los angeles ',310/276 -1886,asian,143.0,` fenix at the argyle ',' 3060 peachtree rd. ',pasadena,213-848-6677,` french ( new ) ',7.0,1
8,joss,' 9255 sunset blvd. ',` los angeles ',310/276 -1886,asian,143.0,` fenix at the argyle ',' 8358 sunset blvd. ',la,213-848-6677,scandinavian,7.0,1
9,` border grill ',' 9255 sunset blvd. ',` los angeles ',310/276 -1886,asian,143.0,` fenix at the argyle ',' 8358 sunset blvd. ',` w. hollywood ',213-848-6677,` french ( new ) ',7.0,1
