,ltable_name,ltable_addr,ltable_city,ltable_phone,ltable_res_type,ltable_class,rtable_name,rtable_addr,rtable_city,rtable_phone,rtable_res_type,rtable_class,alteredAttributes,droppedValues,copiedValues,nomatch_score,match_score,attr_count
0,` gallagher \ 's ',' 9255 sunset blvd. ',` new york ',310/276 -1886,asian,143,` fenix at the argyle ',' 8358 sunset blvd. ',` w. hollywood ',213-848-6677,` french ( new ) ',7,"('ltable_name', 'ltable_city')","['joss', ""` los angeles '""]","[""` gallagher \\ 's '"", ""` new york '""]",0.3818827,0.61811733,2
24,` peacock alley ',' 301 park ave. between 49th and 50th sts . ',` los angeles ',310/276 -1886,asian,143,` fenix at the argyle ',' 8358 sunset blvd. ',` w. hollywood ',213-848-6677,` french ( new ) ',7,"('ltable_name', 'ltable_addr')","['joss', ""' 9255 sunset blvd. '""]","[""` peacock alley '"", ""' 301 park ave. between 49th and 50th sts . '""]",0.1619885,0.83801156,2
16,` morton \ 's ',' 9255 sunset blvd. ',` new york ',310/276 -1886,asian,143,` fenix at the argyle ',' 8358 sunset blvd. ',` w. hollywood ',213-848-6677,` french ( new ) ',7,"('ltable_name', 'ltable_city')","['joss', ""` los angeles '""]","[""` morton \\ 's '"", ""` new york '""]",0.39256606,0.6074339,2
40,joss,' 9255 sunset blvd. ',` los angeles ',310/276 -1886,asian,143,` fenix at the argyle ',' 8358 sunset blvd. ',` w. hollywood ',213-848-6677,californian,577,"('rtable_res_type', 'rtable_class')","[""` french ( new ) '"", 7]","['californian', 577]",0.33533564,0.6646644,2
42,` pinot hollywood ',' 1448 n. gower st. ',` los angeles ',310/276 -1886,asian,143,` fenix at the argyle ',' 8358 sunset blvd. ',` w. hollywood ',213-848-6677,` french ( new ) ',7,"('ltable_name', 'ltable_addr')","['joss', ""' 9255 sunset blvd. '""]","[""` pinot hollywood '"", ""' 1448 n. gower st. '""]",0.3236892,0.67631084,2
8,` l \ ` orangerie ',' 9255 sunset blvd. ',` los angeles ',310/276 -1886,french,143,` fenix at the argyle ',' 8358 sunset blvd. ',` w. hollywood ',213-848-6677,` french ( new ) ',7,"('ltable_name', 'ltable_res_type')","['joss', 'asian']","[""` l \\ ` orangerie '"", 'french']",0.42066708,0.57933295,2
17,` morton \ 's ',' 9255 sunset blvd. ',` los angeles ',310/276 -1886,american,143,` fenix at the argyle ',' 8358 sunset blvd. ',` w. hollywood ',213-848-6677,` french ( new ) ',7,"('ltable_name', 'ltable_res_type')","['joss', 'asian']","[""` morton \\ 's '"", 'american']",0.4822982,0.5177018,2
41,joss,' 9255 sunset blvd. ',` los angeles ',310/276 -1886,asian,143,` fenix at the argyle ',' 8358 sunset blvd. ',` w. hollywood ',310-451-0843,californian,577,"('rtable_phone', 'rtable_res_type', 'rtable_class')","['213-848-6677', ""` french ( new ) '"", 7]","['310-451-0843', 'californian', 577]",0.33533564,0.6646644,3
44,` pinot hollywood ',' 1448 n. gower st. ',` los angeles ',213/461 -8800,asian,143,` fenix at the argyle ',' 8358 sunset blvd. ',` w. hollywood ',213-848-6677,` french ( new ) ',7,"('ltable_name', 'ltable_addr', 'ltable_phone')","['joss', ""' 9255 sunset blvd. '"", '310/276 -1886']","[""` pinot hollywood '"", ""' 1448 n. gower st. '"", '213/461 -8800']",0.3236892,0.67631084,3
45,` pinot hollywood ',' 1448 n. gower st. ',` los angeles ',310/276 -1886,californian,143,` fenix at the argyle ',' 8358 sunset blvd. ',` w. hollywood ',213-848-6677,` french ( new ) ',7,"('ltable_name', 'ltable_addr', 'ltable_res_type')","['joss', ""' 9255 sunset blvd. '"", 'asian']","[""` pinot hollywood '"", ""' 1448 n. gower st. '"", 'californian']",0.45209154,0.5479084,3
