,ltable_authors,ltable_title,ltable_venue,ltable_year,rtable_authors,rtable_title,rtable_venue,rtable_year,outcome
0,"michel tourn , man abrol , john wang , grace zhang , jianchang mao , uma mahadevan , rajat mukherjee , prabhakar raghavan , neil latarche",dynamic multi-resource load balancing in parallel database systems,vldb,1998.0,"man abrol , neil latarche , uma mahadevan , jianchang mao , rajat mukherjee , prabhakar raghavan , michel tourn , john wang , grace zhang",navigating large-scale semi-structured data in business portals,very large data bases,2001.0,0
1,"michel tourn , man abrol , john wang , grace zhang , jianchang mao , uma mahadevan , rajat mukherjee , prabhakar raghavan , neil latarche",navigating large-scale semi-structured data in business portals,vldb,2001.0,"man abrol , neil latarche , uma mahadevan , jianchang mao , rajat mukherjee , prabhakar raghavan , michel tourn , john wang , grace zhang","social , educational , and governmental change enabled through information technology",very large data bases,2001.0,0
2,"janet l. wiener , jason mchugh , serge abiteboul , qingshan luo , anand rajaraman , dallan quass , jeffrey d. ullman , roy goldman , hugo rivero , jennifer widom , svetlozar nestorov , kevin haas",navigating large-scale semi-structured data in business portals,vldb,2001.0,"daniel barbar &#225; - mill &#225; , hector garcia-molina",navigating large-scale semi-structured data in business portals,very large data bases,2001.0,0
3,"michel tourn , man abrol , john wang , grace zhang , jianchang mao , uma mahadevan , rajat mukherjee , prabhakar raghavan , neil latarche",navigating large-scale semi-structured data in business portals,vldb,2001.0,"man abrol , neil latarche , uma mahadevan , jianchang mao , rajat mukherjee , prabhakar raghavan , michel tourn , john wang , grace zhang",sql/xml is making good progress,very large data bases,2001.0,0
4,"andrew eisenberg , jim melton",navigating large-scale semi-structured data in business portals,vldb,2001.0,"man abrol , neil latarche , uma mahadevan , jianchang mao , rajat mukherjee , prabhakar raghavan , michel tourn , john wang , grace zhang",navigating large-scale semi-structured data in business portals,very large data bases,2001.0,0
5,"michel tourn , man abrol , john wang , grace zhang , jianchang mao , uma mahadevan , rajat mukherjee , prabhakar raghavan , neil latarche",navigating large-scale semi-structured data in business portals,vldb,2001.0,"man abrol , neil latarche , uma mahadevan , jianchang mao , rajat mukherjee , prabhakar raghavan , michel tourn , john wang , grace zhang",fast computation of sparse datacubes,very large data bases,2001.0,0
6,"michel tourn , man abrol , john wang , grace zhang , jianchang mao , uma mahadevan , rajat mukherjee , prabhakar raghavan , neil latarche",lore : a lightweight object repository for semistructured data,vldb,1995.0,"man abrol , neil latarche , uma mahadevan , jianchang mao , rajat mukherjee , prabhakar raghavan , michel tourn , john wang , grace zhang",navigating large-scale semi-structured data in business portals,very large data bases,2001.0,0
7,"michel tourn , man abrol , john wang , grace zhang , jianchang mao , uma mahadevan , rajat mukherjee , prabhakar raghavan , neil latarche",partitioned garbage collection of large object store,vldb,2001.0,"man abrol , neil latarche , uma mahadevan , jianchang mao , rajat mukherjee , prabhakar raghavan , michel tourn , john wang , grace zhang",navigating large-scale semi-structured data in business portals,very large data bases,2001.0,0
8,"barbara liskov , umesh maheshwari",navigating large-scale semi-structured data in business portals,vldb,2001.0,"man abrol , neil latarche , uma mahadevan , jianchang mao , rajat mukherjee , prabhakar raghavan , michel tourn , john wang , grace zhang",navigating large-scale semi-structured data in business portals,very large data bases,2001.0,0
9,"michel tourn , man abrol , john wang , grace zhang , jianchang mao , uma mahadevan , rajat mukherjee , prabhakar raghavan , neil latarche",navigating large-scale semi-structured data in business portals,vldb,2001.0,"man abrol , neil latarche , uma mahadevan , jianchang mao , rajat mukherjee , prabhakar raghavan , michel tourn , john wang , grace zhang",navigating large-scale semi-structured data in business portals,acm sigmod record,1994.0,0
