,ltable_manufacturer,ltable_price,ltable_title,rtable_manufacturer,rtable_price,rtable_title,outcome
0,global-software-publishing,99.95,instant immersion ingles audio deluxe,sibelius-software-ltd .,229.95,microsoft excel 2007 ( pc ),1
1,global-software-publishing,99.95,microsoft publisher 2007 version upgrade,global-software-publishing,179.95,microsoft excel 2007 ( pc ),1
2,apple,9.99,microsoft publisher 2007 version upgrade,apple software,229.95,microsoft excel 2007 ( pc ),1
3,apple,99.95,microsoft publisher 2007 version upgrade,apple software,229.95,final-draft final draft av 2.5 screenwriting software mac/win screen writing software,1
4,global-software-publishing,99.95,microsoft publisher 2007 version upgrade,riverdeep-learning-company,199.95,microsoft excel 2007 ( pc ),1
5,sony-pictures-digital-entertainment,99.95,microsoft publisher 2007 version upgrade,sibelius-software-ltd .,229.95,microsoft excel 2007 ( pc ),1
6,global-software-publishing,99.95,microsoft publisher 2007 version upgrade,riverdeep-learning-company,229.95,microsoft excel 2007 ( pc ),1
7,sony-pictures-digital-entertainment,99.95,microsoft publisher 2007 version upgrade,global-software-publishing,229.95,microsoft excel 2007 ( pc ),1
8,apple,99.95,microsoft publisher 2007 version upgrade,apple software,229.95,microsoft excel 2007 ( pc ),1
9,global-software-publishing,99.95,microsoft publisher 2007 version upgrade,sibelius-software-ltd .,229.95,instant immersion 33 languages,1
