,ltable_id,ltable_name,ltable_addr,ltable_city,ltable_phone,ltable_res_type,ltable_class,rtable_id,rtable_name,rtable_addr,rtable_city,rtable_phone,rtable_res_type,rtable_class,match,label
0,6,citrus,' 6703 melrose ave. ',` los angeles ',213/857 -0034,californian,6,230,` le chardonnay ( los angeles ) ',' 8284 melrose ave. ',` los angeles ',213-655-8880,` french bistro ',12,0.09650591760873795,0
1,22,` yujean kang \ 's gourmet chinese cuisine ','67 n. raymond ave. ',` los angeles ',818/585 -0855,asian,22,240,` yujean kang \ 's ','67 n. raymond ave. ',pasadena,818-585-0855,chinese,22,0.17940644919872284,1
2,501,oritalia,' 1915 fillmore st. ',` san francisco ',415/346 -1333,italian,501,214,` trio cafe ',' 1870 fillmore st. ',` san francisco ',415-563-2248,american,749,0.046245988458395004,0
3,38,` jo jo ',' 160 e. 64th st. ',` new york ',212/223 -5656,american,38,256,` jo jo ',' 160 e. 64th st. ',` new york city ',212-223-5656,` french bistro ',38,0.6355355381965637,1
4,70,` palace court ',' 3570 las vegas blvd. s ',` las vegas ',702/731 -7547,continental,70,130,` michael \ 's ( las vegas ) ',' 3595 las vegas blvd. s. ',` las vegas ',702-737-7111,continental,664,0.02536885067820549,0
5,384,` beesley \ 's of buckhead ',' 260 e. paces ferry road ',atlanta,404/264 -1334,continental,384,300,` hedgerose heights inn the ',' 490 e. paces ferry rd. ne ',atlanta,404-233-7673,continental,82,0.05549750104546547,0
6,76,` bone \ 's ',' 3130 piedmont road ',atlanta,404/237 -2663,american,76,26,` joe \ 's ',' 1023 abbot kinney blvd. ',venice,310-399-5811,` american ( new ) ',560,0.03991593420505524,0
7,147,` le colonial ',' 8783 beverly blvd. ',` los angeles ',310/289 -0660,asian,144,23,` jan \ 's family restaurant ',' 8424 beverly blvd. ',la,213-651-2866,` coffee shops ',557,0.04445495456457138,0
8,83,` heera of india ',' 595 piedmont ave. rio shopping mall ',atlanta,404/876 -4408,asian,83,301,` heera of india ',' 595 piedmont ave. ',atlanta,404-876-4408,indian,83,0.5039269924163818,1
9,90,` dining room ritz-carlton buckhead ',' 3434 peachtree rd. ',atlanta,404/237 -2700,international,90,148,` brookhaven cafe ',' 4274 peachtree rd. ',atlanta,404-231-5907,vegetarian,682,0.06971009075641632,0
10,197,bruno,' 240 e. 58th st. ',` new york ',212/688 -4190,italian,195,251,felidia,' 243 e. 58th st. ',` new york city ',212-758-1479,italian,33,0.05314573645591736,0
11,119,` border grill ',' 4th st. ',` los angeles ',310/451 -1655,mexican,116,82,` jackson diner ',' 37-03 74th st. ',queens,718-672-1232,indian,616,0.3543633222579956,0
12,68,` coyote cafe ',' 3799 las vegas blvd. s ',` las vegas ',702/891 -7349,southwestern,68,288,` palace court ',' 3570 las vegas blvd. s. ',` las vegas ',702-731-7110,` french ( new ) ',70,0.031714972108602524,0
13,143,` jack sprat \ 's grill ',' 10668 w. pico blvd. ',` los angeles ',310/837 -6662,` health food ',140,0,` apple pan the ',' 10801 w. pico blvd. ',` west la ',310-475-3585,american,534,0.03214806690812111,0
14,437,` circus circus ',' 2880 las vegas blvd. s ',` las vegas ',702/734 -0410,buffets,437,130,` michael \ 's ( las vegas ) ',' 3595 las vegas blvd. s. ',` las vegas ',702-737-7111,continental,664,0.034132231026887894,0
15,292,` le perigord ',' 405 e. 52nd st. ',` new york ',212/755 -6244,french,291,89,` la grenouille ',' 3 e. 52nd st. ',` new york city ',212-752-1495,` french ( classic ) ',623,0.06889444589614868,0
