,ltable_title,ltable_manufacturer,ltable_price,rtable_title,rtable_manufacturer,rtable_price,outcome
0,quickbooks point-of-sale basic 6.0,nolo press,59.99,quickbooks pro 2007 3 user,nan,409.52,1
1,quickbooks point-of-sale basic 6.0,hewlett-packard - ( consumables ),79.95,quickbooks pro 2007 3 user,nan,409.52,0
2,quickbooks point-of-sale basic 6.0,panda software,799.95,quickbooks pro 2007 3 user,sibelius-software-ltd .,409.52,1
3,quickbooks point-of-sale basic 6.0,intuit,39.99,quickbooks pro 2007 3 user,nan,409.52,1
4,microsoft licenses word olp c ( 05903871 ),intuit,799.95,quickbooks pro 2007 3 user,nan,12.9,1
5,quickbooks point-of-sale basic 6.0,aspyr media,799.95,quickbooks pro 2007 3 user,nan,178.99,1
6,learning quickbooks 2007,intuit,799.95,quickbooks pro 2007 3 user,nan,35.99,1
7,quickbooks point-of-sale basic 6.0,intuit,nan,quickbooks pro 2007 3 user,nan,36.11,1
8,quickbooks point-of-sale basic 6.0,intuit,799.95,quickbooks pro 2007 3 user,sibelius-software-ltd .,808.15,1
9,microsoft onenote 2007 upgrade,intuit,799.95,quickbooks pro 2007 3 user,nan,409.52,1
