,ltable_description,ltable_name,ltable_price,rtable_description,rtable_name,rtable_price,outcome
0,canon pink 8.0 megapixel powershot digital camera sd1100isp 8.0 megapixel 3x optical zoom 2.5 ' color lcd 18 shooting modes red-eye correction face detection technology isaps technology melody pink finish,lg 14 ' washer and dryer red pedestal with drawer wdp3r,nan,nan,lg electronics wdp3 laundry pedestal with drawer blue,nan,0
1,"canon black rechargeable battery 9612a001 lithium-ion technology compatible with canon digital rebel xt and powershot s series digital cameras also compatible with canon elura series , optura series and zr series camcorders black finish",lg 14 ' washer and dryer red pedestal with drawer wdp3r,nan,nan,lg electronics wdp3 laundry pedestal with drawer blue,nan,0
2,"lg 14 ' washer and dryer red pedestal with drawer wdp3r each drawer has storage for laundry bottles , boxes and more provides easy access to front loading doors by raising the washer and dryer by 14 ' minimizes bending and stooping at doors red finish",sony digital photo printer paper 120 pack svmf120p,nan,nan,lg electronics wdp3 laundry pedestal with drawer blue,nan,0
3,"lg 14 ' washer and dryer red pedestal with drawer wdp3r each drawer has storage for laundry bottles , boxes and more provides easy access to front loading doors by raising the washer and dryer by 14 ' minimizes bending and stooping at doors red finish",lg 14 ' washer and dryer red pedestal with drawer wdp3r,nan,nan,belkin neoprene sleeve for macbook air neoprene black,nan,0
4,"audiovox commander mt xm satellite radio receiver xmrvrfm002 , dual line display tuneselect feature universal connector scan and jump features full function remote black finish",lg 14 ' washer and dryer red pedestal with drawer wdp3r,nan,nan,lg electronics wdp3 laundry pedestal with drawer blue,nan,0
5,sony dsch10 cyber-shot black digital camera dsch10b 8.1 megapixels 3.0 ' lcd display carl zeiss 10x optical zoom lens 31 mb internal memory versatile flash advanced sports mode 9-point auto focus high sensitivity mode burst mode face detection in-camera retouching super steadyshot optical image stabilization with anti-blur solution music slideshow hdtv compatibility stamina battery power beginner-friendly function guide black finish,lg 14 ' washer and dryer red pedestal with drawer wdp3r,nan,nan,lg electronics wdp3 laundry pedestal with drawer blue,nan,0
6,panasonic black 8.5 ' portable dvd player dvdls83 8.5 ' free style wide screen lcd display 6 hour battery multi format playback dual headphone jacks divx playback car dc adapter included black finish,lg 14 ' washer and dryer red pedestal with drawer wdp3r,nan,nan,lg electronics wdp3 laundry pedestal with drawer blue,nan,0
7,sony np-fh100 infolithium h series standard rechargeable battery pack npfh100 compatible with most handycam camcorders black finish,lg 14 ' washer and dryer red pedestal with drawer wdp3r,nan,nan,lg electronics wdp3 laundry pedestal with drawer blue,nan,0
8,panasonic expandable digital cordless dect 6.0 handset in silver kxtga101s expansion handset and charger select 1000 series phone systems big buttons built-in clock with alarm silver finish,lg 14 ' washer and dryer red pedestal with drawer wdp3r,nan,nan,lg electronics wdp3 laundry pedestal with drawer blue,nan,0
9,"lg 14 ' washer and dryer red pedestal with drawer wdp3r each drawer has storage for laundry bottles , boxes and more provides easy access to front loading doors by raising the washer and dryer by 14 ' minimizes bending and stooping at doors red finish",lg 14 ' washer and dryer red pedestal with drawer wdp3r,nan,nan,canon powershot sd1100 is digital elph camera swing silver 2508b001,nan,0
