,label,ltable_title,ltable_category,ltable_brand,ltable_modelno,ltable_price,rtable_title,rtable_category,rtable_brand,rtable_modelno,rtable_price,alteredAttributes,droppedValues,copiedValues,classes,labels,nomatch_score,match_score,attr_count
0,,pendaflex rcy415215sgr - reinforced hanging file folders kraft letter standard green 25,stationery & office machinery,,4152x2,24.94,pendaflex rcy415215sgr - reinforced hanging file folders kraft letter standard green 25 box,printers,pendaflex,,,"('ltable_title',)",['pendaflex 2 reinforced hanging file folder standard green 25 box'],['pendaflex rcy415215sgr - reinforced hanging file folders kraft letter standard green 25'],1,0,0.0011881829,0.99881184,2
26,,pendaflex 2 reinforced hanging file folder standard green 25 box,stationery & office machinery,,4152x2,,pendaflex rcy415215sgr - reinforced hanging file folders kraft letter standard green 25 box,printers,pendaflex,,,"('ltable_price',)",[24.94],[nan],1,0,0.1531535,0.84684646,2
25,,pendaflex 2 reinforced hanging file folder standard green 25 box,stationery & office machinery,,,24.94,pendaflex rcy415215sgr - reinforced hanging file folders kraft letter standard green 25 box,printers,pendaflex,,,"('ltable_modelno',)",['4152x2'],[nan],1,0,0.0040873615,0.9959126,2
24,,pendaflex 2 reinforced hanging file folder standard green 25 box,printers,,4152x2,24.94,pendaflex rcy415215sgr - reinforced hanging file folders kraft letter standard green 25 box,printers,pendaflex,,,"('ltable_category',)",['stationery & office machinery'],['printers'],1,0,0.015591148,0.9844089,2
23,,pendaflex rcy415215sgr,stationery & office machinery,,4152x2,24.94,pendaflex rcy415215sgr - reinforced hanging file folders kraft letter standard green 25 box,printers,pendaflex,,,"('ltable_title',)",['pendaflex 2 reinforced hanging file folder standard green 25 box'],['pendaflex rcy415215sgr'],1,0,0.0015055012,0.9984945,2
22,,pendaflex 2 reinforced hanging file folder standard green 25 box,stationery & office machinery,,4152x2,24.94,pendaflex rcy415215sgr - reinforced hanging file folders kraft letter standard green 25 box,printers,pendaflex,4152x2,,"('rtable_modelno',)",[nan],['4152x2'],1,0,0.0013678272,0.99863213,2
21,,pendaflex 2 reinforced hanging file folder standard green 25 box,stationery & office machinery,,4152x2,24.94,pendaflex rcy415215sgr - reinforced hanging file folders kraft letter standard green 25 box,office machinery,pendaflex,,,"('rtable_category',)",['printers'],['office machinery'],1,0,0.029822202,0.97017777,2
20,,pendaflex 2 reinforced hanging file folder standard green 25 box,stationery & office machinery,,4152x2,24.94,pendaflex rcy415215sgr - reinforced hanging file folders kraft letter standard green 25 box,printers,pendaflex,4152x2,,"('rtable_modelno',)",[nan],['4152x2'],1,0,0.0013678272,0.99863213,2
19,,pendaflex 2 reinforced hanging file folder standard green 25 box,stationery & office machinery,,4152x2,24.94,pendaflex rcy415215sgr - reinforced hanging file folders kraft letter standard green 25 box,stationery & office machinery,pendaflex,,,"('rtable_category',)",['printers'],['stationery & office machinery'],1,0,0.07541033,0.9245897,2
18,,pendaflex 2 reinforced hanging file folder standard green 25 box,stationery & office machinery,,4152x2,,pendaflex rcy415215sgr - reinforced hanging file folders kraft letter standard green 25 box,printers,pendaflex,,,"('ltable_price',)",[24.94],[nan],1,0,0.15315352,0.84684646,2
17,,pendaflex 2 reinforced hanging file folder standard green 25 box,stationery & office machinery,,,24.94,pendaflex rcy415215sgr - reinforced hanging file folders kraft letter standard green 25 box,printers,pendaflex,,,"('ltable_modelno',)",['4152x2'],[nan],1,0,0.0040873615,0.9959126,2
16,,pendaflex 2 reinforced hanging file folder standard green 25 box,printers,,4152x2,24.94,pendaflex rcy415215sgr - reinforced hanging file folders kraft letter standard green 25 box,printers,pendaflex,,,"('ltable_category',)",['stationery & office machinery'],['printers'],1,0,0.015591148,0.9844089,2
15,,pendaflex 2 reinforced hanging file folder standard green 25 box,stationery & office machinery,,4152x2,,pendaflex rcy415215sgr - reinforced hanging file folders kraft letter standard green 25 box,printers,pendaflex,,,"('ltable_price',)",[24.94],[nan],1,0,0.15315352,0.84684646,2
27,,pendaflex 2 reinforced hanging file folder standard green 25 box,stationery & office machinery,,4152x2,24.94,pendaflex rcy415215sgr - reinforced hanging file folders kraft letter standard green 25 box,& office machinery,pendaflex,,,"('rtable_category',)",['printers'],['& office machinery'],1,0,0.0056027044,0.9943973,2
14,,pendaflex 2 reinforced hanging file folder standard green 25 box,stationery & office machinery,,,24.94,pendaflex rcy415215sgr - reinforced hanging file folders kraft letter standard green 25 box,printers,pendaflex,,,"('ltable_modelno',)",['4152x2'],[nan],1,0,0.0040873634,0.9959126,2
12,,pendaflex rcy415215sgr -,stationery & office machinery,,4152x2,24.94,pendaflex rcy415215sgr - reinforced hanging file folders kraft letter standard green 25 box,printers,pendaflex,,,"('ltable_title',)",['pendaflex 2 reinforced hanging file folder standard green 25 box'],['pendaflex rcy415215sgr -'],1,0,0.0016524427,0.9983475,2
11,,pendaflex 2 reinforced hanging file folder standard green 25 box,stationery & office machinery,,4152x2,,pendaflex rcy415215sgr - reinforced hanging file folders kraft letter standard green 25 box,printers,pendaflex,,,"('ltable_price',)",[24.94],[nan],1,0,0.1531535,0.84684646,2
10,,pendaflex 2 reinforced hanging file folder standard green 25 box,stationery & office machinery,,,24.94,pendaflex rcy415215sgr - reinforced hanging file folders kraft letter standard green 25 box,printers,pendaflex,,,"('ltable_modelno',)",['4152x2'],[nan],1,0,0.0040873634,0.9959126,2
9,,pendaflex 2 reinforced hanging file folder standard green 25 box,printers,,4152x2,24.94,pendaflex rcy415215sgr - reinforced hanging file folders kraft letter standard green 25 box,printers,pendaflex,,,"('ltable_category',)",['stationery & office machinery'],['printers'],1,0,0.015591148,0.9844089,2
8,,pendaflex rcy415215sgr - reinforced hanging file folders kraft letter standard,stationery & office machinery,,4152x2,24.94,pendaflex rcy415215sgr - reinforced hanging file folders kraft letter standard green 25 box,printers,pendaflex,,,"('ltable_title',)",['pendaflex 2 reinforced hanging file folder standard green 25 box'],['pendaflex rcy415215sgr - reinforced hanging file folders kraft letter standard'],1,0,0.0012987556,0.9987012,2
7,,pendaflex 2 reinforced hanging file folder standard green 25 box,stationery & office machinery,,4152x2,,pendaflex rcy415215sgr - reinforced hanging file folders kraft letter standard green 25 box,printers,pendaflex,,,"('ltable_price',)",[24.94],[nan],1,0,0.15315352,0.84684646,2
6,,pendaflex 2 reinforced hanging file folder standard green 25 box,stationery & office machinery,,,24.94,pendaflex rcy415215sgr - reinforced hanging file folders kraft letter standard green 25 box,printers,pendaflex,,,"('ltable_modelno',)",['4152x2'],[nan],1,0,0.0040873634,0.9959126,2
5,,pendaflex 2 reinforced hanging file folder standard green 25 box,printers,,4152x2,24.94,pendaflex rcy415215sgr - reinforced hanging file folders kraft letter standard green 25 box,printers,pendaflex,,,"('ltable_category',)",['stationery & office machinery'],['printers'],1,0,0.015591148,0.9844089,2
4,,pendaflex rcy415215sgr - reinforced hanging file folders kraft letter standard green,stationery & office machinery,,4152x2,24.94,pendaflex rcy415215sgr - reinforced hanging file folders kraft letter standard green 25 box,printers,pendaflex,,,"('ltable_title',)",['pendaflex 2 reinforced hanging file folder standard green 25 box'],['pendaflex rcy415215sgr - reinforced hanging file folders kraft letter standard green'],1,0,0.0012005629,0.99879944,2
3,,pendaflex 2 reinforced hanging file folder standard green 25 box,stationery & office machinery,,4152x2,,pendaflex rcy415215sgr - reinforced hanging file folders kraft letter standard green 25 box,printers,pendaflex,,,"('ltable_price',)",[24.94],[nan],1,0,0.15315352,0.84684646,2
2,,pendaflex 2 reinforced hanging file folder standard green 25 box,stationery & office machinery,,,24.94,pendaflex rcy415215sgr - reinforced hanging file folders kraft letter standard green 25 box,printers,pendaflex,,,"('ltable_modelno',)",['4152x2'],[nan],1,0,0.0040873634,0.9959126,2
1,,pendaflex 2 reinforced hanging file folder standard green 25 box,printers,,4152x2,24.94,pendaflex rcy415215sgr - reinforced hanging file folders kraft letter standard green 25 box,printers,pendaflex,,,"('ltable_category',)",['stationery & office machinery'],['printers'],1,0,0.015591148,0.9844089,2
13,,pendaflex 2 reinforced hanging file folder standard green 25 box,printers,,4152x2,24.94,pendaflex rcy415215sgr - reinforced hanging file folders kraft letter standard green 25 box,printers,pendaflex,,,"('ltable_category',)",['stationery & office machinery'],['printers'],1,0,0.015591148,0.9844089,2
28,,pendaflex 2 reinforced hanging file folder standard green 25 box,stationery & office machinery,,4152x2,24.94,pendaflex rcy415215sgr - reinforced hanging file folders kraft letter standard green 25 box,printers,pendaflex,4152x2,,"('rtable_modelno',)",[nan],['4152x2'],1,0,0.0013678272,0.99863213,2
