,ltable_addr,ltable_city,ltable_class,ltable_name,ltable_phone,ltable_res_type,rtable_addr,rtable_city,rtable_class,rtable_name,rtable_phone,rtable_res_type,outcome
0,' 3570 las vegas blvd. s ',` los angeles ',84.0,` palace court ',702/731 -7547,continental,' 3595 las vegas blvd. s. ',` las vegas ',664.0,` michael \ 's ( las vegas ) ',702-737-7111,continental,1
1,' 2355 peachtree rd. . peachtree battle shopping center ',` las vegas ',84.0,` palace court ',702/731 -7547,continental,' 3595 las vegas blvd. s. ',` las vegas ',664.0,` michael \ 's ( las vegas ) ',702-737-7111,continental,1
2,' 3570 las vegas blvd. s ',` las vegas ',74.0,` palace court ',702/731 -7547,buffets,' 3595 las vegas blvd. s. ',` las vegas ',664.0,` michael \ 's ( las vegas ) ',702-737-7111,continental,1
3,' 3570 las vegas blvd. s ',` las vegas ',144.0,` palace court ',702/731 -7547,continental,' 3595 las vegas blvd. s. ',` las vegas ',664.0,` michael \ 's ( las vegas ) ',702-737-7111,continental,1
4,' 3570 las vegas blvd. s ',` las vegas ',74.0,` palace court ',702/731 -7547,continental,' 3595 las vegas blvd. s. ',` las vegas ',664.0,` michael \ 's ( las vegas ) ',702-737-7111,caribbean,1
5,' 160 central park s ',` las vegas ',70.0,` palace court ',702/731 -7547,continental,' 3595 las vegas blvd. s. ',` las vegas ',70.0,` michael \ 's ( las vegas ) ',702-737-7111,continental,1
6,' 3570 las vegas blvd. s ',` las vegas ',84.0,` palace court ',702/731 -7547,continental,' 3595 las vegas blvd. s. ',` las vegas ',664.0,` michael \ 's ( las vegas ) ',702-893-0703,continental,1
7,' 3570 las vegas blvd. s ',` las vegas ',74.0,` palace court ',702/731 -7547,continental,' 3595 las vegas blvd. s. ',` las vegas ',664.0,` joe \ 's ',702-737-7111,continental,1
8,' 3570 las vegas blvd. s ',` las vegas ',70.0,` palace court ',702/731 -7547,continental,' 3595 las vegas blvd. s. ',` las vegas ',70.0,` michael \ 's ( las vegas ) ',702-737-7111,continental,1
9,' 3570 las vegas blvd. s ',` las vegas ',70.0,` palace court ',702/731 -7547,asian,' 3595 las vegas blvd. s. ',` las vegas ',70.0,` michael \ 's ( las vegas ) ',702-737-7111,continental,1
