,ltable_authors,ltable_title,ltable_venue,ltable_year,rtable_authors,rtable_title,rtable_venue,rtable_year,outcome
0,"e kќhn , t tschernko , k schwarz",deeds towards a distributed and active real-time database system,sigmod record,1996.0,"jm hellerstein , jf naughton , a pfeffer","andb . eftring , deeds : towards a distributed and active real-time database systems","acm sigmod record ,",nan,0
1,"a halverson , j burger , l galanis , a kini , r krishnamurthy , a rao , f tian , s viglas , y wang , j naughton , d dewitt",deeds towards a distributed and active real-time database system,sigmod record,1996.0,"sf andler , j hansson , j eriksson , j mellin , m",a dynamic model for conceptual clustering in object-oriented databases,"acm sigmod record ,",nan,0
2,"s andler , j hansson , j eriksson , j mellin , m berndtsson , b eftring",schemasql - a language for interoperability in relational multi-database systems,sigmod record,1996.0,"sf andler , j hansson , j eriksson , j mellin , m","andb . eftring , deeds : towards a distributed and active real-time database systems",proc . acm sigmod international conference on management of,nan,0
3,"s andler , j hansson , j eriksson , j mellin , m berndtsson , b eftring",dyda : data warehouse maintenance in fully concurrent environments,sigmod record,1999.0,"sf andler , j hansson , j eriksson , j mellin , m","andb . eftring , deeds : towards a distributed and active real-time database systems","acm sigmod record ,",nan,0
4,"s andler , j hansson , j eriksson , j mellin , m berndtsson , b eftring",deeds towards a distributed and active real-time database system,sigmod record,1996.0,"d agrawal , a el abbadi , a singh , t yurek","andb . eftring , deeds : towards a distributed and active real-time database systems","acm sigmod record ,",nan,0
5,"s andler , j hansson , j eriksson , j mellin , m berndtsson , b eftring",formal query languages for secure relational databases,sigmod record,1996.0,"sf andler , j hansson , j eriksson , j mellin , m","andb . eftring , deeds : towards a distributed and active real-time database systems","proceedings of the acm sigmod international conference on & hellip ; ,",nan,0
6,"s andler , j hansson , j eriksson , j mellin , m berndtsson , b eftring",grid data management systems & services,sigmod record,1996.0,"sf andler , j hansson , j eriksson , j mellin , m","andb . eftring , deeds : towards a distributed and active real-time database systems","acm sigmod record ,",nan,0
7,"s andler , j hansson , j eriksson , j mellin , m berndtsson , b eftring",deeds towards a distributed and active real-time database system,sigmod record,1996.0,"sf andler , j hansson , j eriksson , j mellin , m",modern database systems,"acm sigmod record ,",1999.0,0
8,"s andler , j hansson , j eriksson , j mellin , m berndtsson , b eftring",deeds towards a distributed and active real-time database system,sigmod record,1998.0,"s ramaswamy , s mahajan , a silberschatz","andb . eftring , deeds : towards a distributed and active real-time database systems","acm sigmod record ,",nan,0
9,"s andler , j hansson , j eriksson , j mellin , m berndtsson , b eftring",schemasql - a language for interoperability in relational multi-database systems,sigmod record,1996.0,"sf andler , j hansson , j eriksson , j mellin , m","andb . eftring , deeds : towards a distributed and active real-time database systems","acm sigmod record ,",nan,0
