,ltable_manufacturer,ltable_price,ltable_title,rtable_manufacturer,rtable_price,rtable_title,outcome
0,apple,109.95,microsoft word 2007 version upgrade,apple software,199.95,microsoft ( r ) money 2007 premium,1
1,global-software-publishing,273.0,microsoft word 2007 version upgrade,sibelius-software-ltd .,69.99,microsoft ( r ) money 2007 premium,1
2,me-too-software,109.95,final draft av 2.5 win/mac,riverdeep-learning-company,409.52,microsoft ( r ) money 2007 premium,1
3,sony-pictures-digital-entertainment,109.95,microsoft word 2007 version upgrade,sibelius-software-ltd .,99.95,microsoft microsoft office 2004 software suite mac apple & mac software,0
4,global-software-publishing,59.99,microsoft word 2007 version upgrade,sibelius-software-ltd .,69.99,164-04052 microsoft office publisher 2007 version upgrade package 1 pc cd win en,0
5,apple,109.95,microsoft onenote 2007 upgrade,apple software,199.95,microsoft ( r ) money 2007 premium,1
6,global-software-publishing,109.95,microsoft works suite 2006,global-software-publishing,17.24,poetry fiction and drama ( win/mac ) ( jewel case ) ( 10172 ),1
7,global-software-publishing,29.95,microsoft word 2007 version upgrade,sibelius-software-ltd .,145.99,web easy ( r ) professional 6,1
8,global-software-publishing,109.95,punch 5 in 1 home design,global-software-publishing,229.95,microsoft office 2004 student/teacher,1
9,global-software-publishing,109.95,final draft av 2.5 win/mac,sibelius-software-ltd .,17.24,topics entertainment instant immersion ingles audio deluxe,1
