,ltable_name,ltable_addr,ltable_city,ltable_phone,ltable_res_type,ltable_class,rtable_name,rtable_addr,rtable_city,rtable_phone,rtable_res_type,rtable_class,outcome
0,manora,' 3226 mission st. ',` las vegas ',415/861 -6224,asian,494.0,` dusit thai ',' 3221 mission st. ',` san francisco ',310-652-4025,thai,728.0,1
1,manora,' 3226 mission st. ',` san francisco ',415/861 -6224,southwestern,494.0,` dusit thai ',' 3221 mission st. ',` san francisco ',415-826-4639,thai,728.0,1
2,bruno,' 3226 mission st. ',` san francisco ',415/861 -6224,asian,74.0,` dusit thai ',' 3221 mission st. ',` san francisco ',415-826-4639,thai,728.0,1
3,manora,' 3400 las vegas blvd. s ',` san francisco ',415/861 -6224,asian,92.0,` dusit thai ',' 3221 mission st. ',` san francisco ',415-826-4639,thai,728.0,1
4,` tommy tang \ 's ',' 3226 mission st. ',` san francisco ',415/861 -6224,asian,494.0,` dusit thai ',' 3221 mission st. ',` san francisco ',415-826-4639,thai,670.0,1
5,` hedgerose heights inn ',' 3226 mission st. ',` san francisco ',415/861 -6224,asian,494.0,` dusit thai ',' 3221 mission st. ',` san francisco ',415-826-4639,thai,728.0,1
6,dive !,' 3226 mission st. ',` san francisco ',415/861 -6224,asian,494.0,` dusit thai ',' 3221 mission st. ',` san francisco ',415-826-4639,thai,38.0,1
7,manora,' 3226 mission st. ',` san francisco ',415/861 -6224,asian,494.0,` dusit thai ',' 3221 mission st. ',` san francisco ',310-545-5177,continental,728.0,0
8,manora,' 3226 mission st. ',` las vegas ',415/861 -6224,asian,448.0,` dusit thai ',' 3221 mission st. ',` san francisco ',415-826-4639,thai,728.0,1
9,manora,' 595 piedmont ave. rio shopping mall ',` san francisco ',415/861 -6224,asian,494.0,` dusit thai ',' 3221 mission st. ',` san francisco ',415-826-4639,thai,728.0,1
