,ltable_title,ltable_manufacturer,ltable_price,rtable_title,rtable_manufacturer,rtable_price,outcome
0,punch ! home design architectura series 18,punch ! software,399.0,punch software 26100 punch ! master landscape & home design architectural 1 user ( s ) pc,nan,45.97,1
1,punch ! home design architectura series 18,panda software,129.99,punch software 26100 punch ! master landscape & home design architectural 1 user ( s ) pc,nan,45.97,1
2,punch ! home design architectura series 18,punch ! software,129.99,microsoft ( r ) money 2007 premium,punch software,45.97,1
3,microsoft powerpoint 2004 ( mac ),punch ! software,129.99,punch software 26100 punch ! master landscape & home design architectural 1 user ( s ) pc,nan,45.97,1
4,microsoft visual studio professional 2005 upgrade,punch ! software,129.99,punch software 26100 punch ! master landscape & home design architectural 1 user ( s ) pc,sibelius-software-ltd .,45.97,1
5,punch ! home design architectura series 18,punch ! software,19.99,punch software 26100 punch ! master landscape & home design architectural 1 user ( s ) pc,nan,45.97,1
6,punch ! home design architectura series 18,punch ! software,129.99,adobe cs3 design standard upgrade,sibelius-software-ltd .,45.97,1
7,learning quickbooks 2007,punch ! software,129.99,punch software 26100 punch ! master landscape & home design architectural 1 user ( s ) pc,riverdeep-learning-company,45.97,1
8,microsoft powerpoint 2004 ( mac ),punch ! software,129.99,punch software 26100 punch ! master landscape & home design architectural 1 user ( s ) pc,punch software,45.97,1
9,punch ! home design architectura series 18,punch ! software,39.95,punch software 26100 punch ! master landscape & home design architectural 1 user ( s ) pc,global-software-publishing,45.97,1
