,ltable_ABV,ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,rtable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,outcome
0,5.60 %,Sanibel Red Island Ale,Rude Hippo Brewing Company,American Amber / Red Ale,6 %,Baranof Island Redoubt Red Ale,Anheuser-Busch InBev,Amber Ale,0
1,5.60 %,Sanibel Red Island Ale,Due South Brewing Co. .,American Amber / Red Ale,7.60 %,Baranof Island Redoubt Red Ale,Baranof Island Brewing Company,Amber Ale,0
2,5.60 %,Sanibel Red Island Ale,Point Ybel Brewing Company,American Barleywine,5.60 %,Baranof Island Redoubt Red Ale,Baranof Island Brewing Company,Amber Ale,1
3,5.60 %,Sanibel Red Island Ale,Point Ybel Brewing Company,American Amber / Red Ale,5.50 %,Baranof Island Redoubt Red Ale,Baranof Island Brewing Company,Amber Ale,0
4,5.60 %,Sanibel Red Island Ale,Blue Cat Brew Pub,American Amber / Red Ale,5.90 %,Baranof Island Redoubt Red Ale,Baranof Island Brewing Company,Amber Ale,0
5,5.60 %,Sanibel Red Island Ale,Point Ybel Brewing Company,American Amber / Red Ale,5.10 %,Bainbridge Island Arrow Point Amber,Baranof Island Brewing Company,Amber Ale,1
6,5.60 %,Sanibel Red Island Ale,Point Ybel Brewing Company,American Amber / Red Ale,4.60 %,Baranof Island Redoubt Red Ale,Baranof Island Brewing Company,Irish Ale,0
7,5.60 %,Sanibel Red Island Ale,The Pike Brewing Company,American Amber / Red Ale,6 %,Baranof Island Redoubt Red Ale,Baranof Island Brewing Company,Altbier,0
8,5.60 %,Sanibel Red Island Ale,Red Rock Brewing Company,American Barleywine,6 %,Baranof Island Redoubt Red Ale,Baranof Island Brewing Company,Amber Ale,0
9,5.60 %,Sanibel Red Island Ale,Point Ybel Brewing Company,American Amber / Red Ale,6.90 %,Baranof Island Redoubt Red Ale,Baranof Island Brewing Company,Amber Ale,1
