,label,ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,ltable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,rtable_ABV,alteredAttributes,droppedValues,copiedValues,classes,labels,nomatch_score,match_score,attr_count
0,,Inception Series - Runnin ' With The Devil,Nebraska Brewing Company,American Barleywine,11.90 %,Nebraska Inception Series Runnin _ with the Devil,18th Street Brewery,Imperial IPA,8.50 %,"('rtable_Beer_Name',)",['18th Street Deal With the Devil Pale Ale'],['Nebraska Inception Series Runnin _ with the Devil'],1,0,0.30389208,0.6961079,2
35,,Inception Series - Runnin ' With The Devil,Nebraska Brewing Company,American Barleywine,11.90 %,Four Peaks Hopsquatch Barleywine,Four Peaks Brewing Company,Imperial IPA,8.50 %,"('rtable_Beer_Name', 'rtable_Brew_Factory_Name')","['18th Street Deal With the Devil Pale Ale', '18th Street Brewery']","['Four Peaks Hopsquatch Barleywine', 'Four Peaks Brewing Company']",1,0,0.45997632,0.5400237,2
37,,Inception Series - Runnin ' With The Devil,Nebraska Brewing Company,American Barleywine,11.90 %,Hay Camp Hoplessness Barleywine,Hay Camp Brewing Company,Imperial IPA,8.50 %,"('rtable_Beer_Name', 'rtable_Brew_Factory_Name')","['18th Street Deal With the Devil Pale Ale', '18th Street Brewery']","['Hay Camp Hoplessness Barleywine', 'Hay Camp Brewing Company']",1,0,0.3498643,0.6501357,2
42,,Inception Series - Runnin ' With The Devil,Nebraska Brewing Company,American Barleywine,11.90 %,Smuttynose Smuttlabs Ol _ Grundy Humper,Smuttynose Brewing Company,Imperial IPA,8.50 %,"('rtable_Beer_Name', 'rtable_Brew_Factory_Name')","['18th Street Deal With the Devil Pale Ale', '18th Street Brewery']","['Smuttynose Smuttlabs Ol _ Grundy Humper', 'Smuttynose Brewing Company']",1,0,0.3811046,0.6188954,2
44,,Inception Series - Runnin ' With The Devil,Nebraska Brewing Company,American Barleywine,11.90 %,Drakes Rakish Ryewine,Drakes Brewing Company,Imperial IPA,8.50 %,"('rtable_Beer_Name', 'rtable_Brew_Factory_Name')","['18th Street Deal With the Devil Pale Ale', '18th Street Brewery']","['Drakes Rakish Ryewine', 'Drakes Brewing Company']",1,0,0.43595088,0.5640492,2
92,,Inception Series - Runnin ' With The Devil,Nebraska Brewing Company,American Barleywine,11.90 %,Devils Backbone Tectonic Barleywine,Devils Backbone Brewing Company,Imperial IPA,8.50 %,"('rtable_Beer_Name', 'rtable_Brew_Factory_Name')","['18th Street Deal With the Devil Pale Ale', '18th Street Brewery']","['Devils Backbone Tectonic Barleywine', 'Devils Backbone Brewing Company']",1,0,0.28030628,0.7196938,2
51,,Inception Series - Runnin ' With The Devil,Nebraska Brewing Company,American Barleywine,11.90 %,Union Craft Chessie Barleywine,18th Street Brewery,Imperial IPA,8.50 %,"('rtable_Beer_Name',)",['18th Street Deal With the Devil Pale Ale'],['Union Craft Chessie Barleywine'],1,0,0.16166282,0.8383372,2
52,,Inception Series - Runnin ' With The Devil,Nebraska Brewing Company,American Barleywine,11.90 %,Union Craft Chessie Barleywine,Union Craft Brewing Company,Imperial IPA,8.50 %,"('rtable_Beer_Name', 'rtable_Brew_Factory_Name')","['18th Street Deal With the Devil Pale Ale', '18th Street Brewery']","['Union Craft Chessie Barleywine', 'Union Craft Brewing Company']",1,0,0.16990612,0.83009386,2
53,,Inception Series - Runnin ' With The Devil,Nebraska Brewing Company,American Barleywine,11.90 %,Union Craft Chessie Barleywine,18th Street Brewery,Imperial IPA,9.80 %,"('rtable_Beer_Name', 'rtable_ABV')","['18th Street Deal With the Devil Pale Ale', '8.50 %']","['Union Craft Chessie Barleywine', '9.80 %']",1,0,0.3522479,0.6477521,2
58,,Inception Series - Runnin ' With The Devil,Nebraska Brewing Company,American Barleywine,11.90 %,Platt Park Astronaut Amber,Platt Park Brewing Company,Imperial IPA,8.50 %,"('rtable_Beer_Name', 'rtable_Brew_Factory_Name')","['18th Street Deal With the Devil Pale Ale', '18th Street Brewery']","['Platt Park Astronaut Amber', 'Platt Park Brewing Company']",1,0,0.4706714,0.52932864,2
