,ltable_description,ltable_name,ltable_price,rtable_description,rtable_name,rtable_price,outcome
0,sony np-fh100 infolithium h series standard rechargeable battery pack npfh100 compatible with most handycam camcorders black finish,sony np-fh100 infolithium h series standard rechargeable battery pack npfh100,nan,lithium ion ( li-ion ) 8.4 v dc photo battery,sony lcs-csh soft camera case lcscsh,nan,0
1,sony np-fh100 infolithium h series standard rechargeable battery pack npfh100 compatible with most handycam camcorders black finish,sony np-fh100 infolithium h series standard rechargeable battery pack npfh100,nan,lithium ion ( li-ion ) 8.4 v dc photo battery,7.0 cu . ft. super capacity electric dryer med5900tw,nan,0
2,"samsung 46 ' series 8 lcd black flat panel hdtv ln46a850 1920 x 1080p full hd resolution touch of color design pre-loaded content library dlna super slim depth narrow bezel auto motion plus 120hz 50,000:1 dynamic contrast ratio 4ms response time srs trusurround built-in digital tuner ( atsc/clear qam ) black with red accent finish",sony np-fh100 infolithium h series standard rechargeable battery pack npfh100,nan,lithium ion ( li-ion ) 8.4 v dc photo battery,sony np-fh100 lithium ion camcorder battery npfh100,nan,0
3,sony pink cyber-shot 7.2 megapixel digital camera dscw120p 7.2 megapixel 4x optical zoom 2.5 ' tft lcd 15 mb internal memory face detection super steadyshot image stabilization smile shutter mode smart zoom pink finish,sony np-fh100 infolithium h series standard rechargeable battery pack npfh100,nan,lithium ion ( li-ion ) 8.4 v dc photo battery,sony np-fh100 lithium ion camcorder battery npfh100,nan,0
4,sony np-fh100 infolithium h series standard rechargeable battery pack npfh100 compatible with most handycam camcorders black finish,sony np-fh100 infolithium h series standard rechargeable battery pack npfh100,nan,lithium ion ( li-ion ) 8.4 v dc photo battery,canon powershot sd1100 is digital elph camera swing silver 2508b001,nan,0
5,"lg 14 ' washer and dryer red pedestal with drawer wdp3r each drawer has storage for laundry bottles , boxes and more provides easy access to front loading doors by raising the washer and dryer by 14 ' minimizes bending and stooping at doors red finish",sony np-fh100 infolithium h series standard rechargeable battery pack npfh100,nan,lithium ion ( li-ion ) 8.4 v dc photo battery,sony np-fh100 lithium ion camcorder battery npfh100,nan,0
6,"samsung 22 ' black flat panel series 6 lcd hdtv ln22a650 1680 x 1050 true 720p resolution 5,000:1 dynamic contrast ratio srs trusurround xt built-in digital tuner ( atsc/clear qam ) wide color enhancer 8ms response time touch of color design black with red finish",sony np-fh100 infolithium h series standard rechargeable battery pack npfh100,nan,lithium ion ( li-ion ) 8.4 v dc photo battery,sony np-fh100 lithium ion camcorder battery npfh100,nan,0
7,sony np-fh100 infolithium h series standard rechargeable battery pack npfh100 compatible with most handycam camcorders black finish,sony np-fh100 infolithium h series standard rechargeable battery pack npfh100,nan,lithium ion ( li-ion ) 8.4 v dc photo battery,omnimount ultra low profile ulpt-l flat panel wall mount ulpt-l a,nan,0
8,panasonic dect 6.0 expandable digital cordless phone with all-digital answering system kxtg9344t 4 handsets system up to 6 multi-handset capability digital answering machine system ringer id call waiting caller id voicemail hold voice menu marker message mute clock alarm led lighting night mode call block speakerphone 11 days standby 5 hours talk time black metallic finish,sony np-fh100 infolithium h series standard rechargeable battery pack npfh100,nan,lithium ion ( li-ion ) 8.4 v dc photo battery,sony np-fh100 lithium ion camcorder battery npfh100,nan,0
9,canon powershot black 10 megapixel digital camera sx10is 20x optical zoom optical image stabilizer 10.0 megapixel 2.5 ' vari-angle lcd digic 4 image processor face detection self-timer intelligent contrast correction moviesnap mode print/share button black finish,sony np-fh100 infolithium h series standard rechargeable battery pack npfh100,nan,lithium ion ( li-ion ) 8.4 v dc photo battery,sony np-fh100 lithium ion camcorder battery npfh100,nan,0
