,ltable_ABV,ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,rtable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,outcome
0,8.50 %,Legends Of The Bay Giant 's Tomb,Smuttynose Brewing Company,American Amber / Red Ale,7.09 %,Legends of the Bay Giant_s Tomb,Ballast Point Brewing Company,American Strong Ale,0
1,4.50 %,Rocket City Red,Wellington County Brewery,American Amber / Red Ale,4.50 %,Worthy Eruption Imperial Red Ale,Ballast Point Brewing Company,American Strong Ale,1
2,8.50 %,Arrow Point Amber,Smuttynose Brewing Company,American Amber / Red Ale,7.40 %,Thomas Hooker Old Marley Barleywine,Ballast Point Brewing Company,American Strong Ale,1
3,4.50 %,Rocket City Red,Wellington County Brewery,American Amber / Red Ale,4.50 %,Worthy Eruption Imperial Red Ale,23rd Street Brewery,American Strong Ale,1
4,6.80 %,Bushfire American Red,Smuttynose Brewing Company,American Amber / Red Ale,10 %,Legends of the Bay Giant_s Tomb,Big Bear Lake Brewing Company,American Strong Ale,0
5,8.50 %,Arrow Point Amber,Smuttynose Brewing Company,American Amber / Red Ale,7.40 %,Thomas Hooker Old Marley Barleywine,Bridge Brewing Company,American Strong Ale,0
6,8.50 %,Arrow Point Amber,Smuttynose Brewing Company,American Amber / Red Ale,10 %,Thomas Hooker Old Marley Barleywine,Ballast Point Brewing Company,American Strong Ale,0
7,8.50 %,Bushfire American Red,Smuttynose Brewing Company,American Amber / Red Ale,10 %,Legends of the Bay Giant_s Tomb,Big Bear Lake Brewing Company,American Strong Ale,0
8,8.00 %,Rocket City Red,Bitter Root Brewing,American Barleywine,10 %,Winthrop Double Dry Hopped Amber,Ballast Point Brewing Company,American Strong Ale,0
9,4.50 %,Legends Of The Bay Giant 's Tomb,Ballast Point Brewing Company,American Amber / Red Ale,9.30 %,Legends of the Bay Giant_s Tomb,Ballast Point Brewing Company,American Strong Ale,1
