,ltable_ABV,ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,rtable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,outcome
0,5.60 %,Thomas Hooker Old Marley Barleywine,Central City Brewers + Distillers,American Amber / Red Ale,6.20 %,Legends of the Bay Giant_s Tomb,Heist Brewery,Amber Ale,0
1,5.60 %,Rocket City Red,Central City Brewers + Distillers,American Amber / Red Ale,6 %,Jazz Beer Tarraco Amber,Heist Brewery,California Common,1
2,5.60 %,Blue Bridge Amber Dry Hopped,Central City Brewers + Distillers,American Barleywine,11.25 %,Legends of the Bay Giant_s Tomb,Heist Brewery,Amber Ale,0
3,5.60 %,Rocket City Red,Central City Brewers + Distillers,American Amber / Red Ale,4.60 %,Intuition Barrel Aged Riverside Red,Heist Brewery,Barley Wine,1
4,5.60 %,Inception Series - Runnin ' With The Devil,Central City Brewers + Distillers,American Barleywine,8.60 %,Jazz Beer Tarraco Amber,Heist Brewery,Altbier,0
5,5.60 %,Rocket City Red,Central City Brewers + Distillers,American Amber / Red Ale,4.50 %,Intuition Barrel Aged Riverside Red,Heist Brewery,Barley Wine,1
6,5.60 %,Bushfire American Red,Central City Brewers + Distillers,American Amber / Red Ale,5.60 %,Sick N Twisted Pleasure Victim Amber Ale,Heist Brewery,Amber Ale,1
7,5.60 %,Thomas Hooker Old Marley Barleywine,Central City Brewers + Distillers,American Amber / Red Ale,6.20 %,Legends of the Bay Giant_s Tomb,Heist Brewery,California Common,1
8,5.60 %,Rocket City Red,Fifty West Brewing Co,American Amber / Red Ale,6 %,Jazz Beer Tarraco Amber,Heist Brewery,California Common,0
9,5.60 %,Red Ale Priprioca,Central City Brewers + Distillers,American Amber / Red Ale,4.50 %,Bainbridge Island Arrow Point Amber,Custom Brewcrafters,Spice/Herb/Vegetable,0
