,ltable_manufacturer,ltable_price,ltable_title,rtable_manufacturer,rtable_price,rtable_title,outcome
0,steinberg,79.99,final draft av 2.5 win/mac,nan,399.99,adobe after effects professional 7.0 software effects software,1
1,global-software-publishing,399.0,quicken legal business pro 2007,global-software-publishing,83.99,palo alto business plan pro 2007,1
2,hewlett-packard - ( consumables ),79.99,punch ! master landscape & home design,sibelius-software-ltd .,400.34,adobe cs3 design standard academic,1
3,global-software-publishing,399.0,quicken legal business pro 2007,global-software-publishing,83.99,instant immers japanese dlx 2 .,1
4,me-too-software,79.99,halo ( mac ),global-software-publishing,199.99,instant immersion 33 languages,1
5,me-too-software,79.99,microsoft office & windows training,global-software-publishing,145.99,scrapbook designer platinum,1
6,global-software-publishing,59.99,quicken legal business pro 2007,global-software-publishing,83.99,. mac ( mac ) apple,1
7,sony-pictures-digital-entertainment,79.99,quicken legal business pro 2007,global-software-publishing,24.58,microsoft office 2004 student/teacher,1
8,global-software-publishing,79.99,quicken legal business pro 2007,sibelius-software-ltd .,88.8,web easy ( r ) professional 6,1
9,sony-pictures-digital-entertainment,79.99,quicken legal business pro 2007,global-software-publishing,399.99,palo alto business plan pro 2007,1
