,ltable_manufacturer,ltable_price,ltable_title,rtable_manufacturer,rtable_price,rtable_title,outcome
0,global-software-publishing,799.95,quickbooks point-of-sale basic 6.0,sibelius-software-ltd .,409.52,quickbooks pro 2007 3 user,1
1,me-too-software,259.95,quickbooks point-of-sale basic 6.0,global-software-publishing,409.52,aspyr media inc sims 2 glamour life stuff pack,1
2,sony-pictures-digital-entertainment,799.95,quickbooks point-of-sale basic 6.0,global-software-publishing,539.95,web easy ( r ) professional 6,1
3,hewlett-packard - ( consumables ),799.95,microsoft powerpoint 2004 ( mac ),sibelius-software-ltd .,399.95,quickbooks pro 2007 3 user,1
4,global-software-publishing,1199.0,adobe creative suite cs3 production premium upsell,sibelius-software-ltd .,409.52,quickbooks pro 2007 3 user,1
5,apple,199.99,quickbooks point-of-sale basic 6.0,apple software,399.99,quickbooks pro 2007 3 user,1
6,sony-pictures-digital-entertainment,799.95,steinberg nuendo 3 digital audio software,global-software-publishing,539.95,web easy ( r ) professional 6,1
7,sony-pictures-digital-entertainment,799.95,quickbooks point-of-sale basic 6.0,riverdeep-learning-company,199.99,ghost recon gold edition ( dvd-rom ),1
8,global-software-publishing,9.99,microsoft onenote 2007 upgrade,global-software-publishing,409.52,punch software 26100 punch ! master landscape & home design architectural 1 user ( s ) pc,1
9,me-too-software,199.0,adobe indesign cs3 upgrade from pagemaker,sibelius-software-ltd .,199.99,quickbooks pro 2007 3 user,0
