,ltable_title,ltable_manufacturer,ltable_price,rtable_title,rtable_manufacturer,rtable_price,outcome
0,microsoft office 2004 professional ( mac ),microsoft,39.95,164-04052 microsoft office publisher 2007 version upgrade package 1 pc cd win en,nan,99.95,1
1,microsoft office 2004 professional ( mac ),microsoft,499.99,microsoft onenote 2007 ( pc ),nan,83.99,1
2,microsoft office 2004 professional ( mac ),microsoft,499.99,adobe photoshop elements 4.0 photo-editing software for mac,punch software,99.95,1
3,adobe cs3 design standard macosx dvd,microsoft,499.99,instant immers japanese dlx 2 .,nan,99.95,1
4,microsoft office 2004 professional ( mac ),microsoft,499.99,microsoft ( r ) windows ( r ) xp professional edition with sp2,riverdeep-learning-company,99.95,0
5,microsoft office 2004 professional ( mac ),microsoft,499.99,microsoft onenote 2007 ( pc ),apple software,79.99,1
6,microsoft office 2004 professional ( mac ),microsoft,499.99,microsoft onenote 2007 ( pc ),nan,45.97,1
7,microsoft office 2004 professional ( mac ),microsoft,nan,microsoft onenote 2007 ( pc ),nan,998.95,1
8,adobe dreamweaver cs3 [ mac ],adobe,499.99,microsoft onenote 2007 ( pc ),nan,99.95,1
9,microsoft office 2004 professional ( mac ),microsoft,499.99,production prem cs3 mac upgrad,nan,99.95,1
