,ltable_title,ltable_authors,ltable_venue,ltable_year,rtable_title,rtable_authors,rtable_venue,rtable_year,alteredAttributes,droppedValues,copiedValues,nomatch_score,match_score,attr_count
0,"a language based multidatabase system e kќhn , t tschernko , k schwarz sigmod conference",,,1994.0,"caratteristiche cinematiche di una corrente in un canale con variazione di scabrezza al fondo . proc. , 28th italian congress of hydraulic and waterworks , & hellip ; ,","a carravetta , r della morte",,,"('rtable_title', 'rtable_authors')","['a classification of multi-database languages parallel and distributed information systems , 1994. , & hellip ; , 1994.0', 'm tresch , mh scholl , ibmar center , ca san jose']","['caratteristiche cinematiche di una corrente in un canale con variazione di scabrezza al fondo . proc. , 28th italian congress of hydraulic and waterworks , & hellip ; ,', 'a carravetta , r della morte']",0.008805918,0.99119407,2
4,"a language based multidatabase system e kќhn , t tschernko , k schwarz sigmod conference",,,1994.0,a clinical atlas of roentgenocephalometry in norma lateralis ss saksena 1987.0,,,,"('rtable_title', 'rtable_authors')","['a classification of multi-database languages parallel and distributed information systems , 1994. , & hellip ; , 1994.0', 'm tresch , mh scholl , ibmar center , ca san jose']","['a clinical atlas of roentgenocephalometry in norma lateralis ss saksena 1987.0', nan]",0.07532904,0.924671,2
8,"a language based multidatabase system e kќhn , t tschernko , k schwarz sigmod conference",,,1994.0,"a semantics for model management operators s melnik , pa bernstein , a halevy , e rahm",,,,"('rtable_title', 'rtable_authors')","['a classification of multi-database languages parallel and distributed information systems , 1994. , & hellip ; , 1994.0', 'm tresch , mh scholl , ibmar center , ca san jose']","['a semantics for model management operators s melnik , pa bernstein , a halevy , e rahm', nan]",0.00785716,0.9921428,2
12,"a language based multidatabase system e kќhn , t tschernko , k schwarz sigmod conference",,,1994.0,tetrahedron lett submitted for,"bm trost , e keinan",,,"('rtable_title', 'rtable_authors')","['a classification of multi-database languages parallel and distributed information systems , 1994. , & hellip ; , 1994.0', 'm tresch , mh scholl , ibmar center , ca san jose']","['tetrahedron lett submitted for', 'bm trost , e keinan']",0.37581542,0.6241845,2
1,"a language based multidatabase system e kќhn , t tschernko , k schwarz sigmod conference",,,1994.0,"caratteristiche cinematiche di una corrente in un canale con variazione di scabrezza al fondo . proc. , 28th italian congress of hydraulic and waterworks , & hellip ; ,","a carravetta , r della morte",,,"('rtable_title', 'rtable_authors', 'rtable_venue')","['a classification of multi-database languages parallel and distributed information systems , 1994. , & hellip ; , 1994.0', 'm tresch , mh scholl , ibmar center , ca san jose', nan]","['caratteristiche cinematiche di una corrente in un canale con variazione di scabrezza al fondo . proc. , 28th italian congress of hydraulic and waterworks , & hellip ; ,', 'a carravetta , r della morte', nan]",0.008805918,0.99119407,3
2,"a language based multidatabase system e kќhn , t tschernko , k schwarz sigmod conference",,,1994.0,"caratteristiche cinematiche di una corrente in un canale con variazione di scabrezza al fondo . proc. , 28th italian congress of hydraulic and waterworks , & hellip ; ,","a carravetta , r della morte",,,"('rtable_title', 'rtable_authors', 'rtable_year')","['a classification of multi-database languages parallel and distributed information systems , 1994. , & hellip ; , 1994.0', 'm tresch , mh scholl , ibmar center , ca san jose', nan]","['caratteristiche cinematiche di una corrente in un canale con variazione di scabrezza al fondo . proc. , 28th italian congress of hydraulic and waterworks , & hellip ; ,', 'a carravetta , r della morte', nan]",0.008805918,0.99119407,3
5,"a language based multidatabase system e kќhn , t tschernko , k schwarz sigmod conference",,,1994.0,a clinical atlas of roentgenocephalometry in norma lateralis ss saksena 1987.0,,,,"('rtable_title', 'rtable_authors', 'rtable_venue')","['a classification of multi-database languages parallel and distributed information systems , 1994. , & hellip ; , 1994.0', 'm tresch , mh scholl , ibmar center , ca san jose', nan]","['a clinical atlas of roentgenocephalometry in norma lateralis ss saksena 1987.0', nan, nan]",0.07532904,0.924671,3
6,"a language based multidatabase system e kќhn , t tschernko , k schwarz sigmod conference",,,1994.0,a clinical atlas of roentgenocephalometry in norma lateralis ss saksena 1987.0,,,,"('rtable_title', 'rtable_authors', 'rtable_year')","['a classification of multi-database languages parallel and distributed information systems , 1994. , & hellip ; , 1994.0', 'm tresch , mh scholl , ibmar center , ca san jose', nan]","['a clinical atlas of roentgenocephalometry in norma lateralis ss saksena 1987.0', nan, nan]",0.07532904,0.924671,3
9,"a language based multidatabase system e kќhn , t tschernko , k schwarz sigmod conference",,,1994.0,"a semantics for model management operators s melnik , pa bernstein , a halevy , e rahm",,,,"('rtable_title', 'rtable_authors', 'rtable_venue')","['a classification of multi-database languages parallel and distributed information systems , 1994. , & hellip ; , 1994.0', 'm tresch , mh scholl , ibmar center , ca san jose', nan]","['a semantics for model management operators s melnik , pa bernstein , a halevy , e rahm', nan, nan]",0.00785716,0.9921428,3
10,"a language based multidatabase system e kќhn , t tschernko , k schwarz sigmod conference",,,1994.0,"a semantics for model management operators s melnik , pa bernstein , a halevy , e rahm",,,,"('rtable_title', 'rtable_authors', 'rtable_year')","['a classification of multi-database languages parallel and distributed information systems , 1994. , & hellip ; , 1994.0', 'm tresch , mh scholl , ibmar center , ca san jose', nan]","['a semantics for model management operators s melnik , pa bernstein , a halevy , e rahm', nan, nan]",0.00785716,0.9921428,3
13,"a language based multidatabase system e kќhn , t tschernko , k schwarz sigmod conference",,,1994.0,tetrahedron lett submitted for,"bm trost , e keinan",,,"('rtable_title', 'rtable_authors', 'rtable_venue')","['a classification of multi-database languages parallel and distributed information systems , 1994. , & hellip ; , 1994.0', 'm tresch , mh scholl , ibmar center , ca san jose', nan]","['tetrahedron lett submitted for', 'bm trost , e keinan', nan]",0.37581542,0.6241845,3
14,"a language based multidatabase system e kќhn , t tschernko , k schwarz sigmod conference",,,1994.0,tetrahedron lett submitted for,"bm trost , e keinan",,,"('rtable_title', 'rtable_authors', 'rtable_year')","['a classification of multi-database languages parallel and distributed information systems , 1994. , & hellip ; , 1994.0', 'm tresch , mh scholl , ibmar center , ca san jose', nan]","['tetrahedron lett submitted for', 'bm trost , e keinan', nan]",0.37581542,0.6241845,3
3,"a language based multidatabase system e kќhn , t tschernko , k schwarz sigmod conference",,,1994.0,"caratteristiche cinematiche di una corrente in un canale con variazione di scabrezza al fondo . proc. , 28th italian congress of hydraulic and waterworks , & hellip ; ,","a carravetta , r della morte",,,"('rtable_title', 'rtable_authors', 'rtable_venue', 'rtable_year')","['a classification of multi-database languages parallel and distributed information systems , 1994. , & hellip ; , 1994.0', 'm tresch , mh scholl , ibmar center , ca san jose', nan, nan]","['caratteristiche cinematiche di una corrente in un canale con variazione di scabrezza al fondo . proc. , 28th italian congress of hydraulic and waterworks , & hellip ; ,', 'a carravetta , r della morte', nan, nan]",0.008805918,0.99119407,4
7,"a language based multidatabase system e kќhn , t tschernko , k schwarz sigmod conference",,,1994.0,a clinical atlas of roentgenocephalometry in norma lateralis ss saksena 1987.0,,,,"('rtable_title', 'rtable_authors', 'rtable_venue', 'rtable_year')","['a classification of multi-database languages parallel and distributed information systems , 1994. , & hellip ; , 1994.0', 'm tresch , mh scholl , ibmar center , ca san jose', nan, nan]","['a clinical atlas of roentgenocephalometry in norma lateralis ss saksena 1987.0', nan, nan, nan]",0.07532904,0.924671,4
11,"a language based multidatabase system e kќhn , t tschernko , k schwarz sigmod conference",,,1994.0,"a semantics for model management operators s melnik , pa bernstein , a halevy , e rahm",,,,"('rtable_title', 'rtable_authors', 'rtable_venue', 'rtable_year')","['a classification of multi-database languages parallel and distributed information systems , 1994. , & hellip ; , 1994.0', 'm tresch , mh scholl , ibmar center , ca san jose', nan, nan]","['a semantics for model management operators s melnik , pa bernstein , a halevy , e rahm', nan, nan, nan]",0.00785716,0.9921428,4
15,"a language based multidatabase system e kќhn , t tschernko , k schwarz sigmod conference",,,1994.0,tetrahedron lett submitted for,"bm trost , e keinan",,,"('rtable_title', 'rtable_authors', 'rtable_venue', 'rtable_year')","['a classification of multi-database languages parallel and distributed information systems , 1994. , & hellip ; , 1994.0', 'm tresch , mh scholl , ibmar center , ca san jose', nan, nan]","['tetrahedron lett submitted for', 'bm trost , e keinan', nan, nan]",0.37581542,0.6241845,4
