,ltable_ABV,ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,rtable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,outcome
0,5.70 %,Arrow Point Amber,Big Bay Brewing Co. .,American Amber / Red Ale,8.50 %,Intuition Barrel Aged Riverside Red,Big Bear Lake Brewing Company,Barley Wine,0
1,11.90 %,Jazz Beer Tarraco Amber,Tarraco Beer,American Amber / Red Ale,8.50 %,Bainbridge Island Arrow Point Amber,Custom Brewcrafters,Amber Ale,0
2,5.00 %,Sanibel Red Island Ale,Big Bay Brewing Co. .,American Barleywine,8.50 %,Bainbridge Island Arrow Point Amber,Big Bear Lake Brewing Company,Amber Ale,0
3,10.00 %,Lower De Boom Barleywine,Red Car Brewery and Restaurant,American Amber / Red Ale,5.70 %,Bainbridge Island Arrow Point Amber,Big Bear Lake Brewing Company,Amber Ale,0
4,6.40 %,Legends Of The Bay Giant 's Tomb,Fat Bottom Brewing,American Amber / Red Ale,5.50 %,Bainbridge Island Arrow Point Amber,Colorado Mountain Brewery,Amber Ale,1
5,5.70 %,Thomas Hooker Old Marley Barleywine,Red Car Brewery and Restaurant,American Amber / Red Ale,8.50 %,Thomas Hooker Old Marley Barleywine,Granite Falls Brewing Company,Specialty Grain,0
6,5.70 %,Arrow Point Amber,Big Bay Brewing Co. .,American Amber / Red Ale,8.50 %,Intuition Barrel Aged Riverside Red,Big Bear Lake Brewing Company,Amber Ale,1
7,5.00 %,Sanibel Red Island Ale,Big Bay Brewing Co. .,American Barleywine,8.50 %,Bainbridge Island Arrow Point Amber,Blue Cat Brew Pub,Amber Ale,0
8,11.90 %,Jazz Beer Tarraco Amber,Tarraco Beer,American Amber / Red Ale,8.50 %,Bainbridge Island Arrow Point Amber,Custom Brewcrafters,Imperial IPA,0
9,5.70 %,Thomas Hooker Old Marley Barleywine,Point Ybel Brewing Company,American Amber / Red Ale,8.50 %,Thomas Hooker Old Marley Barleywine,Granite Falls Brewing Company,Specialty Grain,0
