,ltable_title,ltable_manufacturer,ltable_price,rtable_title,rtable_manufacturer,rtable_price,outcome
0,halo ( mac ),intuit,29.95,. mac ( mac ) apple,nan,69.99,1
1,quicken 2007 basic,intuit,499.95,topics entertainment instant immersion ingles audio deluxe,nan,69.99,1
2,punch ! home design architectura series 18,intuit,29.95,quicken ( r ) for mac 2007,global-software-publishing,69.99,1
3,punch ! master landscape & home design,intuit,29.95,quicken ( r ) for mac 2007,nan,69.99,1
4,quicken 2007 basic,intuit,29.95,quicken ( r ) for mac 2007,riverdeep-learning-company,99.99,1
5,instant immersion german audio,intuit,29.95,quicken ( r ) for mac 2007,nan,9.59,1
6,quicken 2007 basic,intuit,29.95,scrapbook designer platinum,riverdeep-learning-company,69.99,1
7,quicken 2007 basic,adobe,29.95,quicken ( r ) for mac 2007,nan,539.95,1
8,adobe indesign cs3 upgrade from pagemaker,intuit,29.95,quicken ( r ) for mac 2007,nan,69.99,1
9,apple final cut studio 2 ( mac ),intuit,999.0,quicken ( r ) for mac 2007,nan,69.99,1
