,ltable_title,ltable_manufacturer,ltable_price,rtable_title,rtable_manufacturer,rtable_price,outcome
0,microsoft works suite 2006,microsoft,99.0,musicalis universal guitar workshop,nan,400.34,1
1,microsoft works suite 2006,microsoft,99.0,migo software digital file shredder 2005,nan,145.99,1
2,microsoft works suite 2006,sony-pictures-digital-entertainment,99.0,migo software digital file shredder 2005,nan,145.99,1
3,microsoft works suite 2006,microsoft,99.0,quicken ( r ) for mac 2007,riverdeep-learning-company,145.99,1
4,sony acid pro 6 professional music workstation,microsoft,nan,microsoft office 2004 student/teacher,nan,145.99,1
5,microsoft excel 2004 ( mac ),microsoft,99.0,microsoft office 2004 student/teacher,punch software,145.99,1
6,microsoft works suite 2006,microsoft,999.99,microsoft office 2004 student/teacher,nan,20.95,1
7,microsoft works suite 2006,microsoft,39.99,microsoft microsoft office 2004 software suite mac apple & mac software,nan,145.99,1
8,microsoft works suite 2006,microsoft,129.99,microsoft office 2004 student/teacher,nan,599.0,1
9,microsoft powerpoint 2004 ( mac ),microsoft,69.95,microsoft office 2004 student/teacher,nan,145.99,1
