,ltable_Album_Name,ltable_Artist_Name,ltable_CopyRight,ltable_Genre,ltable_Price,ltable_Released,ltable_Song_Name,ltable_Time,rtable_Album_Name,rtable_Artist_Name,rtable_CopyRight,rtable_Genre,rtable_Price,rtable_Released,rtable_Song_Name,rtable_Time,outcome
0,nan,nan,"2014 OWSLA/Big Beat Records , Inc. for the United States and WEA International Inc. for the world outside of the United States .",nan,$ 1.29,nan,Cameras 28-Mar-11,3:47,nan,nan,nan,"Electronica , Dance & Electronic , Dubstep",nan,nan,"Kill Everybody ( Bare Noize Remix ) Skrillex Scary Monsters And Nice Sprites EP [ Explicit ] $ 1.29 ( c ) 2013 Digitop Ltd December 21 , 2010",4:41,1
1,nan,nan,"2014 OWSLA/Big Beat Records , Inc. for the United States and WEA International Inc. for the world outside of the United States .",nan,$ 1.29,21-Aug-09,Cameras 28-Mar-11,3:47,nan,nan,nan,"Electronica , Dance & Electronic , Dubstep",nan,nan,"Kill Everybody ( Bare Noize Remix ) Skrillex Scary Monsters And Nice Sprites EP [ Explicit ] $ 1.29 ( c ) 2013 Digitop Ltd December 21 , 2010",4:41,1
2,nan,nan,"2014 OWSLA/Big Beat Records , Inc. for the United States and WEA International Inc. for the world outside of the United States .",nan,$ 1.29,nan,"Anything Goes Anything Goes ‰ ãÑ 2014 Big Machine Label Group , LLC 3:39",3:47,nan,nan,nan,Pop,nan,nan,"Kama Sutra ( feat . Kid Ink ) Pop 3:36 September 10 , 2013",4:41,1
3,nan,nan,"2014 OWSLA/Big Beat Records , Inc. for the United States and WEA International Inc. for the world outside of the United States .",nan,$ 1.29,nan,Cameras 28-Mar-11,3:47,nan,nan,nan,"Electronica , Dance & Electronic , Dubstep",nan,"August 26 , 2011","Kill Everybody ( Bare Noize Remix ) Skrillex Scary Monsters And Nice Sprites EP [ Explicit ] $ 1.29 ( c ) 2013 Digitop Ltd December 21 , 2010",4:41,1
4,Listen ( Deluxe Version ),nan,"2014 OWSLA/Big Beat Records , Inc. for the United States and WEA International Inc. for the world outside of the United States .","Country , Music , Honky Tonk , Urban Cowboy , Contemporary Country",$ 1.29,nan,Cameras 28-Mar-11,3:47,nan,nan,nan,"Electronica , Dance & Electronic , Dubstep",nan,nan,"Kill Everybody ( Bare Noize Remix ) Skrillex Scary Monsters And Nice Sprites EP [ Explicit ] $ 1.29 ( c ) 2013 Digitop Ltd December 21 , 2010",4:41,1
5,nan,nan,"2014 OWSLA/Big Beat Records , Inc. for the United States and WEA International Inc. for the world outside of the United States .",nan,$ 1.29,nan,"The Woodland Realm ( Extended Version ) Howard Shore The Hobbit : The Desolation of Smaug ( Original Motion Picture Soundtrack ) [ Special Edition ] Soundtrack , Music , Soundtrack , Classical , Original Score $ 1.29 5:14 10-Dec-13",3:47,nan,nan,nan,Dance & Electronic,nan,nan,"Anything Goes Florida Georgia Line Country October 14 , 2014",4:41,1
6,nan,nan,"2014 OWSLA/Big Beat Records , Inc. for the United States and WEA International Inc. for the world outside of the United States .",nan,$ 1.29,18-Mar-08,Cameras 28-Mar-11,3:47,nan,nan,2014 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,"Electronica , Dance & Electronic , Dubstep",nan,nan,"Top Floor ( Cabana ) [ feat . Ed Sheeran ] Hotel Cabana [ Explicit ] ( C ) 2014 Naughty Boy Recordings Ltd under exclusive licence to Virgin Records Ltd May 6 , 2014",4:41,1
7,nan,nan,"2014 OWSLA/Big Beat Records , Inc. for the United States and WEA International Inc. for the world outside of the United States .",nan,$ 1.29,nan,"Anything Goes Anything Goes ‰ ãÑ 2014 Big Machine Label Group , LLC 3:39",3:47,nan,Calvin Harris,nan,Pop,nan,nan,"Kama Sutra ( feat . Kid Ink ) Pop 3:36 September 10 , 2013",4:41,1
8,nan,nan,"2014 OWSLA/Big Beat Records , Inc. for the United States and WEA International Inc. for the world outside of the United States .",nan,$ 1.29,nan,Cameras 28-Mar-11,5:20,nan,nan,nan,"Electronica , Dance & Electronic , Dubstep",$ 0.99,nan,"Kill Everybody ( Bare Noize Remix ) Skrillex Scary Monsters And Nice Sprites EP [ Explicit ] $ 1.29 ( c ) 2013 Digitop Ltd December 21 , 2010",4:41,1
9,Listen ( Deluxe Version ),nan,"2014 OWSLA/Big Beat Records , Inc. for the United States and WEA International Inc. for the world outside of the United States .","Country , Music , Honky Tonk , Urban Cowboy , Contemporary Country",$ 1.29,nan,Cameras 28-Mar-11,3:47,nan,nan,nan,"Electronica , Dance & Electronic , Dubstep",$ 0.99,nan,"Kill Everybody ( Bare Noize Remix ) Skrillex Scary Monsters And Nice Sprites EP [ Explicit ] $ 1.29 ( c ) 2013 Digitop Ltd December 21 , 2010",4:41,0
