,ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,ltable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,rtable_ABV,alteredAttributes,droppedValues,copiedValues,nomatch_score,match_score,attr_count
0,Grahamber,Smuttynose Brewing Company,American Amber / Red Ale,5.50 %,Brannon_s Deputation Imperial Red Ale,Brannon_s Pub and Brewery,American Strong Ale,8.79 %,"('ltable_Beer_Name', 'ltable_ABV')","['Smuttynose Kindest Find Imperial Red Ale', '8.50 %']","['Grahamber', '5.50 %']",0.47641587257385254,0.5235841274261475,2
223,Pumukl,Smuttynose Brewing Company,American Amber / Red Ale,4.50 %,Brannon_s Deputation Imperial Red Ale,Brannon_s Pub and Brewery,American Strong Ale,8.79 %,"('ltable_Beer_Name', 'ltable_ABV')","['Smuttynose Kindest Find Imperial Red Ale', '8.50 %']","['Pumukl', '4.50 %']",0.4402347803115845,0.5597652196884155,2
116,X_biga,Smuttynose Brewing Company,American Amber / Red Ale,5.00 %,Brannon_s Deputation Imperial Red Ale,Brannon_s Pub and Brewery,American Strong Ale,8.79 %,"('ltable_Beer_Name', 'ltable_ABV')","['Smuttynose Kindest Find Imperial Red Ale', '8.50 %']","['X_biga', '5.00 %']",0.44107669591903687,0.5589233040809631,2
181,Rapture,Smuttynose Brewing Company,American Amber / Red Ale,6.30 %,Brannon_s Deputation Imperial Red Ale,Brannon_s Pub and Brewery,American Strong Ale,8.79 %,"('ltable_Beer_Name', 'ltable_ABV')","['Smuttynose Kindest Find Imperial Red Ale', '8.50 %']","['Rapture', '6.30 %']",0.4982566833496094,0.5017433166503906,2
67,Danimal,Smuttynose Brewing Company,American Amber / Red Ale,6.00 %,Brannon_s Deputation Imperial Red Ale,Brannon_s Pub and Brewery,American Strong Ale,8.79 %,"('ltable_Beer_Name', 'ltable_ABV')","['Smuttynose Kindest Find Imperial Red Ale', '8.50 %']","['Danimal', '6.00 %']",0.46934109926223755,0.5306589007377625,2
66,Danimal,The Livery,American Amber / Red Ale,8.50 %,Brannon_s Deputation Imperial Red Ale,Brannon_s Pub and Brewery,American Strong Ale,8.79 %,"('ltable_Beer_Name', 'ltable_Brew_Factory_Name')","['Smuttynose Kindest Find Imperial Red Ale', 'Smuttynose Brewing Company']","['Danimal', 'The Livery']",0.49577152729034424,0.5042284727096558,2
121,Ambler,Smuttynose Brewing Company,American Amber / Red Ale,4.70 %,Brannon_s Deputation Imperial Red Ale,Brannon_s Pub and Brewery,American Strong Ale,8.79 %,"('ltable_Beer_Name', 'ltable_ABV')","['Smuttynose Kindest Find Imperial Red Ale', '8.50 %']","['Ambler', '4.70 %']",0.47980332374572754,0.5201966762542725,2
234,R.I.P.A.H,Smuttynose Brewing Company,American Amber / Red Ale,8.50 %,Brannon_s Deputation Imperial Red Ale,Brannon_s Pub and Brewery,American Strong Ale,8.79 %,"('ltable_Beer_Name',)",['Smuttynose Kindest Find Imperial Red Ale'],['R.I.P.A.H'],0.46472495794296265,0.5352750420570374,2
61,R.I.P.A.H,Smuttynose Brewing Company,American Amber / Red Ale,6.40 %,Brannon_s Deputation Imperial Red Ale,Brannon_s Pub and Brewery,American Strong Ale,8.79 %,"('ltable_Beer_Name', 'ltable_ABV')","['Smuttynose Kindest Find Imperial Red Ale', '8.50 %']","['R.I.P.A.H', '6.40 %']",0.3902091979980469,0.6097908020019531,2
60,R.I.P.A.H,Smuttynose Brewing Company,American Amber / Red Ale,8.50 %,Brannon_s Deputation Imperial Red Ale,Brannon_s Pub and Brewery,American Strong Ale,8.79 %,"('ltable_Beer_Name', 'ltable_Style')","['Smuttynose Kindest Find Imperial Red Ale', 'American Amber / Red Ale']","['R.I.P.A.H', 'American Amber / Red Ale']",0.46472495794296265,0.5352750420570374,2
59,R.I.P.A.H,Black Bear Brewery,American Amber / Red Ale,8.50 %,Brannon_s Deputation Imperial Red Ale,Brannon_s Pub and Brewery,American Strong Ale,8.79 %,"('ltable_Beer_Name', 'ltable_Brew_Factory_Name')","['Smuttynose Kindest Find Imperial Red Ale', 'Smuttynose Brewing Company']","['R.I.P.A.H', 'Black Bear Brewery']",0.4515366554260254,0.5484633445739746,2
58,R.I.P.A.H,Smuttynose Brewing Company,American Amber / Red Ale,8.50 %,Brannon_s Deputation Imperial Red Ale,Brannon_s Pub and Brewery,American Strong Ale,8.79 %,"('ltable_Beer_Name',)",['Smuttynose Kindest Find Imperial Red Ale'],['R.I.P.A.H'],0.46472495794296265,0.5352750420570374,2
235,R.I.P.A.H,Black Bear Brewery,American Amber / Red Ale,8.50 %,Brannon_s Deputation Imperial Red Ale,Brannon_s Pub and Brewery,American Strong Ale,8.79 %,"('ltable_Beer_Name', 'ltable_Brew_Factory_Name')","['Smuttynose Kindest Find Imperial Red Ale', 'Smuttynose Brewing Company']","['R.I.P.A.H', 'Black Bear Brewery']",0.4515366554260254,0.5484633445739746,2
236,R.I.P.A.H,Smuttynose Brewing Company,American Amber / Red Ale,8.50 %,Brannon_s Deputation Imperial Red Ale,Brannon_s Pub and Brewery,American Strong Ale,8.79 %,"('ltable_Beer_Name', 'ltable_Style')","['Smuttynose Kindest Find Imperial Red Ale', 'American Amber / Red Ale']","['R.I.P.A.H', 'American Amber / Red Ale']",0.46472495794296265,0.5352750420570374,2
237,R.I.P.A.H,Smuttynose Brewing Company,American Amber / Red Ale,6.40 %,Brannon_s Deputation Imperial Red Ale,Brannon_s Pub and Brewery,American Strong Ale,8.79 %,"('ltable_Beer_Name', 'ltable_ABV')","['Smuttynose Kindest Find Imperial Red Ale', '8.50 %']","['R.I.P.A.H', '6.40 %']",0.3902091979980469,0.6097908020019531,2
54,Rapture,Smuttynose Brewing Company,American Amber / Red Ale,6.30 %,Brannon_s Deputation Imperial Red Ale,Brannon_s Pub and Brewery,American Strong Ale,8.79 %,"('ltable_Beer_Name', 'ltable_ABV')","['Smuttynose Kindest Find Imperial Red Ale', '8.50 %']","['Rapture', '6.30 %']",0.4982566833496094,0.5017433166503906,2
176,X_biga,Smuttynose Brewing Company,American Amber / Red Ale,5.00 %,Brannon_s Deputation Imperial Red Ale,Brannon_s Pub and Brewery,American Strong Ale,8.79 %,"('ltable_Beer_Name', 'ltable_ABV')","['Smuttynose Kindest Find Imperial Red Ale', '8.50 %']","['X_biga', '5.00 %']",0.44107669591903687,0.5589233040809631,2
175,X_biga,Smuttynose Brewing Company,American Amber / Red Ale,8.50 %,Brannon_s Deputation Imperial Red Ale,Brannon_s Pub and Brewery,American Strong Ale,8.79 %,"('ltable_Beer_Name', 'ltable_Style')","['Smuttynose Kindest Find Imperial Red Ale', 'American Amber / Red Ale']","['X_biga', 'American Amber / Red Ale']",0.40319836139678955,0.5968016386032104,2
174,X_biga,Cerveza Tyris,American Amber / Red Ale,8.50 %,Brannon_s Deputation Imperial Red Ale,Brannon_s Pub and Brewery,American Strong Ale,8.79 %,"('ltable_Beer_Name', 'ltable_Brew_Factory_Name')","['Smuttynose Kindest Find Imperial Red Ale', 'Smuttynose Brewing Company']","['X_biga', 'Cerveza Tyris']",0.36366981267929077,0.6363301873207092,2
242,Rufous,Smuttynose Brewing Company,American Amber / Red Ale,5.60 %,Brannon_s Deputation Imperial Red Ale,Brannon_s Pub and Brewery,American Strong Ale,8.79 %,"('ltable_Beer_Name', 'ltable_ABV')","['Smuttynose Kindest Find Imperial Red Ale', '8.50 %']","['Rufous', '5.60 %']",0.4591367244720459,0.5408632755279541,2
72,Keybilly,Smuttynose Brewing Company,American Amber / Red Ale,5.40 %,Brannon_s Deputation Imperial Red Ale,Brannon_s Pub and Brewery,American Strong Ale,8.79 %,"('ltable_Beer_Name', 'ltable_ABV')","['Smuttynose Kindest Find Imperial Red Ale', '8.50 %']","['Keybilly', '5.40 %']",0.4858715534210205,0.5141284465789795,2
115,X_biga,Smuttynose Brewing Company,American Amber / Red Ale,8.50 %,Brannon_s Deputation Imperial Red Ale,Brannon_s Pub and Brewery,American Strong Ale,8.79 %,"('ltable_Beer_Name', 'ltable_Style')","['Smuttynose Kindest Find Imperial Red Ale', 'American Amber / Red Ale']","['X_biga', 'American Amber / Red Ale']",0.40319836139678955,0.5968016386032104,2
154,OPA,Smuttynose Brewing Company,American Amber / Red Ale,6.00 %,Brannon_s Deputation Imperial Red Ale,Brannon_s Pub and Brewery,American Strong Ale,8.79 %,"('ltable_Beer_Name', 'ltable_ABV')","['Smuttynose Kindest Find Imperial Red Ale', '8.50 %']","['OPA', '6.00 %']",0.4618319272994995,0.5381680727005005,2
219,1881 Sacramento,Smuttynose Brewing Company,American Amber / Red Ale,5.60 %,Brannon_s Deputation Imperial Red Ale,Brannon_s Pub and Brewery,American Strong Ale,8.79 %,"('ltable_Beer_Name', 'ltable_ABV')","['Smuttynose Kindest Find Imperial Red Ale', '8.50 %']","['1881 Sacramento', '5.60 %']",0.4635953903198242,0.5364046096801758,2
195,Velduil,Smuttynose Brewing Company,American Amber / Red Ale,4.50 %,Brannon_s Deputation Imperial Red Ale,Brannon_s Pub and Brewery,American Strong Ale,8.79 %,"('ltable_Beer_Name', 'ltable_ABV')","['Smuttynose Kindest Find Imperial Red Ale', '8.50 %']","['Velduil', '4.50 %']",0.498620867729187,0.501379132270813,2
190,Chiniquy,Smuttynose Brewing Company,American Amber / Red Ale,4.00 %,Brannon_s Deputation Imperial Red Ale,Brannon_s Pub and Brewery,American Strong Ale,8.79 %,"('ltable_Beer_Name', 'ltable_ABV')","['Smuttynose Kindest Find Imperial Red Ale', '8.50 %']","['Chiniquy', '4.00 %']",0.4420440196990967,0.5579559803009033,2
104,Rexx,Clown Shoes,American Amber / Red Ale,8.50 %,Brannon_s Deputation Imperial Red Ale,Brannon_s Pub and Brewery,American Strong Ale,8.79 %,"('ltable_Beer_Name', 'ltable_Brew_Factory_Name')","['Smuttynose Kindest Find Imperial Red Ale', 'Smuttynose Brewing Company']","['Rexx', 'Clown Shoes']",0.46362996101379395,0.536370038986206,2
105,Rexx,Smuttynose Brewing Company,American Amber / Red Ale,12.00 %,Brannon_s Deputation Imperial Red Ale,Brannon_s Pub and Brewery,American Strong Ale,8.79 %,"('ltable_Beer_Name', 'ltable_ABV')","['Smuttynose Kindest Find Imperial Red Ale', '8.50 %']","['Rexx', '12.00 %']",0.4616548418998718,0.5383451581001282,2
94,Keybilly,Smuttynose Brewing Company,American Amber / Red Ale,5.40 %,Brannon_s Deputation Imperial Red Ale,Brannon_s Pub and Brewery,American Strong Ale,8.79 %,"('ltable_Beer_Name', 'ltable_ABV')","['Smuttynose Kindest Find Imperial Red Ale', '8.50 %']","['Keybilly', '5.40 %']",0.4858716130256653,0.5141283869743347,2
189,Chiniquy,Smuttynose Brewing Company,American Amber / Red Ale,8.50 %,Brannon_s Deputation Imperial Red Ale,Brannon_s Pub and Brewery,American Strong Ale,8.79 %,"('ltable_Beer_Name', 'ltable_Style')","['Smuttynose Kindest Find Imperial Red Ale', 'American Amber / Red Ale']","['Chiniquy', 'American Amber / Red Ale']",0.45909440517425537,0.5409055948257446,2
203,OPA,Smuttynose Brewing Company,American Amber / Red Ale,6.00 %,Brannon_s Deputation Imperial Red Ale,Brannon_s Pub and Brewery,American Strong Ale,8.79 %,"('ltable_Beer_Name', 'ltable_ABV')","['Smuttynose Kindest Find Imperial Red Ale', '8.50 %']","['OPA', '6.00 %']",0.4618319272994995,0.5381680727005005,2
188,Chiniquy,Brasserie Artisanale Albion,American Amber / Red Ale,8.50 %,Brannon_s Deputation Imperial Red Ale,Brannon_s Pub and Brewery,American Strong Ale,8.79 %,"('ltable_Beer_Name', 'ltable_Brew_Factory_Name')","['Smuttynose Kindest Find Imperial Red Ale', 'Smuttynose Brewing Company']","['Chiniquy', 'Brasserie Artisanale Albion']",0.4335606098175049,0.5664393901824951,2
187,Chiniquy,Smuttynose Brewing Company,American Amber / Red Ale,8.50 %,Brannon_s Deputation Imperial Red Ale,Brannon_s Pub and Brewery,American Strong Ale,8.79 %,"('ltable_Beer_Name',)",['Smuttynose Kindest Find Imperial Red Ale'],['Chiniquy'],0.45909446477890015,0.5409055352210999,2
173,X_biga,Smuttynose Brewing Company,American Amber / Red Ale,8.50 %,Brannon_s Deputation Imperial Red Ale,Brannon_s Pub and Brewery,American Strong Ale,8.79 %,"('ltable_Beer_Name',)",['Smuttynose Kindest Find Imperial Red Ale'],['X_biga'],0.40319836139678955,0.5968016386032104,2
207,Danimal,The Livery,American Amber / Red Ale,8.50 %,Brannon_s Deputation Imperial Red Ale,Brannon_s Pub and Brewery,American Strong Ale,8.79 %,"('ltable_Beer_Name', 'ltable_Brew_Factory_Name')","['Smuttynose Kindest Find Imperial Red Ale', 'Smuttynose Brewing Company']","['Danimal', 'The Livery']",0.49577152729034424,0.5042284727096558,2
87,Reset,Smuttynose Brewing Company,American Amber / Red Ale,5.60 %,Brannon_s Deputation Imperial Red Ale,Brannon_s Pub and Brewery,American Strong Ale,8.79 %,"('ltable_Beer_Name', 'ltable_ABV')","['Smuttynose Kindest Find Imperial Red Ale', '8.50 %']","['Reset', '5.60 %']",0.4091946482658386,0.5908053517341614,2
