,ltable_name,ltable_addr,ltable_city,ltable_phone,ltable_res_type,ltable_class,rtable_name,rtable_addr,rtable_city,rtable_phone,rtable_res_type,rtable_class,alteredAttributes,droppedValues,copiedValues,nomatch_score,match_score,attr_count
0,` viva mercado \ 's ',' 6182 w. flamingo rd. ',` las vegas ',702/871 -8826,mexican,451,` viva mercado \ 's,' 3700 w. flamingo rd. ',` las vegas ',702/871 -8826,italian,660,"('rtable_name', 'rtable_phone')","[""` fiore rotisserie & grille '"", '702-252-7702']","[""` viva mercado \\ 's"", '702/871 -8826']",0.4843701124191284,0.5156298875808716,2
65,` viva mercado \ 's ',' 6182 w. flamingo rd. ',` las vegas ',702/871 -8826,mexican,451,` viva mercado \ 's ',' 3700 w. flamingo rd. ',` las vegas ',702/871 -8826,italian,660,"('rtable_name', 'rtable_phone')","[""` fiore rotisserie & grille '"", '702-252-7702']","[""` viva mercado \\ 's '"", '702/871 -8826']",0.4798094630241394,0.5201905369758606,2
55,` viva mercado \ 's ',' 6182 w. flamingo rd. ',` las vegas ',702/871 -8826,mexican,451,` viva mercado \ 's ',' 3700 w. flamingo rd. ',` las vegas ',702/871 -8826,italian,660,"('rtable_name', 'rtable_phone')","[""` fiore rotisserie & grille '"", '702-252-7702']","[""` viva mercado \\ 's '"", '702/871 -8826']",0.4798094630241394,0.5201905369758606,2
22,` viva mercado \ 's ',' 6182 w. flamingo rd. ',` las vegas ',702/871 -8826,mexican,451,` viva mercado \ 's ',' 3700 w. flamingo rd. ',` las vegas ',702/871 -8826,italian,660,"('rtable_name', 'rtable_phone')","[""` fiore rotisserie & grille '"", '702-252-7702']","[""` viva mercado \\ 's '"", '702/871 -8826']",0.4798094630241394,0.5201905369758606,2
10,` viva mercado \ 's ',' 6182 w. flamingo rd. ',` las vegas ',702/871 -8826,mexican,451,` viva mercado \ 's ',' 3700 w. flamingo rd. ',` las vegas ',702/871 -8826,italian,660,"('rtable_name', 'rtable_phone')","[""` fiore rotisserie & grille '"", '702-252-7702']","[""` viva mercado \\ 's '"", '702/871 -8826']",0.4798094630241394,0.5201905369758606,2
45,` viva mercado \ 's ',' 6182 w. flamingo rd. ',` las vegas ',702/871 -8826,mexican,451,` viva mercado \ 's ',' 3700 w. flamingo rd. ',` las vegas ',702/871 -8826,italian,660,"('rtable_name', 'rtable_phone')","[""` fiore rotisserie & grille '"", '702-252-7702']","[""` viva mercado \\ 's '"", '702/871 -8826']",0.4798095226287842,0.5201904773712158,2
32,` viva mercado \ 's ',' 6182 w. flamingo rd. ',` las vegas ',702/871 -8826,mexican,451,` viva mercado \ 's ',' 3700 w. flamingo rd. ',` las vegas ',702/871 -8826,italian,660,"('rtable_name', 'rtable_phone')","[""` fiore rotisserie & grille '"", '702-252-7702']","[""` viva mercado \\ 's '"", '702/871 -8826']",0.4798095226287842,0.5201904773712158,2
47,` viva mercado \ 's ',' 6182 w. flamingo rd. ',` las vegas ',702/871 -8826,mexican,451,` viva mercado \ 's ',' 3700 w. flamingo rd. ',vegas ',702/871 -8826,italian,660,"('rtable_name', 'rtable_city', 'rtable_phone')","[""` fiore rotisserie & grille '"", ""` las vegas '"", '702-252-7702']","[""` viva mercado \\ 's '"", ""vegas '"", '702/871 -8826']",0.4832865595817566,0.5167134404182434,3
48,` viva mercado \ 's ',' 6182 w. flamingo rd. ',` las vegas ',702/871 -8826,mexican,451,` viva mercado \ 's ',' 3700 w. flamingo rd. ',` las vegas ',702/871 -8826,mexican,660,"('rtable_name', 'rtable_phone', 'rtable_res_type')","[""` fiore rotisserie & grille '"", '702-252-7702', 'italian']","[""` viva mercado \\ 's '"", '702/871 -8826', 'mexican']",0.47490525245666504,0.525094747543335,3
57,` viva mercado \ 's ',' 6182 w. flamingo rd. ',` las vegas ',702/871 -8826,mexican,451,` viva mercado \ 's ',' 3700 w. flamingo rd. ',` las,702/871 -8826,italian,660,"('rtable_name', 'rtable_city', 'rtable_phone')","[""` fiore rotisserie & grille '"", ""` las vegas '"", '702-252-7702']","[""` viva mercado \\ 's '"", '` las', '702/871 -8826']",0.4842907786369324,0.5157092213630676,3
