,ltable_addr,ltable_city,ltable_class,ltable_name,ltable_phone,ltable_res_type,rtable_addr,rtable_city,rtable_class,rtable_name,rtable_phone,rtable_res_type,outcome
0,' 6182 w. flamingo rd. ',` las vegas ',6.0,` viva mercado \ 's ',702/871 -8826,buffets,' 3700 w. flamingo rd. ',` las vegas ',6.0,` fiore rotisserie & grille ',702-252-7702,scandinavian,1
1,' 6182 w. flamingo rd. ',` las vegas ',6.0,` viva mercado \ 's ',702/871 -8826,buffets,' 3700 w. flamingo rd. ',` las vegas ',6.0,` fiore rotisserie & grille ',212-752-1495,scandinavian,1
2,' 6182 w. flamingo rd. ',` las vegas ',50.0,` viva mercado \ 's ',702/871 -8826,southwestern,' 3700 w. flamingo rd. ',` las vegas ',7.0,` fiore rotisserie & grille ',702-891-7374,italian,1
3,' 240 e. 58th st. ',` las vegas ',84.0,` viva mercado \ 's ',702/871 -8826,mexican,' 3700 w. flamingo rd. ',` las vegas ',664.0,` fiore rotisserie & grille ',404-876-4408,italian,1
4,' 2355 peachtree rd. . peachtree battle shopping center ',` new york ',501.0,` viva mercado \ 's ',702/871 -8826,continental,' 200 e. fremont st. ',` las vegas ',534.0,` fiore rotisserie & grille ',702-252-7702,italian,1
5,' 6182 w. flamingo rd. ',` las vegas ',118.0,` viva mercado \ 's ',702/871 -8826,italian,' 3221 mission st. ',` las vegas ',749.0,` fiore rotisserie & grille ',702-252-7702,italian,1
6,' 6182 w. flamingo rd. ',` las vegas ',6.0,` viva mercado \ 's ',702/871 -8826,buffets,' 3700 w. flamingo rd. ',` las vegas ',6.0,` ritz-carlton dining room ( buckhead ) ',212-752-1495,scandinavian,1
7,' 129 e. fremont st. ',` las vegas ',50.0,` viva mercado \ 's ',702/871 -8826,southwestern,' 3700 w. flamingo rd. ',` las vegas ',7.0,` fiore rotisserie & grille ',702-891-7374,italian,1
8,' 6182 w. flamingo rd. ',` new york ',84.0,` viva mercado \ 's ',702/871 -8826,italian,' 103 w. paces ferry rd. ',` las vegas ',84.0,` fiore rotisserie & grille ',702-252-7702,italian,1
9,' 240 e. 58th st. ',` las vegas ',84.0,` viva mercado \ 's ',702/871 -8826,mexican,' 3700 w. flamingo rd. ',` los angeles ',664.0,` fiore rotisserie & grille ',404-876-4408,italian,1
