,ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,ltable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,rtable_ABV,outcome
0,Red Rocket Amber Ale,Rude Hippo Brewing Company,American Amber / Red Ale,7.40 %,Big Time Lift Ticket American Red Ale,18th Street Brewery,Amber Ale,7.40 %,0
1,Honey Basil Amber,Central City Brewers + Distillers,American Barleywine,7.40 %,Rude Hippo Honey Basil Amber,18th Street Brewery,Amber Ale,7.40 %,0
2,Inception Series - Runnin ' With The Devil,Galveston Island Brewing Company,American Amber / Red Ale,7.40 %,Rude Hippo Honey Basil Amber,18th Street Brewery,Amber Ale,7.40 %,0
3,Twisted Stick Amber Ale,Central City Brewers + Distillers,American Amber / Red Ale,7.40 %,Rude Hippo Honey Basil Amber,18th Street Brewery,Amber Ale,7.40 %,0
4,Inception Series - Runnin ' With The Devil,Rude Hippo Brewing Company,American Amber / Red Ale,7.40 %,Rude Hippo Honey Basil Amber,18th Street Brewery,Amber Ale,7.80 %,0
5,Inception Series - Runnin ' With The Devil,Rude Hippo Brewing Company,American Amber / Red Ale,7.40 %,Rude Hippo Honey Basil Amber,Hopworks Urban Brewery,Amber Ale,7.40 %,0
6,Honey Basil Amber,Central City Brewers + Distillers,American Amber / Red Ale,7.40 %,Rude Hippo Honey Basil Amber,18th Street Brewery,Amber Ale,7.40 %,0
7,Inception Series - Runnin ' With The Devil,Straight To Ale,American Amber / Red Ale,7.40 %,Rude Hippo Honey Basil Amber,18th Street Brewery,Amber Ale,7.40 %,0
8,Twisted Stick Amber Ale,Rude Hippo Brewing Company,American Barleywine,7.40 %,Rude Hippo Honey Basil Amber,18th Street Brewery,Amber Ale,7.40 %,0
9,Honey Basil Amber,Central City Brewers + Distillers,American Amber / Red Ale,7.40 %,Rude Hippo Honey Basil Amber,18th Street Brewery,Amber Ale,10.30 %,0
