,ltable_name,ltable_description,ltable_price,rtable_name,rtable_description,rtable_price,outcome
0,canon pixma multifunction printer mx310,"canon pixma multifunction printer mx310 up to 4800 x 1200 color dpi resolution microscopic 2-picoliter sized ink droplets built-in auto-image fix quick start smart copying copies , scans , faxes and prints documents prints photos",nan,samsung pn58a550 58 ' plasma tv,"canon powershot a590 is 8 megapixels , 4x optical zoom , 2.5 ' lcd , iso 1600 digital camera",nan,0
1,canon pixma multifunction printer mx310,"canon pixma multifunction printer mx310 up to 4800 x 1200 color dpi resolution microscopic 2-picoliter sized ink droplets built-in auto-image fix quick start smart copying copies , scans , faxes and prints documents prints photos",nan,sony handycam dcr-sr85 digital camcorder dcrsr85,canon pixma mx700 office all-in-one printer,nan,0
2,canon pixma multifunction printer mx310,"canon pixma multifunction printer mx310 up to 4800 x 1200 color dpi resolution microscopic 2-picoliter sized ink droplets built-in auto-image fix quick start smart copying copies , scans , faxes and prints documents prints photos",39.0,olympus neoprene soft camera case 202066,canon pixma mx700 office all-in-one printer,nan,0
3,canon pixma multifunction printer mx310,"canon pixma multifunction printer mx310 up to 4800 x 1200 color dpi resolution microscopic 2-picoliter sized ink droplets built-in auto-image fix quick start smart copying copies , scans , faxes and prints documents prints photos",nan,sony lcs-twa/r cyber-shot camera case,"samsung ln22a451 22 ' widescreen lcd hdtv 3,000:1 dynamic contrast ratio 8ms response time white",nan,1
4,canon pixma multifunction printer mx310,"canon pixma multifunction printer mx310 up to 4800 x 1200 color dpi resolution microscopic 2-picoliter sized ink droplets built-in auto-image fix quick start smart copying copies , scans , faxes and prints documents prints photos",nan,sony cyber-shot dsc-h50 digital camera black dsch50b,canon pixma mx700 office all-in-one printer,104.95,0
5,canon pixma multifunction printer mx310,"canon pixma multifunction printer mx310 up to 4800 x 1200 color dpi resolution microscopic 2-picoliter sized ink droplets built-in auto-image fix quick start smart copying copies , scans , faxes and prints documents prints photos",nan,sony cyber-shot dsc-h50 digital camera black dsch50b,canon pixma mx700 office all-in-one printer,199.95,0
6,canon pixma multifunction printer mx310,"canon pixma multifunction printer mx310 up to 4800 x 1200 color dpi resolution microscopic 2-picoliter sized ink droplets built-in auto-image fix quick start smart copying copies , scans , faxes and prints documents prints photos",nan,sony bravia m series kdl-32m4000 32 ' lcd tv kdl32m4000,8 megapixel 16:9 3x optical zoom 4x digital zoom 2.5 ' color lcd,nan,0
7,sony alpha digital slr black camera body dslra350,sony dscw170 red cyber-shot digital camera dscw170r 10.1 megapixels 2.7 ' lcd display 15 mb internal memory carl zeiss 5x optical zoom lens bionz real imaging processor technology 16:9 high-resolution mode 9-point auto focus automatic macro shooting high sensitivity mode burst mode face detection intelligent scene recognition mode in-camera retouching super steadyshot optical image stabilization with anti-blur solution music slideshow hdtv compatibility beginner-friendly function guide red finish,nan,canon pixma mx700 multifunction photo printer 2186b002,canon pixma mx700 office all-in-one printer,nan,1
8,canon pixma multifunction printer mx310,"canon pixma multifunction printer mx310 up to 4800 x 1200 color dpi resolution microscopic 2-picoliter sized ink droplets built-in auto-image fix quick start smart copying copies , scans , faxes and prints documents prints photos",nan,sony bravia m series kdl-32m4000 32 ' lcd tv kdl32m4000,canon pixma mx700 office all-in-one printer,nan,0
9,lg 14 ' washer and dryer red pedestal with drawer wdp3r,canon 2gb sd secure digital card 3505b001 compatible with all digital cameras and devices that accept sd cards,nan,canon pixma mx700 multifunction photo printer 2186b002,canon pixma mx700 office all-in-one printer,nan,0
