,ltable_name,ltable_addr,ltable_city,ltable_phone,ltable_res_type,ltable_class,rtable_name,rtable_addr,rtable_city,rtable_phone,rtable_res_type,rtable_class,outcome
0,abruzzi,' 10250 santa monica blvd. ',atlanta,404/261 -8186,italian,74.0,abruzzi,' 2355 peachtree rd. ne ',atlanta,404-261-8186,italian,74.0,1
1,abruzzi,' 2355 peachtree rd. . peachtree battle shopping center ',atlanta,404/261 -8186,caribbean,74.0,abruzzi,' 2355 peachtree rd. ne ',atlanta,404-261-8186,italian,74.0,1
2,abruzzi,' 2355 peachtree rd. . peachtree battle shopping center ',atlanta,404/261 -8186,italian,74.0,abruzzi,' 3393 peachtree rd. ',atlanta,213-857-0034,italian,74.0,1
3,` heera of india ',' 2355 peachtree rd. . peachtree battle shopping center ',atlanta,404/261 -8186,seafood,74.0,abruzzi,' 2355 peachtree rd. ne ',atlanta,404-261-8186,italian,74.0,1
4,abruzzi,' 2355 peachtree rd. . peachtree battle shopping center ',atlanta,404/261 -8186,italian,448.0,abruzzi,' 2355 peachtree rd. ne ',atlanta,404-261-8186,italian,38.0,1
5,abruzzi,' 2355 peachtree rd. . peachtree battle shopping center ',atlanta,404/261 -8186,italian,74.0,abruzzi,' 2355 peachtree rd. ne ',atlanta,404-261-8186,italian,37.0,1
6,abruzzi,' 6703 melrose ave. ',atlanta,404/261 -8186,italian,74.0,moongate,' 2355 peachtree rd. ne ',atlanta,404-261-8186,italian,74.0,1
7,abruzzi,' 2355 peachtree rd. . peachtree battle shopping center ',atlanta,404/261 -8186,italian,74.0,` hedgerose heights inn the ',' 2355 peachtree rd. ne ',atlanta,404-261-8186,italian,24.0,1
8,abruzzi,' 2355 peachtree rd. . peachtree battle shopping center ',atlanta,404/261 -8186,italian,116.0,abruzzi,' 2355 peachtree rd. ne ',venice,404-261-8186,italian,74.0,1
9,abruzzi,' 2355 peachtree rd. . peachtree battle shopping center ',atlanta,404/261 -8186,italian,74.0,abruzzi,' 1023 abbot kinney blvd. ',atlanta,212-371-8844,italian,74.0,1
