,label,ltable_title,ltable_manufacturer,ltable_price,rtable_title,rtable_manufacturer,rtable_price,alteredAttributes,droppedValues,copiedValues,classes,labels,nomatch_score,match_score,attr_count
0,,microsoft office visio standard 2007,microsoft licenses,205.73,microsoft office visio standard 2007 ( pc ),,249.95,"('ltable_title',)",['microsoft licenses word olp c ( 05903871 )'],['microsoft office visio standard 2007'],1,0,0.020471457,0.97952855,2
1,,microsoft office visio standard 2007,,205.73,microsoft office visio standard 2007 ( pc ),,249.95,"('ltable_title', 'ltable_manufacturer')","['microsoft licenses word olp c ( 05903871 )', 'microsoft licenses']","['microsoft office visio standard 2007', nan]",1,0,0.038547117,0.96145284,2
2,,microsoft office visio standard 2007,microsoft licenses,249.95,microsoft office visio standard 2007 ( pc ),,249.95,"('ltable_title', 'ltable_price')","['microsoft licenses word olp c ( 05903871 )', 205.73]","['microsoft office visio standard 2007', 249.95]",1,0,0.016275866,0.9837241,2
4,,microsoft licenses word olp c ( 05903871 ),microsoft licenses,205.73,microsoft d48-00369 word mac 10.0 eng gov ' t 659556873790,,249.95,"('rtable_title', 'rtable_manufacturer')","['microsoft office visio standard 2007 ( pc )', nan]","[""microsoft d48-00369 word mac 10.0 eng gov ' t 659556873790"", nan]",1,0,0.03364257,0.96635747,2
5,,microsoft licenses word olp c ( 05903871 ),microsoft licenses,205.73,microsoft d48-00369 word mac 10.0 eng gov ' t 659556873790,,191.94,"('rtable_title', 'rtable_price')","['microsoft office visio standard 2007 ( pc )', 249.95]","[""microsoft d48-00369 word mac 10.0 eng gov ' t 659556873790"", 191.94]",1,0,0.06248262,0.93751734,2
7,,microsoft licenses word olp c ( 05903871 ),microsoft licenses,205.73,microsoft d48-00369 word mac 10.0 eng gov ' t 659556873790,,249.95,"('rtable_title', 'rtable_manufacturer')","['microsoft office visio standard 2007 ( pc )', nan]","[""microsoft d48-00369 word mac 10.0 eng gov ' t 659556873790"", nan]",1,0,0.03364257,0.96635747,2
8,,microsoft licenses word olp c ( 05903871 ),microsoft licenses,205.73,microsoft d48-00369 word mac 10.0 eng gov ' t 659556873790,,191.94,"('rtable_title', 'rtable_price')","['microsoft office visio standard 2007 ( pc )', 249.95]","[""microsoft d48-00369 word mac 10.0 eng gov ' t 659556873790"", 191.94]",1,0,0.06248262,0.93751734,2
3,,microsoft office visio standard 2007,,249.95,microsoft office visio standard 2007 ( pc ),,249.95,"('ltable_title', 'ltable_manufacturer', 'ltable_price')","['microsoft licenses word olp c ( 05903871 )', 'microsoft licenses', 205.73]","['microsoft office visio standard 2007', nan, 249.95]",1,0,0.025337188,0.97466284,3
6,,microsoft licenses word olp c ( 05903871 ),microsoft licenses,205.73,microsoft d48-00369 word mac 10.0 eng gov ' t 659556873790,,191.94,"('rtable_title', 'rtable_manufacturer', 'rtable_price')","['microsoft office visio standard 2007 ( pc )', nan, 249.95]","[""microsoft d48-00369 word mac 10.0 eng gov ' t 659556873790"", nan, 191.94]",1,0,0.0798753,0.92012477,3
9,,microsoft licenses word olp c ( 05903871 ),microsoft licenses,205.73,microsoft d48-00369 word mac 10.0 eng gov ' t 659556873790,,191.94,"('rtable_title', 'rtable_manufacturer', 'rtable_price')","['microsoft office visio standard 2007 ( pc )', nan, 249.95]","[""microsoft d48-00369 word mac 10.0 eng gov ' t 659556873790"", nan, 191.94]",1,0,0.0798753,0.92012477,3
