,ltable_addr,ltable_city,ltable_class,ltable_name,ltable_phone,ltable_res_type,rtable_addr,rtable_city,rtable_class,rtable_name,rtable_phone,rtable_res_type,outcome
0,' 490 e. paces ferry rd. ',` new york ',82.0,` hedgerose heights inn ',404/233 -7673,international,' 3500 las vegas blvd. s. ',atlanta,682.0,' 103 west ',404-233-5993,continental,1
1,' 490 e. paces ferry rd. ',atlanta,82.0,` hedgerose heights inn ',404/233 -7673,international,' 3500 las vegas blvd. s. ',atlanta,682.0,' 103 west ',404-233-5993,continental,1
2,' 490 e. paces ferry rd. ',atlanta,82.0,` hedgerose heights inn ',404/233 -7673,international,' 103 w. paces ferry rd. ',atlanta,82.0,' 103 west ',404-233-5993,continental,1
3,' 1915 fillmore st. ',atlanta,82.0,` hedgerose heights inn ',212/765 -1737,international,' 103 w. paces ferry rd. ',atlanta,682.0,' 103 west ',404-233-5993,continental,1
4,' 490 e. paces ferry rd. ',atlanta,82.0,` hedgerose heights inn ',404/233 -7673,` steak houses ',' 103 w. paces ferry rd. ',atlanta,82.0,' 103 west ',404-233-5993,continental,1
5,' 490 e. paces ferry rd. ',atlanta,82.0,` hedgerose heights inn ',404/233 -7673,` steak houses ',' 103 w. paces ferry rd. ',atlanta,82.0,' 103 west ',212-758-1479,continental,1
6,' 490 e. paces ferry rd. ',atlanta,82.0,` hedgerose heights inn ',818/585 -0855,international,' 103 w. paces ferry rd. ',atlanta,682.0,` heera of india ',404-233-5993,continental,1
7,' 490 e. paces ferry rd. ',atlanta,144.0,` hedgerose heights inn ',404/233 -7673,international,' 103 w. paces ferry rd. ',atlanta,74.0,` second street grill ',404-233-5993,continental,1
8,' 3110 main st. ',atlanta,82.0,` lillie langtry \ 's ',404/233 -7673,international,' 103 w. paces ferry rd. ',atlanta,682.0,' 103 west ',404-233-5993,continental,1
9,' 490 e. paces ferry rd. ',atlanta,82.0,` hedgerose heights inn ',404/233 -7673,international,' 103 w. paces ferry rd. ',atlanta,682.0,' 103 west ',404-233-5993,continental,1
