,ltable_brand,ltable_category,ltable_modelno,ltable_price,ltable_title,rtable_brand,rtable_category,rtable_modelno,rtable_price,rtable_title,outcome
0,canon,printers,dr-2010c,479.98,canon imageformula dr-2010c compact color scanner,canon,scanners,2455b002,24.09,canon 2455b002 imageformula dr-2510c compact color scanner,1
1,canon,electronics - general,27544,479.98,canon imageformula dr-2010c compact color scanner,canon,laminating supplies,2455b002,617.99,canon 2455b002 imageformula dr-2510c compact color scanner,1
2,canon,printers,dr-2010c,479.98,canon imageformula dr-2010c compact color scanner,canon,computers accessories,2455b002,617.99,canon 2455b002 imageformula dr-2510c compact color scanner,1
3,canon,electronics - general,dr-2010c,479.98,canon imageformula dr-2010c compact color scanner,canon,printer accessories,2455b002,29.99,canon 2455b002 imageformula dr-2510c compact color scanner,1
4,canon,networking,27544,479.98,canon imageformula dr-2010c compact color scanner,canon,scanners,2455b002,617.99,canon 2455b002 imageformula dr-2510c compact color scanner,1
5,canon,electronics - general,dr-2010c,90.88,canon imageformula dr-2010c compact color scanner,canon,scanners,2455b002,2622.99,canon 2455b002 imageformula dr-2510c compact color scanner,1
6,canon,electronics - general,dr-2010c,343.99,canon imageformula dr-2010c compact color scanner,canon,scanners,2455b002,617.99,canon 2455b002 imageformula dr-2510c compact color scanner,1
7,canon,electronics - general,27544,479.98,canon imageformula dr-2010c compact color scanner,canon,scanners,2455b002,617.99,canon 2455b002 imageformula dr-2510c compact color scanner,1
8,canon,electronics - general,dr-2010c,479.98,canon imageformula dr-2010c compact color scanner,canon,scanners,2455b002,29.99,canon 2455b002 imageformula dr-2510c compact color scanner,1
9,canon,electronics - general,dr-2010c,29.99,canon imageformula dr-2010c compact color scanner,canon,scanners,2455b002,617.99,canon 2455b002 imageformula dr-2510c compact color scanner,1
