,ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,ltable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,rtable_ABV,outcome
0,Green Flash Hop Head Red Ale,Green Flash Brewing Co. .,American Amber / Red Ale,8.10 %,Figure Eight Bourbon Barrel Aged Jumbo Love,Iron Horse Brewery,American Strong Ale,5 %,1
1,Green Flash Hop Head Red Ale,Three Heads Brewing,American Amber / Red Ale,8.10 %,Iron Horse Fresh Hop Imperial Red Ale,Iron Horse Brewery,American Strong Ale,-,1
2,Green Flash Hop Head Red Ale,Green Flash Brewing Co. .,American Amber / Red Ale,8.10 %,Bristol Old No. 23 Barley Wine,Iron Horse Brewery,American Strong Ale,-,1
3,Green Flash Hop Head Red Ale,Green Flash Brewing Co. .,American Amber / Red Ale,8.20 %,Iron Horse Fresh Hop Imperial Red Ale,18th Street Brewery,American Strong Ale,-,1
4,Green Flash Hop Head Red Ale,Green Flash Brewing Co. .,American Amber / Red Ale,4.50 %,Iron Horse Fresh Hop Imperial Red Ale,Iron Horse Brewery,American Strong Ale,-,1
5,Green Flash Hop Head Red Ale,Green Flash Brewing Co. .,American Amber / Red Ale,8.10 %,Iron Horse Fresh Hop Imperial Red Ale,Iron Horse Brewery,American Strong Ale,6 %,1
6,Red Racer India Style Red Ale,Green Flash Brewing Co. .,American Barleywine,8.10 %,Iron Horse Fresh Hop Imperial Red Ale,Iron Horse Brewery,American Strong Ale,-,1
7,Green Flash Hop Head Red Ale,Green Flash Brewing Co. .,American Amber / Red Ale,8.50 %,Iron Horse Fresh Hop Imperial Red Ale,Iron Horse Brewery,American Strong Ale,-,1
8,Green Flash Hop Head Red Ale,Green Flash Brewing Co. .,American Amber / Red Ale,5.50 %,Iron Horse Fresh Hop Imperial Red Ale,Iron Horse Brewery,American Strong Ale,6.50 %,1
9,Green Flash Hop Head Red Ale,Black Acre Brewing Co. .,American Amber / Red Ale,8.10 %,Iron Horse Fresh Hop Imperial Red Ale,Iron Horse Brewery,American Strong Ale,-,1
