,ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,ltable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,rtable_ABV,outcome
0,Red Headed Slut Amber Ale,Twisted K-8 Brewing Company,American Amber / Red Ale,5.00 %,Lavery Imperial Red Ale &#40; IRA &#41;,Blue Cat Brew Pub,Premium Bitter/ESB,5.70 %,1
1,Sanibel Red Island Ale,Twisted K-8 Brewing Company,American Amber / Red Ale,6.50 %,Blue Cat Red Toad Amber Ale,Blue Cat Brew Pub,India Pale Ale &#40; IPA &#41;,5.70 %,1
2,Red Headed Slut Amber Ale,Twisted K-8 Brewing Company,American Amber / Red Ale,6.50 %,Lompoc Bourbon Barrel Aged Old Tavern Rat,Blue Cat Brew Pub,Altbier,5.70 %,1
3,Red Headed Slut Amber Ale,Twisted K-8 Brewing Company,American Barleywine,9.90 %,Blue Cat Red Toad Amber Ale,Blue Cat Brew Pub,Premium Bitter/ESB,5.70 %,1
4,Red Headed Slut Amber Ale,Twisted K-8 Brewing Company,American Amber / Red Ale,5.40 %,Capitol City Amber Waves Ale,Blue Cat Brew Pub,Premium Bitter/ESB,5.70 %,0
5,Red Headed Slut Amber Ale,Twisted K-8 Brewing Company,American Amber / Red Ale,9.70 %,Blue Cat Red Toad Amber Ale,Salty Nut Brewery,Premium Bitter/ESB,5.70 %,1
6,Red Headed Slut Amber Ale,Twisted K-8 Brewing Company,American Amber / Red Ale,6.50 %,Good People Stepchild Belgian India Red Ale,Blue Cat Brew Pub,American Strong Ale,5.70 %,1
7,Tongue Buckler - Imperial Red Ale,Twisted K-8 Brewing Company,American Amber / Red Ale,6.40 %,Blue Cat Red Toad Amber Ale,Blue Cat Brew Pub,Premium Bitter/ESB,5.70 %,1
8,Red Headed Slut Amber Ale,Portneuf Valley Brewing,American Amber / Red Ale,6.50 %,Blue Cat Red Toad Amber Ale,Blue Cat Brew Pub,Premium Bitter/ESB,7.10 %,1
9,Red Headed Slut Amber Ale,Alexander Keith 's,American Amber / Red Ale,6.50 %,Blue Cat Red Toad Amber Ale,Blue Cat Brew Pub,Premium Bitter/ESB,5.70 %,1
