,ltable_description,ltable_name,ltable_price,rtable_description,rtable_name,rtable_price,outcome
0,panasonic expandable digital cordless dect 6.0 handset in silver kxtga101s expansion handset and charger select 1000 series phone systems big buttons built-in clock with alarm silver finish,linksys wireless-g ethernet bridge wet54g,89.0,"1 x 10/100base-tx network , 1 x usb wi-fi ieee 802.11 b/g",linksys wpsm54g wireless-g usb print server,nan,0
1,"linksys wireless-g ethernet bridge wet54g converts wired-ethernet devices to wireless-g network connectivity for windows , macintosh , linux , playstation consoles , xbox consoles , or anything with an ethernet port plug and play , no driver installation require",linksys wireless-g ethernet bridge wet54g,89.0,"1 x 10/100base-tx network , 1 x usb wi-fi ieee 802.11 b/g",sony picture station digital photo printer dppfp95,nan,0
2,"linksys wireless-g ethernet bridge wet54g converts wired-ethernet devices to wireless-g network connectivity for windows , macintosh , linux , playstation consoles , xbox consoles , or anything with an ethernet port plug and play , no driver installation require",linksys wireless-g ethernet bridge wet54g,89.0,samsung hl56a650 56 ' widescreen 1080p dlp hdtv w / built in ntsc/atsc tuner piano black,linksys wpsm54g wireless-g usb print server,nan,0
3,"linksys wireless-g ethernet bridge wet54g converts wired-ethernet devices to wireless-g network connectivity for windows , macintosh , linux , playstation consoles , xbox consoles , or anything with an ethernet port plug and play , no driver installation require",linksys wireless-g ethernet bridge wet54g,89.0,"1 x 10/100base-tx network , 1 x usb wi-fi ieee 802.11 b/g",sony cyber-shot dsc-w120 digital camera silver dscw120,nan,0
4,canon deluxe soft black camera case 0716b001 compatible with canon powershot s2 is black finish,linksys wireless-g ethernet bridge wet54g,89.0,"1 x 10/100base-tx network , 1 x usb wi-fi ieee 802.11 b/g",linksys wpsm54g wireless-g usb print server,nan,0
5,sony np-fh100 infolithium h series standard rechargeable battery pack npfh100 compatible with most handycam camcorders black finish,linksys wireless-g ethernet bridge wet54g,89.0,"1 x 10/100base-tx network , 1 x usb wi-fi ieee 802.11 b/g",linksys wpsm54g wireless-g usb print server,nan,0
6,"linksys wireless-g ethernet bridge wet54g converts wired-ethernet devices to wireless-g network connectivity for windows , macintosh , linux , playstation consoles , xbox consoles , or anything with an ethernet port plug and play , no driver installation require",linksys wireless-g ethernet bridge wet54g,89.0,"1 x 10/100base-tx network , 1 x usb wi-fi ieee 802.11 b/g",panasonic kx-tga670b cordless handset,nan,0
7,"linksys wireless-g ethernet bridge wet54g converts wired-ethernet devices to wireless-g network connectivity for windows , macintosh , linux , playstation consoles , xbox consoles , or anything with an ethernet port plug and play , no driver installation require",linksys wireless-g ethernet bridge wet54g,89.0,steel 280 lb,linksys wpsm54g wireless-g usb print server,nan,0
8,panasonic integrated white telephone system with all-digital answering system kxts620w 2-way recording call waiting caller id speakerphone 3-line lcd data port ringer indicator lamp programmable tone/pulse wall mountable white finish,linksys wireless-g ethernet bridge wet54g,89.0,"1 x 10/100base-tx network , 1 x usb wi-fi ieee 802.11 b/g",linksys wpsm54g wireless-g usb print server,nan,0
9,sanus 15 ' 37 ' visionmount full-motion flat panel tv black wall mount mf215b1 easily conceal hardware easy to install includes two vesa-compatible tv brackets virtual axis 3d black finish,linksys wireless-g ethernet bridge wet54g,89.0,"1 x 10/100base-tx network , 1 x usb wi-fi ieee 802.11 b/g",linksys wpsm54g wireless-g usb print server,nan,0
