,ltable_name,ltable_addr,ltable_city,ltable_phone,ltable_res_type,ltable_class,rtable_name,rtable_addr,rtable_city,rtable_phone,rtable_res_type,rtable_class,outcome
0,` le perigord ',' 405 e. 52nd st. ',` new york ',310/399 -4800,french,291.0,` indigo coastal grill ',' 3 e. 52nd st. ',` new york city ',212-752-1495,` french ( classic ) ',623.0,1
1,` le perigord ',' 405 e. 52nd st. ',` new york ',212/755 -6244,` tel caribbean ',291.0,` la grenouille ',' 490 e. paces ferry rd. ne ',` new york city ',212-752-1495,` french ( classic ) ',623.0,1
2,` le perigord ',' 405 e. 52nd st. ',` new york ',212/755 -6244,french,291.0,` morton \ 's of chicago ( las vegas ) ',' 3 e. 52nd st. ',` new york city ',212-752-1495,chinese,623.0,1
3,` jack sprat \ 's grill ',' 405 e. 52nd st. ',` new york ',212/755 -6244,french,291.0,` la grenouille ',' 3 e. 52nd st. ',` new york city ',212-752-1495,` french ( classic ) ',623.0,1
4,` le perigord ',' 405 e. 52nd st. ',` new york ',212/755 -6244,french,50.0,` la grenouille ',' 3 e. 52nd st. ',` new york city ',415-826-4639,` french ( classic ) ',623.0,1
5,` le perigord ',' 405 e. 52nd st. ',` las vegas ',212/755 -6244,french,291.0,` la grenouille ',' 3 e. 52nd st. ',` west la ',212-752-1495,` french ( classic ) ',623.0,1
6,` le perigord ',' 405 e. 52nd st. ',` new york ',212/755 -6244,french,291.0,` la grenouille ',' 3 e. 52nd st. ',` new york city ',212-752-1495,` french ( classic ) ',557.0,1
7,` le perigord ','67 n. raymond ave. ',` new york ',212/755 -6244,french,429.0,` la grenouille ',' 3 e. 52nd st. ',` new york city ',212-752-1495,` french ( classic ) ',623.0,1
8,` le perigord ',' 405 e. 52nd st. ',` new york ',212/755 -6244,french,427.0,` la grenouille ',' 3 e. 52nd st. ',la,212-752-1495,` french ( classic ) ',623.0,1
9,` heera of india ',' 2355 peachtree rd. . peachtree battle shopping center ',` new york ',212/755 -6244,french,291.0,` la grenouille ',' 3 e. 52nd st. ',` new york city ',212-752-1495,` french ( classic ) ',623.0,1
