,label,ltable_name,ltable_addr,ltable_city,ltable_phone,ltable_res_type,ltable_class,rtable_name,rtable_addr,rtable_city,rtable_phone,rtable_res_type,rtable_class,alteredAttributes,droppedValues,copiedValues,classes,labels,nomatch_score,match_score,attr_count
62,,` ca \ ` brea ',' 346 s. la brea ave. ',` los angeles ',213/938 -2863,italian,118,` pink \ 's famous chili dogs ',' 346 s. la brea ave. ',la,213/938 -2863,` hot dogs ',586,"('rtable_addr', 'rtable_phone')","[""' 709 n. la brea ave. '"", '213-931-4223']","[""' 346 s. la brea ave. '"", '213/938 -2863']",1,0,0.18763165,0.81236833,2
20,,` ca \ ` brea ',' 346 s. la brea ave. ',` los angeles ',213/938 -2863,italian,118,` pink \ 's famous chili dogs ',' 346 s. la brea ave. ',la,213/938 -2863,` hot dogs ',586,"('rtable_addr', 'rtable_phone')","[""' 709 n. la brea ave. '"", '213-931-4223']","[""' 346 s. la brea ave. '"", '213/938 -2863']",1,0,0.18763165,0.81236833,2
19,,` ca \ ` brea ',' 346 s. la brea ave. ',` los angeles ',213/938 -2863,italian,118,` ca \ ` brea ',' 709 n. la brea ave. ',la,213/938 -2863,` hot dogs ',586,"('rtable_name', 'rtable_phone')","[""` pink \\ 's famous chili dogs '"", '213-931-4223']","[""` ca \\ ` brea '"", '213/938 -2863']",1,0,0.46600482,0.5339952,2
42,,` ca \ ` brea ',' 346 s. la brea ave. ',` los angeles ',213/938 -2863,italian,118,` ca \ ` brea ',' 709 n. la brea ave. ',la,213/938 -2863,` hot dogs ',586,"('rtable_name', 'rtable_phone')","[""` pink \\ 's famous chili dogs '"", '213-931-4223']","[""` ca \\ ` brea '"", '213/938 -2863']",1,0,0.46600482,0.5339952,2
61,,` ca \ ` brea ',' 346 s. la brea ave. ',` los angeles ',213/938 -2863,italian,118,` ca \,' 709 n. la brea ave. ',la,213/938 -2863,` hot dogs ',586,"('rtable_name', 'rtable_phone')","[""` pink \\ 's famous chili dogs '"", '213-931-4223']","['` ca \\', '213/938 -2863']",1,0,0.2994702,0.7005298,2
124,,` ca \ ` brea ',' 346 s. la brea ave. ',` los angeles ',213/938 -2863,italian,118,` ca \ ` brea ',' 709 n. la brea ave. ',la,213/938 -2863,` hot dogs ',586,"('rtable_name', 'rtable_phone')","[""` pink \\ 's famous chili dogs '"", '213-931-4223']","[""` ca \\ ` brea '"", '213/938 -2863']",1,0,0.46600482,0.5339952,2
125,,` ca \ ` brea ',' 346 s. la brea ave. ',` los angeles ',213/938 -2863,italian,118,` pink \ 's famous chili dogs ',' 346 s.,la,213/938 -2863,` hot dogs ',586,"('rtable_addr', 'rtable_phone')","[""' 709 n. la brea ave. '"", '213-931-4223']","[""' 346 s."", '213/938 -2863']",1,0,0.246669,0.75333107,2
25,,` ca \ ` brea ',' 346 s. la brea ave. ',` los angeles ',213/938 -2863,italian,118,` pink \ 's famous chili dogs ',' 346 s. la brea ave. ',la,213/938 -2863,` hot dogs ',118,"('rtable_addr', 'rtable_phone', 'rtable_class')","[""' 709 n. la brea ave. '"", '213-931-4223', 586]","[""' 346 s. la brea ave. '"", '213/938 -2863', 118]",1,0,0.35224566,0.6477544,3
24,,` ca \ ` brea ',' 346 s. la brea ave. ',` los angeles ',213/938 -2863,italian,118,` pink \ 's famous chili dogs ',' 346 s. la brea ave. ',la,213/938 -2863,italian,586,"('rtable_addr', 'rtable_phone', 'rtable_res_type')","[""' 709 n. la brea ave. '"", '213-931-4223', ""` hot dogs '""]","[""' 346 s. la brea ave. '"", '213/938 -2863', 'italian']",1,0,0.34878597,0.651214,3
23,,` ca \ ` brea ',' 346 s. la brea ave. ',` los angeles ',213/938 -2863,italian,118,` pink \ 's famous chili dogs ',' 346 s. la brea ave. ',angeles ',213/938 -2863,` hot dogs ',586,"('rtable_addr', 'rtable_city', 'rtable_phone')","[""' 709 n. la brea ave. '"", 'la', '213-931-4223']","[""' 346 s. la brea ave. '"", ""angeles '"", '213/938 -2863']",1,0,0.25859493,0.741405,3
