,ltable_description,ltable_name,ltable_price,rtable_description,rtable_name,rtable_price,outcome
0,"canon pixma multifunction printer mx310 up to 4800 x 1200 color dpi resolution microscopic 2-picoliter sized ink droplets built-in auto-image fix quick start smart copying copies , scans , faxes and prints documents prints photos",canon pixma multifunction printer mx310,599.0,canon pixma mx700 office all-in-one printer,canon powershot sx10 is digital camera 2665b001,nan,1
1,"canon pixma multifunction printer mx310 up to 4800 x 1200 color dpi resolution microscopic 2-picoliter sized ink droplets built-in auto-image fix quick start smart copying copies , scans , faxes and prints documents prints photos",canon pixma multifunction printer mx310,nan,"samsung pn58a550 58 ' widescreen 1080p plasma hdtv 1,000,000:1 dynamic contrast ratio piano black",canon powershot sx10 is digital camera 2665b001,nan,1
2,"canon pixma multifunction printer mx310 up to 4800 x 1200 color dpi resolution microscopic 2-picoliter sized ink droplets built-in auto-image fix quick start smart copying copies , scans , faxes and prints documents prints photos",lg 14 ' washer and dryer red pedestal with drawer wdp3r,nan,canon pixma mx700 office all-in-one printer,lg electronics wdp3 laundry pedestal with drawer blue,nan,1
3,"canon pixma multifunction printer mx310 up to 4800 x 1200 color dpi resolution microscopic 2-picoliter sized ink droplets built-in auto-image fix quick start smart copying copies , scans , faxes and prints documents prints photos",canon pixma multifunction printer mx310,nan,canon pixma mx700 office all-in-one printer,canon dc310 digital camcorder 2694b001,789.98,1
4,"canon pixma multifunction printer mx310 up to 4800 x 1200 color dpi resolution microscopic 2-picoliter sized ink droplets built-in auto-image fix quick start smart copying copies , scans , faxes and prints documents prints photos",canon pixma multifunction printer mx310,nan,"samsung pn58a550 58 ' widescreen 1080p plasma hdtv 1,000,000:1 dynamic contrast ratio piano black",directed electronics sportster 4 sirius satellite radio receiver sp4tk1,nan,1
5,"canon pixma multifunction printer mx310 up to 4800 x 1200 color dpi resolution microscopic 2-picoliter sized ink droplets built-in auto-image fix quick start smart copying copies , scans , faxes and prints documents prints photos",canon pixma multifunction printer mx310,nan,lithium ion ( li-ion ) 8.4 v dc photo battery,directed electronics sportster 4 sirius satellite radio receiver sp4tk1,nan,1
6,"canon pixma multifunction printer mx310 up to 4800 x 1200 color dpi resolution microscopic 2-picoliter sized ink droplets built-in auto-image fix quick start smart copying copies , scans , faxes and prints documents prints photos",canon pixma multifunction printer mx310,nan,"1 x 10/100base-tx network , 1 x usb wi-fi ieee 802.11 b/g",directed electronics sportster 4 sirius satellite radio receiver sp4tk1,nan,1
7,canon silver 8.0 megapixel powershot digital camera sd1100is 8.0 megapixel 3x optical zoom 2.5 ' color lcd 18 shooting modes red-eye correction face detection technology isaps technology swing silver finish,canon pixma multifunction printer mx310,nan,canon pixma mx700 office all-in-one printer,canon powershot sx10 is digital camera 2665b001,nan,1
8,"canon pixma multifunction printer mx310 up to 4800 x 1200 color dpi resolution microscopic 2-picoliter sized ink droplets built-in auto-image fix quick start smart copying copies , scans , faxes and prints documents prints photos",canon pixma multifunction printer mx310,nan,lithium ion ( li-ion ) photo battery,canon dc310 digital camcorder 2694b001,nan,1
9,"canon pixma multifunction printer mx310 up to 4800 x 1200 color dpi resolution microscopic 2-picoliter sized ink droplets built-in auto-image fix quick start smart copying copies , scans , faxes and prints documents prints photos",canon pixma multifunction printer mx310,nan,canon pixma mx700 office all-in-one printer,canon powershot sx10 is digital camera 2665b001,nan,1
