,ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,ltable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,rtable_ABV,outcome
0,Double Dragon Imperial Red Ale,Phillips Brewing Company,American Amber / Red Ale,8.20 %,Scuttlebutt Mateo Loco Imperial Red Ale,Riverbend Brewing & Sports Pub,Altbier,7.10 %,0
1,Double Dragon Imperial Red Ale,Phillips Brewing Company,American Barleywine,8.20 %,Scuttlebutt Mateo Loco Imperial Red Ale,Scuttlebutt Brewing Co. .,Premium Bitter/ESB,7.10 %,0
2,Bourbon Barrel Aged Horus Imperial Red,Phillips Brewing Company,American Amber / Red Ale,8.20 %,Scuttlebutt Mateo Loco Imperial Red Ale,Scuttlebutt Brewing Co. .,Premium Bitter/ESB,7.10 %,0
3,Double Dragon Imperial Red Ale,Phillips Brewing Company,American Amber / Red Ale,8.20 %,Scuttlebutt Mateo Loco Imperial Red Ale,Kern River Brewing,Spice/Herb/Vegetable,7.10 %,0
4,Double Dragon Imperial Red Ale,Phillips Brewing Company,American Amber / Red Ale,6.10 %,Big Time Lift Ticket American Red Ale,Scuttlebutt Brewing Co. .,American Strong Ale,7.10 %,0
5,Double Dragon Imperial Red Ale,Phillips Brewing Company,American Amber / Red Ale,8.20 %,Scuttlebutt Mateo Loco Imperial Red Ale,Riverbend Brewing & Sports Pub,American Strong Ale,7.40 %,0
6,Double Dragon Imperial Red Ale,Central City Brewers + Distillers,American Amber / Red Ale,8.20 %,Scuttlebutt Mateo Loco Imperial Red Ale,Scuttlebutt Brewing Co. .,American Strong Ale,4.90 %,0
7,Elevator Barrel Aged Barley Wine ( Bar Bar ),Phillips Brewing Company,American Amber / Red Ale,8.20 %,Scuttlebutt Mateo Loco Imperial Red Ale,Scuttlebutt Brewing Co. .,Premium Bitter/ESB,7.10 %,0
8,Red Rocket Amber Ale,Phillips Brewing Company,American Amber / Red Ale,8.20 %,Big Time Lift Ticket American Red Ale,Scuttlebutt Brewing Co. .,American Strong Ale,7.10 %,0
9,Double Dragon Imperial Red Ale,Phillips Brewing Company,American Amber / Red Ale,4.60 %,Scuttlebutt Mateo Loco Imperial Red Ale,Scuttlebutt Brewing Co. .,Premium Bitter/ESB,7.10 %,0
