,ltable_title,ltable_authors,ltable_venue,ltable_year,rtable_title,rtable_authors,rtable_venue,rtable_year,outcome
0,coss : the common object services specifications sigmod conference 1994,"mathias weske , gottfried vossen",nan,nan,the ores temporal database management system,"babis theodoulidis , aziz ait-braham , george andrianopoulos , jayant chaudhary , george karvelis , simon sou",international conference on management of data,1994.0,0
1,coss : the common object services specifications sigmod conference 1994,"ulrich güntzer , werner kießling , wolf-tilo balke",nan,nan,the ores temporal database management system,"babis theodoulidis , aziz ait-braham , george andrianopoulos , jayant chaudhary , george karvelis , simon sou",international conference on management of data,1994.0,0
2,coss : the common object services specifications sigmod conference 1994,"malcolm p. atkinson , ronald morrison",nan,nan,the ores temporal database management system,"babis theodoulidis , aziz ait-braham , george andrianopoulos , jayant chaudhary , george karvelis , simon sou",international conference on management of data,1994.0,0
3,coss : the common object services specifications sigmod conference 1994,"mathias weske , gottfried vossen",nan,nan,the ores temporal database management system,"babis theodoulidis , aziz ait-braham , george andrianopoulos , jayant chaudhary , george karvelis , simon sou",international conference on management of data,1995.0,0
4,"clustering validity checking methods : part ii michalis vazirgiannis , maria halkidi , yannis batistakis sigmod record","mathias weske , gottfried vossen",nan,nan,the ores temporal database management system,"babis theodoulidis , aziz ait-braham , george andrianopoulos , jayant chaudhary , george karvelis , simon sou",international conference on management of data,nan,0
5,coss : the common object services specifications sigmod conference 1994,"mathias weske , gottfried vossen",nan,nan,the ores temporal database management system,"per - &#197; ke larson , jonathan goldstein , jingren zhou",international conference on management of data,1994.0,0
6,"clustering validity checking methods : part ii michalis vazirgiannis , maria halkidi , yannis batistakis sigmod record","mathias weske , gottfried vossen",nan,1996.0,the ores temporal database management system,"babis theodoulidis , aziz ait-braham , george andrianopoulos , jayant chaudhary , george karvelis , simon sou",international conference on management of data,1994.0,0
7,coss : the common object services specifications sigmod conference 1994,"mathias weske , gottfried vossen",nan,nan,the ores temporal database management system,"babis theodoulidis , aziz ait-braham , george andrianopoulos , jayant chaudhary , george karvelis , simon sou",the vldb journal -- the international journal on very large data bases,1994.0,0
8,"clustering validity checking methods : part ii michalis vazirgiannis , maria halkidi , yannis batistakis sigmod record","mathias weske , gottfried vossen",nan,nan,the ores temporal database management system,"babis theodoulidis , aziz ait-braham , george andrianopoulos , jayant chaudhary , george karvelis , simon sou",the vldb journal -- the international journal on very large data bases,1994.0,1
9,"clustering validity checking methods : part ii michalis vazirgiannis , maria halkidi , yannis batistakis sigmod record","mathias weske , gottfried vossen",nan,nan,the ores temporal database management system,"babis theodoulidis , aziz ait-braham , george andrianopoulos , jayant chaudhary , george karvelis , simon sou",international conference on management of data,1994.0,0
