,ltable_name,ltable_addr,ltable_city,ltable_phone,ltable_res_type,ltable_class,rtable_name,rtable_addr,rtable_city,rtable_phone,rtable_res_type,rtable_class,alteredAttributes,droppedValues,copiedValues,nomatch_score,match_score,attr_count
0,` san pietro ',' 160 central park s ',` new york ',212/484 -5113,french,42,` san domenico ',' 240 central park s. ',` new york city ',212-265-5959,italian,57,"('ltable_name',)","[""` les celebrites '""]","[""` san pietro '""]",0.044045407,0.9559546,2
34,` l \ ` auberge du midi ',' 160 central park s ',` new york ',212/484 -5113,french,42,` san domenico ',' 240 central park s. ',` new york city ',212-265-5959,italian,57,"('ltable_name', 'ltable_city')","[""` les celebrites '"", ""` new york '""]","[""` l \\ ` auberge du midi '"", ""` new york '""]",0.22339477,0.77660525,2
35,` l \ ` auberge du midi ',' 160 central park s ',` new york ',212/242 -4705,french,42,` san domenico ',' 240 central park s. ',` new york city ',212-265-5959,italian,57,"('ltable_name', 'ltable_phone')","[""` les celebrites '"", '212/484 -5113']","[""` l \\ ` auberge du midi '"", '212/242 -4705']",0.22339477,0.77660525,2
36,` l \ ` auberge du midi ',' 160 central park s ',` new york ',212/484 -5113,french,42,` san domenico ',' 240 central park s. ',` new york city ',212-265-5959,italian,57,"('ltable_name', 'ltable_res_type')","[""` les celebrites '"", 'french']","[""` l \\ ` auberge du midi '"", 'french']",0.22339477,0.77660525,2
37,` l \ ` auberge du midi ',' 160 central park s ',` new york ',212/484 -5113,french,279,` san domenico ',' 240 central park s. ',` new york city ',212-265-5959,italian,57,"('ltable_name', 'ltable_class')","[""` les celebrites '"", 42]","[""` l \\ ` auberge du midi '"", 279]",0.42516008,0.57483995,2
141,` buca giovanni ',' 160 central park s ',` new york ',415/776 -7766,french,42,` san domenico ',' 240 central park s. ',` new york city ',212-265-5959,italian,57,"('ltable_name', 'ltable_phone')","[""` les celebrites '"", '212/484 -5113']","[""` buca giovanni '"", '415/776 -7766']",0.36100912,0.6389909,2
140,` buca giovanni ',' 160 central park s ',` san francisco ',212/484 -5113,french,42,` san domenico ',' 240 central park s. ',` new york city ',212-265-5959,italian,57,"('ltable_name', 'ltable_city')","[""` les celebrites '"", ""` new york '""]","[""` buca giovanni '"", ""` san francisco '""]",0.13881525,0.8611848,2
139,` buca giovanni ',' 800 greenwich st. ',` new york ',212/484 -5113,french,42,` san domenico ',' 240 central park s. ',` new york city ',212-265-5959,italian,57,"('ltable_name', 'ltable_addr')","[""` les celebrites '"", ""' 160 central park s '""]","[""` buca giovanni '"", ""' 800 greenwich st. '""]",0.47745937,0.5225406,2
138,` buca giovanni ',' 160 central park s ',` new york ',212/484 -5113,french,42,` san domenico ',' 240 central park s. ',` new york city ',212-265-5959,italian,57,"('ltable_name',)","[""` les celebrites '""]","[""` buca giovanni '""]",0.36100912,0.6389909,2
64,` il nido ',' 160 central park s ',` new york ',212/484 -5113,french,42,` san domenico ',' 240 central park s. ',` new york city ',212-265-5959,italian,57,"('ltable_name',)","[""` les celebrites '""]","[""` il nido '""]",0.11769478,0.88230526,2
65,` il nido ',' 251 e. 53rd st. ',` new york ',212/484 -5113,french,42,` san domenico ',' 240 central park s. ',` new york city ',212-265-5959,italian,57,"('ltable_name', 'ltable_addr')","[""` les celebrites '"", ""' 160 central park s '""]","[""` il nido '"", ""' 251 e. 53rd st. '""]",0.1985781,0.8014219,2
66,` il nido ',' 160 central park s ',` new york ',212/484 -5113,french,42,` san domenico ',' 240 central park s. ',` new york city ',212-265-5959,italian,57,"('ltable_name', 'ltable_city')","[""` les celebrites '"", ""` new york '""]","[""` il nido '"", ""` new york '""]",0.117694646,0.8823053,2
67,` il nido ',' 160 central park s ',` new york ',212/753 -8450,french,42,` san domenico ',' 240 central park s. ',` new york city ',212-265-5959,italian,57,"('ltable_name', 'ltable_phone')","[""` les celebrites '"", '212/484 -5113']","[""` il nido '"", '212/753 -8450']",0.117694646,0.8823053,2
68,` il nido ',' 160 central park s ',` new york ',212/484 -5113,italian,42,` san domenico ',' 240 central park s. ',` new york city ',212-265-5959,italian,57,"('ltable_name', 'ltable_res_type')","[""` les celebrites '"", 'french']","[""` il nido '"", 'italian']",0.07210627,0.9278937,2
69,` il nido ',' 160 central park s ',` new york ',212/484 -5113,french,267,` san domenico ',' 240 central park s. ',` new york city ',212-265-5959,italian,57,"('ltable_name', 'ltable_class')","[""` les celebrites '"", 42]","[""` il nido '"", 267]",0.24074548,0.7592545,2
113,` scala \ 's bistro ',' 160 central park s ',` new york ',212/484 -5113,french,511,` san domenico ',' 240 central park s. ',` new york city ',212-265-5959,italian,57,"('ltable_name', 'ltable_class')","[""` les celebrites '"", 42]","[""` scala \\ 's bistro '"", 511]",0.28677616,0.7132239,2
112,` scala \ 's bistro ',' 160 central park s ',` new york ',212/484 -5113,italian,42,` san domenico ',' 240 central park s. ',` new york city ',212-265-5959,italian,57,"('ltable_name', 'ltable_res_type')","[""` les celebrites '"", 'french']","[""` scala \\ 's bistro '"", 'italian']",0.03650052,0.9634995,2
111,` scala \ 's bistro ',' 160 central park s ',` new york ',415/395 -8555,french,42,` san domenico ',' 240 central park s. ',` new york city ',212-265-5959,italian,57,"('ltable_name', 'ltable_phone')","[""` les celebrites '"", '212/484 -5113']","[""` scala \\ 's bistro '"", '415/395 -8555']",0.05010913,0.9498909,2
