,ltable_name,ltable_description,ltable_price,rtable_name,rtable_description,rtable_price,outcome
0,panasonic black 8.5 ' portable dvd player dvdls83,panasonic black 8.5 ' portable dvd player dvdls83 8.5 ' free style wide screen lcd display 6 hour battery multi format playback dual headphone jacks divx playback car dc adapter included black finish,nan,sanus visionmount flat panel tv wall mount vmpl3b,"32 ' atsc , ntsc 16:9 1366 x 768 hdtv",119.36,0
1,panasonic black 8.5 ' portable dvd player dvdls83,panasonic black 8.5 ' portable dvd player dvdls83 8.5 ' free style wide screen lcd display 6 hour battery multi format playback dual headphone jacks divx playback car dc adapter included black finish,nan,sanus visionmount flat panel tv wall mount vmpl3b,"32 ' atsc , ntsc 16:9 1366 x 768 hdtv",397.77,0
2,lg 14 ' washer and dryer red pedestal with drawer wdp3r,belkin neoprene sleeve for macbook air f8n065blk slim and lightweight high quality neoprene protective case asymmetrical zipper black finish,39.95,canon pixma mx700 multifunction photo printer 2186b002,toshiba sd-p71s 7 ' portable dvd player,119.36,0
3,panasonic black 8.5 ' portable dvd player dvdls83,panasonic black 8.5 ' portable dvd player dvdls83 8.5 ' free style wide screen lcd display 6 hour battery multi format playback dual headphone jacks divx playback car dc adapter included black finish,69.0,sanus visionmount flat panel tv wall mount vmpl3b,"32 ' atsc , ntsc 16:9 1366 x 768 hdtv",119.36,0
4,panasonic black 8.5 ' portable dvd player dvdls83,panasonic black 8.5 ' portable dvd player dvdls83 8.5 ' free style wide screen lcd display 6 hour battery multi format playback dual headphone jacks divx playback car dc adapter included black finish,nan,sanus visionmount flat panel tv wall mount vmpl3b,"1 x phone line ( s ) black , metallic",119.36,0
5,lg 14 ' washer and dryer red pedestal with drawer wdp3r,belkin neoprene sleeve for macbook air f8n065blk slim and lightweight high quality neoprene protective case asymmetrical zipper black finish,39.95,canon pixma mx700 multifunction photo printer 2186b002,toshiba sd-p71s 7 ' portable dvd player,339.88,0
6,sony blu-ray disc player bdps550,panasonic black 8.5 ' portable dvd player dvdls83 8.5 ' free style wide screen lcd display 6 hour battery multi format playback dual headphone jacks divx playback car dc adapter included black finish,178.0,sanus visionmount flat panel tv wall mount vmpl3b,lithium ion ( li-ion ) 8.4 v dc photo battery,329.0,0
7,lg 14 ' washer and dryer red pedestal with drawer wdp3r,panasonic black 8.5 ' portable dvd player dvdls83 8.5 ' free style wide screen lcd display 6 hour battery multi format playback dual headphone jacks divx playback car dc adapter included black finish,nan,canon pixma mx700 multifunction photo printer 2186b002,toshiba sd-p71s 7 ' portable dvd player,1889.98,0
8,panasonic black 8.5 ' portable dvd player dvdls83,panasonic black 8.5 ' portable dvd player dvdls83 8.5 ' free style wide screen lcd display 6 hour battery multi format playback dual headphone jacks divx playback car dc adapter included black finish,69.0,sanus visionmount flat panel tv wall mount vmpl3b,"32 ' atsc , ntsc 16:9 1366 x 768 hdtv",329.0,0
9,lg 14 ' washer and dryer red pedestal with drawer wdp3r,panasonic black 8.5 ' portable dvd player dvdls83 8.5 ' free style wide screen lcd display 6 hour battery multi format playback dual headphone jacks divx playback car dc adapter included black finish,nan,canon pixma mx700 multifunction photo printer 2186b002,2 x phone line ( s ) headset white,1889.98,0
