,ltable_title,ltable_category,ltable_brand,ltable_modelno,ltable_price,rtable_title,rtable_category,rtable_brand,rtable_modelno,rtable_price,outcome
0,tops second nature subject wire notebook college rule 6 x 9-1 2 we 80 sheets,tv accessories,paper mate,resl422b-e,180.0,accell ultraav b101b-003b display port with vga active adapter,digital cameras,avf,resl422b-f,230.74,0
1,orbital tilt and turn tv wall mount with glass shelving for 25-40 tvs,usb drives,orbital,m552pink,59.99,samsung s2 portable hard drive 640 gb usb 3.0 external hard drive hx-mta64da g32 snow white,tv mounts,avf,resl422b-f,125.99,0
2,elite screens cinegray prime vision series fixed frame screen - 135 diagonal,tv accessories,belkin,resl422b-e,0.0,balt inc. wheasel easel adjustable melamine dry erase board 28 3 4 x 59 1 2 white,laser printer toner,avf,resl422b-f,904.95,0
3,elite screens cinegray prime vision series fixed frame screen - 135 diagonal,tv accessories,belkin,resl422b-e,0.0,balt inc. wheasel easel adjustable melamine dry erase board 28 3 4 x 59 1 2 white,laser printer toner,avf,resl422b-f,125.99,0
4,orbital tilt and turn tv wall mount with glass shelving for 25-40 tvs,digital cameras,srs labs,85303,0.0,new-tops 73505 - notebook w red cover narrow rule 5-1 2 x 8-1 2 white 100 sheets pad - top73505,switches,paper mate,resl422b-f,125.99,0
5,tops second nature subject wire notebook college rule 6 x 9-1 2 we 80 sheets,stationery & office machinery,lexmark,resl422b-e,32.88,accell ultraav b101b-003b display port with vga active adapter,tv mounts,avf,resl422b-f,nan,0
6,tops second nature subject wire notebook college rule 6 x 9-1 2 we 80 sheets,tv accessories,orbital,resl422b-e,180.0,accell ultraav b101b-003b display port with vga active adapter,digital cameras,avf,resl422b-f,230.74,0
7,tops second nature subject wire notebook college rule 6 x 9-1 2 we 80 sheets,tv accessories,orbital,resl422b-e,180.0,accell ultraav b101b-003b display port with vga active adapter,tv mounts,avf,resl422b-f,230.74,0
8,orbital tilt and turn tv wall mount with glass shelving for 25-40 tvs,usb drives,orbital,m552pink,0.0,samsung s2 portable hard drive 640 gb usb 3.0 external hard drive hx-mta64da g32 snow white,tv mounts,avf,resl422b-f,125.99,0
9,orbital tilt and turn tv wall mount with glass shelving for 25-40 tvs,tv accessories,samsung,nan,0.0,da-lite carpeted picture king with keystone eliminator - projection screen with tripod - 1 1 - matte white - black,tv mounts,hp,resl422b-f,125.99,0
