,ltable_title,ltable_category,ltable_brand,ltable_modelno,ltable_price,rtable_title,rtable_category,rtable_brand,rtable_modelno,rtable_price,alteredAttributes,droppedValues,copiedValues,nomatch_score,match_score,attr_count
0,orbital tilt and turn tv wall mount with glass shelving for 25-40 tvs,tv accessories,orbital,resl422b-e,0.0,new-scotch 1448 - precision scissors pointed 8 length 3-1 8 cut gray red - mmm1448,tv mounts,avf,resl422b-f,125.99,"('rtable_title',)",['avf resl422b-f orbital tilt and turn tv mount with av shelving for 25 to 40-inch flat panel tv screens black'],['new-scotch 1448 - precision scissors pointed 8 length 3-1 8 cut gray red - mmm1448'],0.99999905,9.183763e-07,2
34,orbital tilt and turn tv wall mount with glass shelving for 25-40 tvs,tv accessories,orbital,resl422b-e,0.0,goldtouch numberic usb keypad-black-macintosh,tv mounts,plantronics,resl422b-f,125.99,"('rtable_title', 'rtable_brand')","['avf resl422b-f orbital tilt and turn tv mount with av shelving for 25 to 40-inch flat panel tv screens black', 'avf']","['goldtouch numberic usb keypad-black-macintosh', 'plantronics']",0.9992524,0.00074761384,2
35,orbital tilt and turn tv wall mount with glass shelving for 25-40 tvs,tv accessories,orbital,resl422b-e,0.0,goldtouch numberic usb keypad-black-macintosh,tv mounts,avf,gtc-macb,125.99,"('rtable_title', 'rtable_modelno')","['avf resl422b-f orbital tilt and turn tv mount with av shelving for 25 to 40-inch flat panel tv screens black', 'resl422b-f']","['goldtouch numberic usb keypad-black-macintosh', 'gtc-macb']",0.9978186,0.0021813626,2
36,orbital tilt and turn tv wall mount with glass shelving for 25-40 tvs,tv accessories,orbital,resl422b-e,0.0,goldtouch numberic usb keypad-black-macintosh,tv mounts,avf,resl422b-f,52.29,"('rtable_title', 'rtable_price')","['avf resl422b-f orbital tilt and turn tv mount with av shelving for 25 to 40-inch flat panel tv screens black', 125.99]","['goldtouch numberic usb keypad-black-macintosh', 52.29]",0.99993825,6.1749335e-05,2
81,orbital tilt and turn tv wall mount with glass shelving for 25-40 tvs,tv accessories,orbital,resl422b-e,0.0,targus brilliance ii backpack designed for 16-inch laptop - tsb219us black gray,bags cases,avf,resl422b-f,125.99,"('rtable_title', 'rtable_category')","['avf resl422b-f orbital tilt and turn tv mount with av shelving for 25 to 40-inch flat panel tv screens black', 'tv mounts']","['targus brilliance ii backpack designed for 16-inch laptop - tsb219us black gray', 'bags cases']",0.9999871,1.2932286e-05,2
115,orbital tilt and turn tv wall mount with glass shelving for 25-40 tvs,tv accessories,orbital,resl422b-e,0.0,universal 10312 - pressboard classification folders legal six-section emerald green 10 box,tv mounts,avf,,125.99,"('rtable_title', 'rtable_modelno')","['avf resl422b-f orbital tilt and turn tv mount with av shelving for 25 to 40-inch flat panel tv screens black', 'resl422b-f']","['universal 10312 - pressboard classification folders legal six-section emerald green 10 box', nan]",1.0,5.815129e-09,2
114,orbital tilt and turn tv wall mount with glass shelving for 25-40 tvs,tv accessories,orbital,resl422b-e,0.0,universal 10312 - pressboard classification folders legal six-section emerald green 10 box,tv mounts,universal,resl422b-f,125.99,"('rtable_title', 'rtable_brand')","['avf resl422b-f orbital tilt and turn tv mount with av shelving for 25 to 40-inch flat panel tv screens black', 'avf']","['universal 10312 - pressboard classification folders legal six-section emerald green 10 box', 'universal']",1.0,1.8040699e-09,2
113,orbital tilt and turn tv wall mount with glass shelving for 25-40 tvs,tv accessories,orbital,resl422b-e,0.0,universal 10312 - pressboard classification folders legal six-section emerald green 10 box,,avf,resl422b-f,125.99,"('rtable_title', 'rtable_category')","['avf resl422b-f orbital tilt and turn tv mount with av shelving for 25 to 40-inch flat panel tv screens black', 'tv mounts']","['universal 10312 - pressboard classification folders legal six-section emerald green 10 box', nan]",1.0,1.9195123e-11,2
112,orbital tilt and turn tv wall mount with glass shelving for 25-40 tvs,tv accessories,orbital,resl422b-e,0.0,universal 10312 - pressboard classification folders legal six-section emerald green 10 box,tv mounts,avf,resl422b-f,125.99,"('rtable_title',)",['avf resl422b-f orbital tilt and turn tv mount with av shelving for 25 to 40-inch flat panel tv screens black'],['universal 10312 - pressboard classification folders legal six-section emerald green 10 box'],1.0,6.6753745e-09,2
48,orbital tilt and turn tv wall mount with glass shelving for 25-40 tvs,tv accessories,orbital,resl422b-e,0.0,microsoft natural keyboard elite - black,tv mounts,avf,resl422b-f,125.99,"('rtable_title',)",['avf resl422b-f orbital tilt and turn tv mount with av shelving for 25 to 40-inch flat panel tv screens black'],['microsoft natural keyboard elite - black'],0.9999995,4.6175006e-07,2
