,ltable_title,ltable_authors,ltable_venue,ltable_year,rtable_title,rtable_authors,rtable_venue,rtable_year,alteredAttributes,droppedValues,copiedValues,nomatch_score,match_score,attr_count
0,metadata for multimedia documents,"k bіhm , t rakow",sigmod record,1994,multimedia documents with elastic time,"sigmod record , 1990","sigmod record ,",1995.0,"('rtable_authors', 'rtable_venue')","['my kim , j song', '& hellip ; of the third acm international conference on multimedia ,']","['sigmod record , 1990', 'sigmod record ,']",0.19580488,0.80419517,2
12,metadata for multimedia documents,"k bіhm , t rakow",sigmod record,1994,multimedia documents with elastic time,"k bshm , tc rakow","sigmod record ,",1995.0,"('rtable_authors', 'rtable_venue')","['my kim , j song', '& hellip ; of the third acm international conference on multimedia ,']","['k bshm , tc rakow', 'sigmod record ,']",0.008747786,0.99125224,2
11,metadata for multimedia documents,"k bіhm , t rakow",sigmod record,1994,metadata for multimedia documents,"k bshm , tc rakow","& hellip ; of the third acm international conference on multimedia ,",1995.0,"('rtable_title', 'rtable_authors')","['multimedia documents with elastic time', 'my kim , j song']","['metadata for multimedia documents', 'k bshm , tc rakow']",0.2842554,0.71574455,2
6,metadata for multimedia documents,"k bіhm , t rakow",sigmod record,1994,multimedia documents with elastic time,"m chu , k fan , s mahlke",,1995.0,"('rtable_authors', 'rtable_venue')","['my kim , j song', '& hellip ; of the third acm international conference on multimedia ,']","['m chu , k fan , s mahlke', nan]",0.0697684,0.9302316,2
8,metadata for multimedia documents,"k bіhm , t rakow",sigmod record,1994,multimedia documents with elastic time,kr bã?hm,"sigmod record , special issue on metadata for digital media ,",1995.0,"('rtable_authors', 'rtable_venue')","['my kim , j song', '& hellip ; of the third acm international conference on multimedia ,']","['kr bã?hm', 'sigmod record , special issue on metadata for digital media ,']",0.023128696,0.9768713,2
2,data access for the masses through ole db,"k bіhm , t rakow",sigmod conference,1994,multimedia documents with elastic time,"my kim , j song","& hellip ; of the third acm international conference on multimedia ,",1995.0,"('ltable_title', 'ltable_venue')","['metadata for multimedia documents', 'sigmod record']","['data access for the masses through ole db', 'sigmod conference']",0.19300209,0.80699784,2
3,data access for the masses through ole db,j blakeley,sigmod conference,1994,multimedia documents with elastic time,"my kim , j song","& hellip ; of the third acm international conference on multimedia ,",1995.0,"('ltable_title', 'ltable_authors', 'ltable_venue')","['metadata for multimedia documents', 'k bіhm , t rakow', 'sigmod record']","['data access for the masses through ole db', 'j blakeley', 'sigmod conference']",0.06462575,0.9353742,3
7,metadata for multimedia documents,"k bіhm , t rakow",sigmod record,1994,multimedia documents with elastic time,"m chu , k fan , s mahlke",,,"('rtable_authors', 'rtable_venue', 'rtable_year')","['my kim , j song', '& hellip ; of the third acm international conference on multimedia ,', 1995.0]","['m chu , k fan , s mahlke', nan, nan]",0.044603772,0.95539623,3
15,metadata for multimedia documents,"k bіhm , t rakow",sigmod record,1994,multimedia documents with elastic time,"k bshm , tc rakow","sigmod record ,",1994.0,"('rtable_authors', 'rtable_venue', 'rtable_year')","['my kim , j song', '& hellip ; of the third acm international conference on multimedia ,', 1995.0]","['k bshm , tc rakow', 'sigmod record ,', 1994.0]",0.008747786,0.99125224,3
9,metadata for multimedia documents,"k bіhm , t rakow",sigmod record,1994,multimedia documents with elastic time,kr bã?hm,"sigmod record , special issue on metadata for digital media ,",,"('rtable_authors', 'rtable_venue', 'rtable_year')","['my kim , j song', '& hellip ; of the third acm international conference on multimedia ,', 1995.0]","['kr bã?hm', 'sigmod record , special issue on metadata for digital media ,', nan]",0.033922736,0.9660772,3
1,metadata for multimedia documents,"k bіhm , t rakow",sigmod record,1994,multimedia documents with elastic time,"sigmod record , 1990","sigmod record ,",1990.0,"('rtable_authors', 'rtable_venue', 'rtable_year')","['my kim , j song', '& hellip ; of the third acm international conference on multimedia ,', 1995.0]","['sigmod record , 1990', 'sigmod record ,', 1990.0]",0.19580488,0.80419517,3
13,metadata for multimedia documents,"k bіhm , t rakow",sigmod record,1994,metadata for multimedia documents,"k bshm , tc rakow","sigmod record ,",1995.0,"('rtable_title', 'rtable_authors', 'rtable_venue')","['multimedia documents with elastic time', 'my kim , j song', '& hellip ; of the third acm international conference on multimedia ,']","['metadata for multimedia documents', 'k bshm , tc rakow', 'sigmod record ,']",0.013096152,0.9869039,3
14,metadata for multimedia documents,"k bіhm , t rakow",sigmod record,1994,metadata for multimedia documents,"k bshm , tc rakow","& hellip ; of the third acm international conference on multimedia ,",1994.0,"('rtable_title', 'rtable_authors', 'rtable_year')","['multimedia documents with elastic time', 'my kim , j song', 1995.0]","['metadata for multimedia documents', 'k bshm , tc rakow', 1994.0]",0.2842554,0.71574455,3
4,data access for the masses through ole db,"k bіhm , t rakow",sigmod conference,1996,multimedia documents with elastic time,"my kim , j song","& hellip ; of the third acm international conference on multimedia ,",1995.0,"('ltable_title', 'ltable_venue', 'ltable_year')","['metadata for multimedia documents', 'sigmod record', 1994]","['data access for the masses through ole db', 'sigmod conference', 1996]",0.2677864,0.7322136,3
5,data access for the masses through ole db,j blakeley,sigmod conference,1996,multimedia documents with elastic time,"my kim , j song","& hellip ; of the third acm international conference on multimedia ,",1995.0,"('ltable_title', 'ltable_authors', 'ltable_venue', 'ltable_year')","['metadata for multimedia documents', 'k bіhm , t rakow', 'sigmod record', 1994]","['data access for the masses through ole db', 'j blakeley', 'sigmod conference', 1996]",0.06508798,0.93491197,4
10,metadata for multimedia documents,"k bіhm , t rakow",sigmod record,1994,"tc , metadata for multimedia documents",kr bã?hm,"sigmod record , special issue on metadata for digital media ,",,"('rtable_title', 'rtable_authors', 'rtable_venue', 'rtable_year')","['multimedia documents with elastic time', 'my kim , j song', '& hellip ; of the third acm international conference on multimedia ,', 1995.0]","['tc , metadata for multimedia documents', 'kr bã?hm', 'sigmod record , special issue on metadata for digital media ,', nan]",0.33075592,0.6692441,4
16,metadata for multimedia documents,"k bіhm , t rakow",sigmod record,1994,metadata for multimedia documents,"k bshm , tc rakow","sigmod record ,",1994.0,"('rtable_title', 'rtable_authors', 'rtable_venue', 'rtable_year')","['multimedia documents with elastic time', 'my kim , j song', '& hellip ; of the third acm international conference on multimedia ,', 1995.0]","['metadata for multimedia documents', 'k bshm , tc rakow', 'sigmod record ,', 1994.0]",0.013096152,0.9869039,4
