,ltable_title,ltable_manufacturer,ltable_price,rtable_title,rtable_manufacturer,rtable_price,outcome
0,microsoft excel 2004 ( mac ),adobe,399.0,apple apple mac os x server 10 4 7 10 client,nan,1659.99,1
1,microsoft office 2004 professional ( mac ),adobe,399.0,adobe cs3 web premium,riverdeep-learning-company,1659.99,0
2,microsoft visio standard 2007,adobe,399.0,adobe cs3 web premium,nan,1659.99,1
3,adobe dreamweaver cs3 [ mac ],adobe,449.99,adobe cs3 web premium,nan,1659.99,1
4,adobe dreamweaver cs3 [ mac ],adobe,1299.0,adobe cs3 web premium,global-software-publishing,1659.99,1
5,adobe dreamweaver cs3 [ mac ],panda software,399.0,adobe cs3 web premium,nan,599.0,1
6,adobe dreamweaver cs3 [ mac ],adobe,399.0,adobe cs3 web premium,punch software,499.0,1
7,adobe dreamweaver cs3 [ mac ],adobe,399.0,phantom efx reel deal casino shuffle master edition,nan,88.8,1
8,learning quickbooks 2007,adobe,399.0,adobe cs3 web premium,nan,1659.99,1
9,adobe dreamweaver cs3 [ mac ],adobe,1799.0,adobe cs3 web premium,nan,249.95,1
