,ltable_manufacturer,ltable_price,ltable_title,rtable_manufacturer,rtable_price,rtable_title,outcome
0,sony-pictures-digital-entertainment,1199.0,adobe dreamweaver cs3 [ mac ],global-software-publishing,1659.99,adobe cs3 web premium,1
1,apple,19.99,adobe dreamweaver cs3 [ mac ],apple software,1659.99,adobe cs3 web premium,1
2,apple,49.99,steinberg nuendo 3 digital audio software,nan,79.99,adobe cs3 web premium,1
3,apple,19.99,adobe dreamweaver cs3 [ mac ],apple software,1659.99,microsoft ( r ) money 2007 premium,1
4,global-software-publishing,399.0,microsoft office & windows training,global-software-publishing,179.95,adobe cs3 web premium,1
5,sony-pictures-digital-entertainment,19.99,microsoft works suite 2006,global-software-publishing,1659.99,adobe cs3 web premium,1
6,global-software-publishing,199.0,adobe creative suite cs3 design premium [ mac ],sibelius-software-ltd .,45.97,adobe cs3 web premium,1
7,global-software-publishing,24.99,musicalis guitar workshop,global-software-publishing,1659.99,adobe cs3 web premium,1
8,apple,19.99,hp dss software v. 4.0 complete package t1936aa ua0 ),apple software,1659.99,microsoft ( r ) money 2007 premium,1
9,global-software-publishing,5099.0,microsoft office & windows training,global-software-publishing,179.95,adobe cs3 web premium,1
