,ltable_id,ltable_name,ltable_addr,ltable_city,ltable_phone,ltable_res_type,ltable_class,rtable_id,rtable_name,rtable_addr,rtable_city,rtable_phone,rtable_res_type,rtable_class,match
0,6,citrus,' 6703 melrose ave. ',` los angeles ',213/857 -0034,californian,6,230,` le chardonnay ( los angeles ) ',' 8284 melrose ave. ',` los angeles ',213-655-8880,` french bistro ',12,0.09650591760873795
1,501,oritalia,' 1915 fillmore st. ',` san francisco ',415/346 -1333,italian,501,214,` trio cafe ',' 1870 fillmore st. ',` san francisco ',415-563-2248,american,749,0.046245988458395004
2,38,` jo jo ',' 160 e. 64th st. ',` new york ',212/223 -5656,american,38,256,` jo jo ',' 160 e. 64th st. ',` new york city ',212-223-5656,` french bistro ',38,0.6355355381965637
3,384,` beesley \ 's of buckhead ',' 260 e. paces ferry road ',atlanta,404/264 -1334,continental,384,300,` hedgerose heights inn the ',' 490 e. paces ferry rd. ne ',atlanta,404-233-7673,continental,82,0.05549750104546547
4,147,` le colonial ',' 8783 beverly blvd. ',` los angeles ',310/289 -0660,asian,144,23,` jan \ 's family restaurant ',' 8424 beverly blvd. ',la,213-651-2866,` coffee shops ',557,0.04445495456457138
5,83,` heera of india ',' 595 piedmont ave. rio shopping mall ',atlanta,404/876 -4408,asian,83,301,` heera of india ',' 595 piedmont ave. ',atlanta,404-876-4408,indian,83,0.5039269924163818
6,90,` dining room ritz-carlton buckhead ',' 3434 peachtree rd. ',atlanta,404/237 -2700,international,90,148,` brookhaven cafe ',' 4274 peachtree rd. ',atlanta,404-231-5907,vegetarian,682,0.06971009075641632
7,197,bruno,' 240 e. 58th st. ',` new york ',212/688 -4190,italian,195,251,felidia,' 243 e. 58th st. ',` new york city ',212-758-1479,italian,33,0.05314573645591736
8,119,` border grill ',' 4th st. ',` los angeles ',310/451 -1655,mexican,116,82,` jackson diner ',' 37-03 74th st. ',queens,718-672-1232,indian,616,0.3543633222579956
9,143,` jack sprat \ 's grill ',' 10668 w. pico blvd. ',` los angeles ',310/837 -6662,` health food ',140,0,` apple pan the ',' 10801 w. pico blvd. ',` west la ',310-475-3585,american,534,0.03214806690812111
10,437,` circus circus ',' 2880 las vegas blvd. s ',` las vegas ',702/734 -0410,buffets,437,130,` michael \ 's ( las vegas ) ',' 3595 las vegas blvd. s. ',` las vegas ',702-737-7111,continental,664,0.034132231026887894
11,292,` le perigord ',' 405 e. 52nd st. ',` new york ',212/755 -6244,french,291,89,` la grenouille ',' 3 e. 52nd st. ',` new york city ',212-752-1495,` french ( classic ) ',623,0.06889444589614868
12,431,` bugsy \ 's diner ',' 3555 las vegas blvd. s ',` las vegas ',702/733 -3111,` coffee shops/diners ',431,288,` palace court ',' 3570 las vegas blvd. s. ',` las vegas ',702-731-7110,` french ( new ) ',70,0.023705843836069107
13,131,dive !,' 10250 santa monica blvd. ',` los angeles ',310/788 -,` dive american ',128,233,` palm the ( los angeles ) ',' 9001 santa monica blvd. ',` w. hollywood ',310-550-8811,steakhouses,15,0.03439066559076309
14,405,` luna si ',' 1931 peachtree rd. ',atlanta,404/355 -5993,continental,405,172,nava,' 3060 peachtree rd. ',atlanta,404-240-1984,southwestern,706,0.04761485382914543
15,92,toulouse,' b peachtree rd. ',atlanta,404/351 -9533,french,92,308,` ritz-carlton dining room ( buckhead ) ',' 3434 peachtree rd. ne ',atlanta,404-237-2700,` american ( new ) ',90,0.03245631605386734
16,84,` indigo coastal grill ',' 1397 n. highland ave. ',atlanta,404/876 -0676,caribbean,84,302,` indigo coastal grill ',' 1397 n. highland ave. ',atlanta,404-876-0676,eclectic,84,0.701323926448822
17,50,oceana,'55 e. 54th st. ',` new york ',212/759 -5941,seafood,50,242,aquavit,'13 w. 54th st. ',` new york city ',212-307-7311,scandinavian,24,0.076389379799366
18,443,` mandarin court ',' 1510 e. flamingo rd. ',` las vegas ',702/737 -1234,asian,443,126,` fiore rotisserie & grille ',' 3700 w. flamingo rd. ',` las vegas ',702-252-7702,italian,660,0.1422695368528366
19,50,oceana,'55 e. 54th st. ',` new york ',212/759 -5941,seafood,50,278,` shun lee palace ',' 155 e. 55th st. ',` new york city ',212-371-8844,chinese,60,0.041335415095090866
20,431,` bugsy \ 's diner ',' 3555 las vegas blvd. s ',` las vegas ',702/733 -3111,` coffee shops/diners ',431,128,` madame ching \ 's ',' 3300 las vegas blvd. s. ',` las vegas ',702-894-7111,asian,662,0.019995268434286118
21,433,` cafe roma ',' 3570 las vegas blvd. s ',` las vegas ',702/731 -7547,` coffee shops/diners ',433,123,` buccaneer bay club ',' 3300 las vegas blvd. s. ',` las vegas ',702-894-7350,continental,657,0.029428282752633095
22,442,` lillie langtry \ 's ',' 129 e. fremont st. ',` las vegas ',702/385 -7111,asian,442,289,` second street grill ',' 200 e. fremont st. ',` las vegas ',702-385-6277,` pacific rim ',71,0.03075702115893364
23,410,palisades,' 1829 peachtree rd. ',atlanta,404/350 -6755,continental,410,295,` brasserie le coze ',' 3393 peachtree rd. ',atlanta,404-266-1440,` french bistro ',77,0.059334732592105865
24,437,` circus circus ',' 2880 las vegas blvd. s ',` las vegas ',702/734 -0410,buffets,437,136,` spago ( las vegas ) ',' 3500 las vegas blvd. s. ',` las vegas ',702-369-6300,californian,670,0.027049599215388298
25,165,` schatzi on main ',' 3110 main st. ',` los angeles ',310/399 -4800,continental,162,223,` chinois on main ',' 2709 main st. ',` santa monica ',310-392-9025,` pacific new wave ',5,0.08683830499649048
26,37,` island spice ',' 402 w. 44th st. ',` new york ',212/765 -1737,` tel caribbean ',37,255,` island spice ',' 402 w. 44th st. ',` new york city ',212-765-1737,caribbean,37,0.6289708614349365
27,148,` le dome ',' 8720 sunset blvd. ',` los angeles ',310/659 -6919,french,145,238,` spago ( los angeles ) ',' 8795 sunset blvd. ',` w. hollywood ',310-652-4025,californian,20,0.0816250741481781
28,406,` mambo restaurante cubano ',' 1402 n. highland ave. ',atlanta,404/874 -2626,caribbean,406,65,` uncle bill \ 's pancake house ',' 1305 highland ave. ',` manhattan beach ',310-545-5177,diners,599,0.032803747802972794
29,146,joss,' 9255 sunset blvd. ',` los angeles ',310/276 -1886,asian,143,225,` fenix at the argyle ',' 8358 sunset blvd. ',` w. hollywood ',213-848-6677,` french ( new ) ',7,0.054393522441387177
30,494,manora,' 3226 mission st. ',` san francisco ',415/861 -6224,asian,494,193,` dusit thai ',' 3221 mission st. ',` san francisco ',415-826-4639,thai,728,0.03609161078929901
31,429,bistro,' 3400 las vegas blvd. s ',` las vegas ',702/791 -7111,continental,429,131,` monte carlo ',' 3145 las vegas blvd. s. ',` las vegas ',702-733-4524,` french ( new ) ',665,0.05399694666266441
32,147,` le colonial ',' 8783 beverly blvd. ',` los angeles ',310/289 -0660,asian,144,33,` koo koo roo ',' 8393 w. beverly blvd. ',la,213-655-9045,chicken,567,0.337802529335022
33,121,` ca \ ` brea ',' 346 s. la brea ave. ',` los angeles ',213/938 -2863,italian,118,52,` pink \ 's famous chili dogs ',' 709 n. la brea ave. ',la,213-931-4223,` hot dogs ',586,0.032859474420547485
34,170,` tommy tang \ 's ',' 7313 melrose ave. ',` los angeles ',213/937 -5733,asian,167,224,citrus,' 6703 melrose ave. ',` los angeles ',213-857-0034,californian,6,0.09812742471694946
35,427,` bertolini \ 's ',' 3570 las vegas blvd. s ',` las vegas ',702/735 -4663,italian,427,133,` morton \ 's of chicago ( las vegas ) ',' 3200 las vegas blvd. s. ',` las vegas ',702-893-0703,steakhouses,667,0.03177940100431442
36,326,` pen & pencil ',' 205 e. 45th st. ',` new york ',212/682 -8660,american,325,278,` shun lee palace ',' 155 e. 55th st. ',` new york city ',212-371-8844,chinese,60,0.04346814379096031
37,451,` viva mercado \ 's ',' 6182 w. flamingo rd. ',` las vegas ',702/871 -8826,mexican,451,126,` fiore rotisserie & grille ',' 3700 w. flamingo rd. ',` las vegas ',702-252-7702,italian,660,0.41054439544677734
