,ltable_title,ltable_category,ltable_brand,ltable_modelno,ltable_price,rtable_title,rtable_category,rtable_brand,rtable_modelno,rtable_price,outcome
0,balt wheasel easel adjustable melamine dry erase board white stationery & office machinery,printers,nan,m552pink,94.54,kodak easyshare m531 14mp 3x optical 5x digital zoom hd camera red black digital cameras kodak 104.95,nan,nan,nan,nan,1
1,kodak easyshare m552 dark pink 14mp digital camera w 5x optical zoom 2.7 lcd display w 50 bonus prints kodak,tv accessories,balt,m552pink,94.54,kodak easyshare m531 14mp 3x optical 5x digital zoom hd camera red black digital cameras kodak 104.95,nan,nan,nan,nan,1
2,kodak easyshare m552 dark pink 14mp digital camera w 5x optical zoom 2.7 lcd display w 50 bonus prints kodak,digital cameras,atrend,m552pink,94.54,kodak easyshare m531 14mp 3x optical 5x digital zoom hd camera red black digital cameras kodak 104.95,nan,nan,a362-12cp,nan,1
3,kodak easyshare m552 dark pink 14mp digital camera w 5x optical zoom 2.7 lcd display w 50 bonus prints kodak,digital cameras,nan,m552pink,94.54,kodak easyshare m531 14mp 3x optical 5x digital zoom hd camera red black digital cameras kodak 104.95,nan,canon,nan,nan,1
4,kodak easyshare m552 dark pink 14mp digital camera w 5x optical zoom 2.7 lcd display w 50 bonus prints kodak,digital cameras,ep memory,m552pink,94.54,kodak easyshare m531 14mp 3x optical 5x digital zoom hd camera red black digital cameras kodak 104.95,nan,nan,icon4-blk,nan,1
5,kodak easyshare m552 dark pink 14mp digital camera w 5x optical zoom 2.7 lcd display w 50 bonus prints kodak,digital cameras,nan,m552pink,94.54,kodak easyshare m531 14mp 3x optical 5x digital zoom hd camera red black digital cameras kodak 104.95,printer accessories,nan,512-p3-1301-kr,nan,1
6,kodak easyshare m552 dark pink 14mp digital camera w 5x optical zoom 2.7 lcd display w 50 bonus prints kodak,hard drives,nan,m552pink,94.54,kodak easyshare m531 14mp 3x optical 5x digital zoom hd camera red black digital cameras kodak 104.95,nan,nan,nan,nan,1
7,kodak easyshare m552 dark pink 14mp digital camera w 5x optical zoom 2.7 lcd display w 50 bonus prints kodak,digital cameras,tribeca,m552pink,94.54,kodak easyshare m531 14mp 3x optical 5x digital zoom hd camera red black digital cameras kodak 104.95,nan,verbatim,nan,nan,1
8,netgear prosafe gs716t 16-port ethernet switch gs716t-200nas,digital cameras,samsung,m552pink,94.54,kodak easyshare m531 14mp 3x optical 5x digital zoom hd camera red black digital cameras kodak 104.95,nan,nan,nan,nan,1
9,kodak easyshare m552 dark pink 14mp digital camera w 5x optical zoom 2.7 lcd display w 50 bonus prints kodak,digital cameras,uniden,nan,94.54,kodak easyshare m531 14mp 3x optical 5x digital zoom hd camera red black digital cameras kodak 104.95,nan,nan,nan,nan,1
