,ltable_title,ltable_manufacturer,ltable_price,rtable_title,rtable_manufacturer,rtable_price,alteredAttributes,droppedValues,copiedValues,nomatch_score,match_score,attr_count
0,final draft av 2.5 win/mac,sage software,199.99,final-draft final draft av 2.5 screenwriting software mac/win screen writing software,,199.95,"('ltable_manufacturer',)",['final draft'],['sage software'],0.4034564,0.5965436,2
22,final draft av 2.5 win/mac,final draft,,final-draft final draft av 2.5 screenwriting software mac/win screen writing software,,199.95,"('ltable_price',)",[199.99],[nan],0.08321831,0.9167817,2
23,final draft av 2.5 win/mac,eovia,,final-draft final draft av 2.5 screenwriting software mac/win screen writing software,,199.95,"('ltable_manufacturer', 'ltable_price')","['final draft', 199.99]","['eovia', nan]",0.033392403,0.9666076,2
24,final draft av 2.5 win/mac,emedia,199.99,final-draft final draft av 2.5 screenwriting software mac/win screen writing software,,199.95,"('ltable_manufacturer',)",['final draft'],['emedia'],0.07526306,0.924737,2
25,final draft av 2.5 win/mac,final draft,600.0,final-draft final draft av 2.5 screenwriting software mac/win screen writing software,,199.95,"('ltable_price',)",[199.99],[600.0],0.27536198,0.724638,2
26,makemusic finale 2007 win/mac,emedia,199.99,final-draft final draft av 2.5 screenwriting software mac/win screen writing software,,199.95,"('ltable_title', 'ltable_manufacturer')","['final draft av 2.5 win/mac', 'final draft']","['makemusic finale 2007 win/mac', 'emedia']",0.47109374,0.5289062,2
27,makemusic finale 2007 win/mac,final draft,600.0,final-draft final draft av 2.5 screenwriting software mac/win screen writing software,,199.95,"('ltable_title', 'ltable_price')","['final draft av 2.5 win/mac', 199.99]","['makemusic finale 2007 win/mac', 600.0]",0.39030573,0.6096943,2
28,final draft av 2.5 win/mac,emedia,600.0,final-draft final draft av 2.5 screenwriting software mac/win screen writing software,,199.95,"('ltable_manufacturer', 'ltable_price')","['final draft', 199.99]","['emedia', 600.0]",0.05177507,0.9482249,2
29,final draft 7 professional scriptwriting win/mac,final draft,199.99,final-draft final draft av 2.5 screenwriting software mac/win screen writing software,,199.95,"('ltable_title',)",['final draft av 2.5 win/mac'],['final draft 7 professional scriptwriting win/mac'],0.11399367,0.88600636,2
30,final draft av 2.5 win/mac,final draft,199.99,final-draft final draft av 2.5 screenwriting software mac/win screen writing software,,199.95,"('ltable_manufacturer',)",['final draft'],['final draft'],0.21134388,0.7886561,2
31,final draft av 2.5 win/mac,final draft,289.99,final-draft final draft av 2.5 screenwriting software mac/win screen writing software,,199.95,"('ltable_price',)",[199.99],[289.99],0.27536198,0.724638,2
32,final draft 7 professional scriptwriting win/mac,final draft,199.99,final-draft final draft av 2.5 screenwriting software mac/win screen writing software,,199.95,"('ltable_title', 'ltable_manufacturer')","['final draft av 2.5 win/mac', 'final draft']","['final draft 7 professional scriptwriting win/mac', 'final draft']",0.11399367,0.88600636,2
33,final draft 7 professional scriptwriting win/mac,final draft,289.99,final-draft final draft av 2.5 screenwriting software mac/win screen writing software,,199.95,"('ltable_title', 'ltable_price')","['final draft av 2.5 win/mac', 199.99]","['final draft 7 professional scriptwriting win/mac', 289.99]",0.15528086,0.8447191,2
34,final draft av 2.5 win/mac,final draft,289.99,final-draft final draft av 2.5 screenwriting software mac/win screen writing software,,199.95,"('ltable_manufacturer', 'ltable_price')","['final draft', 199.99]","['final draft', 289.99]",0.27536198,0.724638,2
36,final draft av 2.5 win/mac,final draft,199.99,final-draft final draft av 2.5 screenwriting software mac/win screen writing software,,199.95,"('ltable_price',)",[199.99],[199.99],0.21134388,0.7886561,2
37,final draft av 2.5 win/mac,eastwest,199.99,final-draft final draft av 2.5 screenwriting software mac/win screen writing software,,199.95,"('ltable_manufacturer',)",['final draft'],['eastwest'],0.17031845,0.8296815,2
21,final draft av 2.5 win/mac,eovia,199.99,final-draft final draft av 2.5 screenwriting software mac/win screen writing software,,199.95,"('ltable_manufacturer',)",['final draft'],['eovia'],0.07526306,0.924737,2
38,final draft av 2.5 win/mac,final draft,199.95,final-draft final draft av 2.5 screenwriting software mac/win screen writing software,,199.95,"('ltable_price',)",[199.99],[199.95],0.18007931,0.8199207,2
19,final draft av 2.5 win/mac,emedia,350.0,final-draft final draft av 2.5 screenwriting software mac/win screen writing software,,199.95,"('ltable_manufacturer', 'ltable_price')","['final draft', 199.99]","['emedia', 350.0]",0.05177507,0.9482249,2
17,final draft av 2.5 win/mac,final draft,350.0,final-draft final draft av 2.5 screenwriting software mac/win screen writing software,,199.95,"('ltable_price',)",[199.99],[350.0],0.27536163,0.72463834,2
1,final draft av 2.5 win/mac,final draft,169.99,final-draft final draft av 2.5 screenwriting software mac/win screen writing software,,199.95,"('ltable_price',)",[199.99],[169.99],0.27536198,0.724638,2
