,ltable_title,ltable_manufacturer,ltable_price,rtable_title,rtable_manufacturer,rtable_price,outcome
0,final draft av 2.5 win/mac,final draft,24.99,microsoft w87-02380 office sbe 2007 win32,nan,199.95,0
1,final draft av 2.5 win/mac,final draft,199.99,sibelius photoscore professional scanning software music production software,apple software,199.95,0
2,final draft av 2.5 win/mac,final draft,199.99,punch software 20100 punch ! 5 in 1 home design,global-software-publishing,199.95,0
3,final draft av 2.5 win/mac,final draft,199.99,diskeeper 2007 professional,nan,199.99,0
4,final draft av 2.5 win/mac,topics entertainment,199.99,diskeeper 2007 professional,nan,199.95,0
5,foreign policy & reform ( win/mac ) ( jewel case ),final draft,199.99,punch software 20100 punch ! 5 in 1 home design,nan,199.95,0
6,final draft av 2.5 win/mac,final draft,19.99,diskeeper 2007 professional,nan,199.95,0
7,final draft av 2.5 win/mac,final draft,229.99,diskeeper 2007 professional,nan,199.95,0
8,final draft av 2.5 win/mac,final draft,199.99,microsoft w87-02380 office sbe 2007 win32,nan,99.99,0
9,final draft av 2.5 win/mac,final draft,199.99,microsoft w87-02380 office sbe 2007 win32,nan,199.95,0
