,ltable_brand,ltable_category,ltable_modelno,ltable_price,ltable_title,rtable_brand,rtable_category,rtable_modelno,rtable_price,rtable_title,outcome
0,nan,hard drives,nan,nan,iosafe rugged 250gb usb 3.0 portable external hard drive iosafe 249.99,nan,external hard drives,nan,2608.99,lacie rikiki 320 gb usb 2.0 portable external hard drive 301908 lacie 301908,1
1,atrend,hard drives,nan,nan,iosafe rugged 250gb usb 3.0 portable external hard drive iosafe 249.99,nan,all-in-one printers,nan,64.24,lacie rikiki 320 gb usb 2.0 portable external hard drive 301908 lacie 301908,1
2,nan,hard drives,nan,nan,iosafe rugged 250gb usb 3.0 portable external hard drive iosafe 249.99,antec,external hard drives,nan,11.99,lacie rikiki 320 gb usb 2.0 portable external hard drive 301908 lacie 301908,1
3,accell,hard drives,nan,nan,iosafe rugged 250gb usb 3.0 portable external hard drive iosafe 249.99,nan,external hard drives,nan,88.85,lacie rikiki 320 gb usb 2.0 portable external hard drive 301908 lacie 301908,1
4,nan,hard drives,nan,nan,iosafe rugged 250gb usb 3.0 portable external hard drive iosafe 249.99,nan,cordless telephones,nan,64.24,lacie rikiki 320 gb usb 2.0 portable external hard drive 301908 lacie 301908,1
5,nan,hard drives,nan,nan,iosafe rugged 250gb usb 3.0 portable external hard drive iosafe 249.99,nan,external hard drives,nan,88.85,lacie rikiki 320 gb usb 2.0 portable external hard drive 301908 lacie 301908,1
6,nan,hard drives,nan,nan,iosafe rugged 250gb usb 3.0 portable external hard drive iosafe 249.99,nan,laser printer toner,nan,2608.99,lacie rikiki 320 gb usb 2.0 portable external hard drive 301908 lacie 301908,1
7,nan,hard drives,nan,nan,iosafe rugged 250gb usb 3.0 portable external hard drive iosafe 249.99,nan,external hard drives,nan,64.24,hp 85a laserjet black toner print cartridge - retail packaging ce285a hp ce285a,1
8,atrend,hard drives,nan,nan,iosafe rugged 250gb usb 3.0 portable external hard drive iosafe 249.99,nan,external hard drives,nan,64.24,lacie rikiki 320 gb usb 2.0 portable external hard drive 301908 lacie 301908,1
9,nan,hard drives,nan,nan,iosafe rugged 250gb usb 3.0 portable external hard drive iosafe 249.99,antec,external hard drives,nan,64.24,lacie rikiki 320 gb usb 2.0 portable external hard drive 301908 lacie 301908,1
