,explanation,label,latency,match,prediction,row,score_copy,score_drop,type
0,"{'ltable_name': 0.43, 'ltable_description': 0.43, 'ltable_price': 0.43, 'rtable_name': 0.325, 'rtable_description': 0.325, 'rtable_price': 0.325, 'type': 'certa'}",0.0,11.360463236982469,1.0,[0.39660192 0.6033981 ],719-812,"[0.7374547, 0.7510437]","[0.41017967, 0.4581736]",certa
1,"{'ltable_name': 0.325, 'ltable_description': 0.325, 'ltable_price': 0.325, 'rtable_name': 0.43, 'rtable_description': 0.43, 'rtable_price': 0.43, 'type': 'certa'}",0.0,10.970243492978625,1.0,[0.2857195 0.7142804],550-664,"[0.7475977, 0.7726493]","[0.7148339, 0.3298981]",certa
2,"{'ltable_name': 0.415, 'ltable_description': 0.415, 'ltable_price': 0.415, 'rtable_name': 0.34, 'rtable_description': 0.34, 'rtable_price': 0.34, 'type': 'certa'}",0.0,11.526972172025125,1.0,[0.28930807 0.7106919 ],643-636,"[0.7126111, 0.7166069]","[0.7095922, 0.3364853]",certa
3,"{'ltable_name': 0.3925, 'ltable_description': 0.3925, 'ltable_price': 0.3925, 'rtable_name': 0.3625, 'rtable_description': 0.3625, 'rtable_price': 0.3625, 'type': 'certa'}",0.0,12.222080681007355,1.0,[0.2864328 0.7135672],495-578,"[0.7160327, 0.7635013]","[0.711976, 0.4882236]",certa
4,"{'ltable_name': 0.34, 'ltable_description': 0.34, 'ltable_price': 0.34, 'rtable_name': 0.415, 'rtable_description': 0.415, 'rtable_price': 0.415, 'type': 'certa'}",0.0,11.11177855101414,1.0,[0.30629814 0.6937018 ],994-336,"[0.69277227, 0.68205065]","[0.7245651, 0.44984514]",certa
5,"{'ltable_name': 0.3625, 'ltable_description': 0.3625, 'ltable_price': 0.3625, 'rtable_name': 0.3925, 'rtable_description': 0.3925, 'rtable_price': 0.3925, 'type': 'certa'}",0.0,10.982914778986014,1.0,[0.30043048 0.6995695 ],808-127,"[0.7182391, 0.68584436]","[0.51416594, 0.4920736]",certa
6,"{'ltable_name': 0.37, 'ltable_description': 0.37, 'ltable_price': 0.37, 'rtable_name': 0.385, 'rtable_description': 0.385, 'rtable_price': 0.385, 'type': 'certa'}",0.0,11.926629114022944,1.0,[0.22867897 0.771321  ],987-980,"[0.7959221, 0.7507722]","[0.7799662, 0.38506204]",certa
7,"{'ltable_name': 0.4034653465346535, 'ltable_description': 0.4034653465346535, 'ltable_price': 0.4034653465346535, 'rtable_name': 0.35148514851485146, 'rtable_description': 0.35148514851485146, 'rtable_price': 0.35148514851485146, 'type': 'certa'}",0.0,11.542807811987586,1.0,[0.44447625 0.5555237 ],332-237,"[0.710555, 0.7136104]","[0.51740146, 0.7385216]",certa
8,"{'ltable_name': 0.3025, 'ltable_description': 0.3025, 'ltable_price': 0.3025, 'rtable_name': 0.4525, 'rtable_description': 0.4525, 'rtable_price': 0.4525, 'type': 'certa'}",0.0,11.473139584995806,1.0,[0.30129665 0.69870335],994-732,"[0.6947168, 0.6896648]","[0.31981632, 0.31566563]",certa
9,"{'ltable_name': 0.3325, 'ltable_description': 0.3325, 'ltable_price': 0.3325, 'rtable_name': 0.4225, 'rtable_description': 0.4225, 'rtable_price': 0.4225, 'type': 'certa'}",0.0,11.73654410999734,1.0,[0.29518315 0.7048168 ],764-141,"[0.70736086, 0.6848137]","[0.73408103, 0.44799078]",certa
10,"{'ltable_name': 0.355, 'ltable_description': 0.355, 'ltable_price': 0.355, 'rtable_name': 0.4, 'rtable_description': 0.4, 'rtable_price': 0.4, 'type': 'certa'}",0.0,11.508857826993335,1.0,[0.3524831  0.64751685],805-399,"[0.6468834, 0.61995685]","[0.53781044, 0.49802345]",certa
11,"{'ltable_name': 0.445, 'ltable_description': 0.445, 'ltable_price': 0.445, 'rtable_name': 0.31, 'rtable_description': 0.31, 'rtable_price': 0.31, 'type': 'certa'}",0.0,11.868523598997854,1.0,[0.26942772 0.7305723 ],987-653,"[0.70435166, 0.7170073]","[0.7079389, 0.4744152]",certa
12,"{'ltable_name': 0.3325, 'ltable_description': 0.3325, 'ltable_price': 0.3325, 'rtable_name': 0.4225, 'rtable_description': 0.4225, 'rtable_price': 0.4225, 'type': 'certa'}",0.0,11.614879483007826,1.0,[0.2917084  0.70829165],710-660,"[0.70900774, 0.7087352]","[0.7110597, 0.31593466]",certa
13,"{'ltable_name': 0.3625, 'ltable_description': 0.3625, 'ltable_price': 0.3625, 'rtable_name': 0.3925, 'rtable_description': 0.3925, 'rtable_price': 0.3925, 'type': 'certa'}",0.0,12.079858949000482,1.0,[0.29862773 0.70137227],191-301,"[0.7071693, 0.7015144]","[0.6524091, 0.42026198]",certa
14,"{'ltable_name': 0.415, 'ltable_description': 0.415, 'ltable_price': 0.415, 'rtable_name': 0.34, 'rtable_description': 0.34, 'rtable_price': 0.34, 'type': 'certa'}",0.0,11.746955369017087,1.0,[0.3236707 0.6763293],169-235,"[0.70676106, 0.7162573]","[0.61091125, 0.45842847]",certa
15,"{'ltable_name': 0.34, 'ltable_description': 0.34, 'ltable_price': 0.34, 'rtable_name': 0.415, 'rtable_description': 0.415, 'rtable_price': 0.415, 'type': 'certa'}",0.0,11.821208560024388,1.0,[0.28205207 0.7179479 ],280-300,"[0.7240411, 0.72887206]","[0.5184384, 0.5713822]",certa
16,"{'ltable_name': 0.37, 'ltable_description': 0.37, 'ltable_price': 0.37, 'rtable_name': 0.385, 'rtable_description': 0.385, 'rtable_price': 0.385, 'type': 'certa'}",0.0,12.114770532993134,1.0,[0.2944896  0.70551044],572-695,"[0.704446, 0.700406]","[0.7089255, 0.3280832]",certa
17,"{'ltable_name': 0.385, 'ltable_description': 0.385, 'ltable_price': 0.385, 'rtable_name': 0.37, 'rtable_description': 0.37, 'rtable_price': 0.37, 'type': 'certa'}",0.0,11.864176569040865,1.0,[0.34274417 0.6572559 ],692-785,"[0.6364864, 0.66471344]","[0.61854255, 0.62784576]",certa
18,"{'ltable_name': 0.3475, 'ltable_description': 0.3475, 'ltable_price': 0.3475, 'rtable_name': 0.4075, 'rtable_description': 0.4075, 'rtable_price': 0.4075, 'type': 'certa'}",0.0,12.556759703031275,1.0,[0.3045196 0.6954804],853-686,"[0.6944736, 0.68132627]","[0.70567447, 0.3264514]",certa
19,"{'ltable_name': 0.3475, 'ltable_description': 0.3475, 'ltable_price': 0.3475, 'rtable_name': 0.4075, 'rtable_description': 0.4075, 'rtable_price': 0.4075, 'type': 'certa'}",0.0,12.60107686498668,1.0,[0.3290046 0.6709954],448-909,"[0.73531, 0.68355954]","[0.6341569, 0.5776748]",certa
20,"{'ltable_name': 0.37, 'ltable_description': 0.37, 'ltable_price': 0.37, 'rtable_name': 0.385, 'rtable_description': 0.385, 'rtable_price': 0.385, 'type': 'certa'}",0.0,12.609150613017846,1.0,[0.31846198 0.681538  ],946-874,"[0.68897545, 0.6773145]","[0.6887868, 0.3409299]",certa
21,"{'ltable_name': 0.385, 'ltable_description': 0.385, 'ltable_price': 0.385, 'rtable_name': 0.37, 'rtable_description': 0.37, 'rtable_price': 0.37, 'type': 'certa'}",0.0,12.316016388009302,1.0,[0.47317895 0.526821  ],388-917,"[0.6282189, 0.64874035]","[0.6302235, 0.7263705]",certa
22,"{'ltable_name': 0.3925, 'ltable_description': 0.3925, 'ltable_price': 0.3925, 'rtable_name': 0.3625, 'rtable_description': 0.3625, 'rtable_price': 0.3625, 'type': 'certa'}",0.0,12.134216835023835,1.0,[0.2833417 0.7166583],348-409,"[0.71656615, 0.73545164]","[0.7169153, 0.503797]",certa
23,"{'ltable_name': 0.4075, 'ltable_description': 0.4075, 'ltable_price': 0.4075, 'rtable_name': 0.3475, 'rtable_description': 0.3475, 'rtable_price': 0.3475, 'type': 'certa'}",0.0,12.35168538603466,1.0,[0.30736092 0.69263905],486-544,"[0.6738315, 0.6729191]","[0.68566555, 0.45900914]",certa
24,"{'ltable_name': 0.385, 'ltable_description': 0.385, 'ltable_price': 0.385, 'rtable_name': 0.37, 'rtable_description': 0.37, 'rtable_price': 0.37, 'type': 'certa'}",0.0,12.704634967027232,1.0,[0.29122737 0.7087726 ],997-991,"[0.7025595, 0.7084461]","[0.70606923, 0.29426086]",certa
25,"{'ltable_name': 0.3475, 'ltable_description': 0.3475, 'ltable_price': 0.3475, 'rtable_name': 0.4075, 'rtable_description': 0.4075, 'rtable_price': 0.4075, 'type': 'certa'}",0.0,12.847347308008466,1.0,[0.31359932 0.6864007 ],1015-541,"[0.6854567, 0.68518585]","[0.68971634, 0.5371368]",certa
26,"{'ltable_name': 0.4, 'ltable_description': 0.4, 'ltable_price': 0.4, 'rtable_name': 0.355, 'rtable_description': 0.355, 'rtable_price': 0.355, 'type': 'certa'}",0.0,15.72535926499404,1.0,[0.3904704 0.6095296],483-414,"[0.70856106, 0.72853875]","[0.7010939, 0.4878509]",certa
27,"{'ltable_name': 0.385, 'ltable_description': 0.385, 'ltable_price': 0.385, 'rtable_name': 0.37, 'rtable_description': 0.37, 'rtable_price': 0.37, 'type': 'certa'}",0.0,12.057569701981265,1.0,[0.29616135 0.70383865],251-247,"[0.7053443, 0.70725507]","[0.71301156, 0.46336356]",certa
28,"{'ltable_name': 0.4225, 'ltable_description': 0.4225, 'ltable_price': 0.4225, 'rtable_name': 0.3325, 'rtable_description': 0.3325, 'rtable_price': 0.3325, 'type': 'certa'}",0.0,12.50034681300167,1.0,[0.46514142 0.5348586 ],850-827,"[0.5368383, 0.55181605]","[0.56340635, 0.67539227]",certa
29,"{'ltable_name': 0.3325, 'ltable_description': 0.3325, 'ltable_price': 0.3325, 'rtable_name': 0.4225, 'rtable_description': 0.4225, 'rtable_price': 0.4225, 'type': 'certa'}",0.0,12.748908754030708,1.0,[0.3126212 0.6873788],521-537,"[0.6871661, 0.68572974]","[0.68748486, 0.28496075]",certa
30,"{'ltable_name': 0.385, 'ltable_description': 0.385, 'ltable_price': 0.385, 'rtable_name': 0.37, 'rtable_description': 0.37, 'rtable_price': 0.37, 'type': 'certa'}",0.0,12.272398294007871,1.0,[0.41572753 0.5842725 ],863-388,"[0.5916748, 0.60536426]","[0.51967144, 0.5117153]",certa
31,"{'ltable_name': 0.4, 'ltable_description': 0.4, 'ltable_price': 0.4, 'rtable_name': 0.355, 'rtable_description': 0.355, 'rtable_price': 0.355, 'type': 'certa'}",0.0,11.570019768027123,1.0,[0.2628008 0.7371992],252-723,"[0.73591536, 0.7490746]","[0.71014625, 0.43733513]",certa
32,"{'ltable_name': 0.3925, 'ltable_description': 0.3925, 'ltable_price': 0.3925, 'rtable_name': 0.3625, 'rtable_description': 0.3625, 'rtable_price': 0.3625, 'type': 'certa'}",0.0,11.667980883968994,1.0,[0.3105987 0.6894013],49-225,"[0.67507255, 0.67915887]","[0.6916605, 0.684736]",certa
33,"{'ltable_name': 0.37, 'ltable_description': 0.37, 'ltable_price': 0.37, 'rtable_name': 0.385, 'rtable_description': 0.385, 'rtable_price': 0.385, 'type': 'certa'}",0.0,12.146316583035514,1.0,[0.29568684 0.70431316],572-646,"[0.7027644, 0.7014358]","[0.70349026, 0.30036688]",certa
34,"{'ltable_name': 0.3175, 'ltable_description': 0.3175, 'ltable_price': 0.3175, 'rtable_name': 0.4375, 'rtable_description': 0.4375, 'rtable_price': 0.4375, 'type': 'certa'}",0.0,11.964952361013275,1.0,[0.36727962 0.63272035],1031-333,"[0.6125373, 0.61179566]","[0.5433628, 0.46225497]",certa
35,"{'ltable_name': 0.3775, 'ltable_description': 0.3775, 'ltable_price': 0.3775, 'rtable_name': 0.3775, 'rtable_description': 0.3775, 'rtable_price': 0.3775, 'type': 'certa'}",0.0,12.21301066299202,1.0,[0.21493822 0.7850618 ],456-980,"[0.7686293, 0.79633886]","[0.7773854, 0.49286324]",certa
36,"{'ltable_name': 0.4375, 'ltable_description': 0.4375, 'ltable_price': 0.4375, 'rtable_name': 0.3175, 'rtable_description': 0.3175, 'rtable_price': 0.3175, 'type': 'certa'}",0.0,13.717941659037024,1.0,[0.28715643 0.71284354],1038-863,"[0.7188385, 0.7250206]","[0.67711264, 0.3818793]",certa
37,"{'ltable_name': 0.37, 'ltable_description': 0.37, 'ltable_price': 0.37, 'rtable_name': 0.385, 'rtable_description': 0.385, 'rtable_price': 0.385, 'type': 'certa'}",0.0,11.500585166038945,1.0,[0.39761698 0.602383  ],807-1049,"[0.6238093, 0.5987996]","[0.558502, 0.4810213]",certa
38,"{'ltable_name': 0.34, 'ltable_description': 0.34, 'ltable_price': 0.34, 'rtable_name': 0.415, 'rtable_description': 0.415, 'rtable_price': 0.415, 'type': 'certa'}",0.0,12.949791619030293,1.0,[0.2921985  0.70780146],889-579,"[0.72619325, 0.6953961]","[0.7070622, 0.35431787]",certa
39,"{'ltable_name': 0.4075, 'ltable_description': 0.4075, 'ltable_price': 0.4075, 'rtable_name': 0.3475, 'rtable_description': 0.3475, 'rtable_price': 0.3475, 'type': 'certa'}",0.0,13.618515972048044,1.0,[0.28606668 0.71393335],611-675,"[0.7137619, 0.71986485]","[0.7145226, 0.45558915]",certa
40,"{'ltable_name': 0.415, 'rtable_name': 0.3325, 'ltable_description': 0.14, 'ltable_price': 0.14, 'rtable_description': 0.1125, 'rtable_price': 0.1125, 'type': 'certa'}",0.0,17.121399172989186,1.0,[0.29190302 0.70809704],741-834,"[0.7078512, 0.7078512]","[0.70333016, 0.67916757]",certa
41,"{'ltable_name': 0.43, 'ltable_description': 0.43, 'ltable_price': 0.43, 'rtable_name': 0.325, 'rtable_description': 0.325, 'rtable_price': 0.325, 'type': 'certa'}",0.0,16.201452349952888,1.0,[0.2888891 0.7111109],439-581,"[0.7122586, 0.7537049]","[0.7052845, 0.45836633]",certa
42,"{'ltable_name': 0.3775, 'rtable_name': 0.3775, 'ltable_description': 0.1275, 'ltable_price': 0.1275, 'rtable_description': 0.1275, 'rtable_price': 0.1275, 'type': 'certa'}",0.0,17.785154332988895,1.0,[0.2918586  0.70814145],680-1076,"[0.7074235, 0.7074235]","[0.702889, 0.4855021]",certa
43,"{'ltable_name': 0.37, 'ltable_description': 0.37, 'ltable_price': 0.37, 'rtable_name': 0.385, 'rtable_description': 0.385, 'rtable_price': 0.385, 'type': 'certa'}",0.0,13.240057345945388,1.0,[0.40004033 0.5999597 ],106-4,"[0.5965348, 0.59695536]","[0.6058194, 0.69753766]",certa
44,"{'ltable_name': 0.3775, 'ltable_description': 0.3775, 'ltable_price': 0.3775, 'rtable_name': 0.3775, 'rtable_description': 0.3775, 'rtable_price': 0.3775, 'type': 'certa'}",0.0,13.675212371977977,1.0,[0.41097337 0.5890267 ],312-487,"[0.5651002, 0.55783844]","[0.5130156, 0.59211874]",certa
45,"{'ltable_name': 0.3475, 'ltable_description': 0.3475, 'ltable_price': 0.3475, 'rtable_name': 0.4075, 'rtable_description': 0.4075, 'rtable_price': 0.4075, 'type': 'certa'}",0.0,13.035855618014466,1.0,[0.35391918 0.6460808 ],647-855,"[0.7040805, 0.6966741]","[0.5090071, 0.47341985]",certa
