,ltable_name,ltable_description,ltable_price,rtable_name,rtable_description,rtable_price,alteredAttributes,droppedValues,copiedValues,nomatch_score,match_score,attr_count
0,garmin streetpilot c330 dash mount black finish 0101061300,lg 2.0 cu . ft. over-the-range white microwave oven lmvm2085wh warming lamp glide & spin sliding tray with turntable sensor cook feature 300 cfm exhaust system horizontal keypad elegant hidden vent wideview window halogen cooktop lighting white finish,,maytag 2.0 cu . ft. over-the-range microwave oven,,,"('ltable_name',)",['lg 2.0 cu . ft. over-the-range white microwave oven lmvm2085wh'],['garmin streetpilot c330 dash mount black finish 0101061300'],0.6918453574180603,0.3081546127796173,2
1,sony digital photo printer paper 40 pack svmf40p,panasonic black 8.5 ' portable dvd player dvdls83 8.5 ' free style wide screen lcd display 6 hour battery multi format playback dual headphone jacks divx playback car dc adapter included black finish,,toshiba sd-p71s portable dvd player,toshiba sd-p71s 7 ' portable dvd player,119.36,"('ltable_name',)","[""panasonic black 8.5 ' portable dvd player dvdls83""]",['sony digital photo printer paper 40 pack svmf40p'],0.701454222202301,0.298545777797699,2
2,canon charger and rechargable aa battery kit 1169b001,panasonic dect 6.0 expandable digital cordless phone with all-digital answering system kxtg9344t 4 handsets system up to 6 multi-handset capability digital answering machine system ringer id call waiting caller id voicemail hold voice menu marker message mute clock alarm led lighting night mode call block speakerphone 11 days standby 5 hours talk time black metallic finish,139.0,panasonic kx-tg9342t cordless phone,"1 x phone line ( s ) black , metallic",,"('ltable_name',)",['panasonic dect 6.0 expandable digital cordless phone with all-digital answering system kxtg9344t'],['canon charger and rechargable aa battery kit 1169b001'],0.6652662754058838,0.3347337245941162,2
3,universal ir/rf aeros remote control - mx850 mx850,sony dsch10 cyber-shot black digital camera dsch10b 8.1 megapixels 3.0 ' lcd display carl zeiss 10x optical zoom lens 31 mb internal memory versatile flash advanced sports mode 9-point auto focus high sensitivity mode burst mode face detection in-camera retouching super steadyshot optical image stabilization with anti-blur solution music slideshow hdtv compatibility stamina battery power beginner-friendly function guide black finish,,sony handycam dcr-sr85 digital camcorder dcrsr85,16:9 2.7 ' hybrid lcd,375.8,"('ltable_name',)",['sony cyber-shot black digital camera dsch10b'],['universal ir/rf aeros remote control - mx850 mx850'],0.6701476573944092,0.3298523724079132,2
4,sharp over the counter white microwave oven r1211wh,olympus black 10 megapixels digital camera sp565uz dual image stabilization 10 megapixels 20x wide-angle zoom lens pre-capture face detection 33 shooting modes 48mb internal memory black finish,,olympus ps-bls1 lithium ion digital camera battery 260236,lithium ion ( li-ion ) photo battery,,"('ltable_name',)",['olympus black 10 megapixels digital camera sp565uz'],['sharp over the counter white microwave oven r1211wh'],0.7160598039627075,0.2839401662349701,2
5,samsung dlp tv stand in black tr72bx,"canon black rechargeable battery 9612a001 lithium-ion technology compatible with canon digital rebel xt and powershot s series digital cameras also compatible with canon elura series , optura series and zr series camcorders black finish",,canon canon cb-2lw battery charger 0763b001,,,"('ltable_name',)",['canon black rechargeable battery 9612a001'],['samsung dlp tv stand in black tr72bx'],0.6700133681297302,0.32998669147491455,2
6,sony memory stick usb adaptor msacus40,canon silver powershot digital camera sd880is 10 megapixel 4x optical zoom optical image stabilizer 3.0 ' purecolor lcd ii digic 4 image processor face detection self-timer red-eye correction 19 shooting modes print/share button silver finish,,canon dc310 digital camcorder 2694b001,"canon dc310 dvd camcorder w / 41x advanced zoom , built-in lens cover , image stabilization , & canon exclusive - digic dv ii",289.95,"('ltable_name',)",['canon silver powershot digital camera sd880is'],['sony memory stick usb adaptor msacus40'],0.696397066116333,0.30360299348831177,2
7,canon charger and rechargable aa battery kit 1169b001,"audiovox commander mt xm satellite radio receiver xmrvrfm002 , dual line display tuneselect feature universal connector scan and jump features full function remote black finish",,directed electronics sportster 4 sirius satellite radio receiver sp4tk1,xs fm transmitter 6 lines lcd,169.99,"('ltable_name',)",['audiovox commander mt xm satellite radio receiver xmrvrfm002'],['canon charger and rechargable aa battery kit 1169b001'],0.6744167804718018,0.32558318972587585,2
8,garmin 010-10723-03 nuvi suction cup mount 0101072303,olympus black 10 megapixels digital camera sp565uz dual image stabilization 10 megapixels 20x wide-angle zoom lens pre-capture face detection 33 shooting modes 48mb internal memory black finish,,sony cyber-shot dsc-h50 digital camera black dsch50b,9.1 megapixel 16:9 2x digital zoom 3 ' active matrix tft color lcd,329.0,"('ltable_name',)",['olympus black 10 megapixels digital camera sp565uz'],['garmin 010-10723-03 nuvi suction cup mount 0101072303'],0.7066659331321716,0.293334037065506,2
9,lg titanium bottom-freezer refrigerator lrbp1031tt,panasonic black expandable digital cordless dect 6.0 phone system kxtg9348t automatic clarity booster 5 hours talk time 11 days standby white backlit lcd 6-step speakerphone volume 1 drop & splash resistant phone 1.9 ghz frequency range night mode black finish,,panasonic kx-tga670b cordless handset,panasonic kx-tga670b additional handset for pankxtg6700b,,"('ltable_name',)",['panasonic black expandable digital cordless dect 6.0 phone system kxtg9348t'],['lg titanium bottom-freezer refrigerator lrbp1031tt'],0.7075040340423584,0.2924959063529968,2
