,explanation,label,latency,match,prediction,row,score_copy,score_drop,type
0,"{'ltable_description': -0.0010345542834866394, 'ltable_id': -0.01128075497789505, 'ltable_name': 0.014582633497911794, 'rtable_id': -0.019947140873424554, 'rtable_name': 0.019343780788102997, 'type': 'mojito'}",0.0,1.3823570879758336,1.0,[0.39660192 0.6033981 ],719-812,"[0.59074944, 0.59074944]","[0.6531928, 0.72765094]",mojito-d
1,"{'ltable_description': 0.01727496769783674, 'ltable_id': 0.0077184410111422784, 'ltable_name': 0.009162879597065306, 'rtable_description': 0.025915487786364103, 'rtable_name': 0.012291726191963892, 'type': 'mojito'}",0.0,1.197546206007246,1.0,[0.2857195 0.7142804],550-664,"[0.7123706, 0.7123706]","[0.71569073, 0.7874498]",mojito-d
2,"{'ltable_description': 0.009565710127881393, 'ltable_name': -0.0015685744597795474, 'rtable_description': -0.00999538811835235, 'type': 'mojito'}",0.0,1.5918693179846741,1.0,[0.28930807 0.7106919 ],643-636,"[0.7166642, 0.7166642]","[0.72330534, 0.72330534]",mojito-d
3,"{'ltable_description': 0.014161915769491983, 'rtable_description': 0.04617569686902611, 'type': 'mojito'}",0.0,1.5924301900085993,1.0,[0.2864328 0.7135672],495-578,"[0.6884353, 0.6884353]","[0.7225003, 0.76876307]",mojito-d
4,"{'ltable_description': 0.006548840904651092, 'ltable_name': 0.017357881370678323, 'rtable_description': 0.019032812158574323, 'rtable_name': -0.007869112501014935, 'type': 'mojito'}",0.0,1.2371630769921467,1.0,[0.30629814 0.6937018 ],994-336,"[0.68210185, 0.68356663]","[0.6971806, 0.68244416]",mojito-d
5,"{'ltable_description': 0.014354502406316366, 'ltable_name': 0.010659751937670298, 'rtable_name': 0.03338386878499327, 'type': 'mojito'}",0.0,0.9549521619919688,1.0,[0.30043048 0.6995695 ],808-127,"[0.7182391, 0.76241434]","[0.51416594, 0.55694383]",mojito-d
6,"{'ltable_description': 0.015460078682843202, 'ltable_id': 0.01243253010394693, 'ltable_name': 0.015695618587620207, 'rtable_description': 0.010264667039214994, 'rtable_name': 0.015663499034155585, 'type': 'mojito'}",0.0,1.3780307560227811,1.0,[0.22867897 0.771321  ],987-980,"[0.7546752, 0.7546752]","[0.751544, 0.7696919]",mojito-d
7,"{'ltable_description': 0.021854003750977173, 'rtable_description': 0.02504806710727013, 'rtable_name': 0.022998414743044236, 'rtable_price': 0.03107665430123392, 'type': 'mojito'}",0.0,1.3475094820023514,1.0,[0.44447625 0.5555237 ],332-237,"[0.5542465, 0.54686093]","[0.5424042, 0.54381216]",mojito-d
8,"{'ltable_description': 0.016928972334491213, 'ltable_name': 0.010102645905343554, 'rtable_description': 0.021876717008938482, 'rtable_id': 0.02607661903759777, 'rtable_name': 0.017260151285379104, 'rtable_price': 0.024355707830732355, 'type': 'mojito'}",0.0,1.2752228860044852,1.0,[0.30129665 0.69870335],994-732,"[0.6978392, 0.698021]","[0.6584075, 0.6550179]",mojito-d
9,"{'ltable_description': 0.026364271955637508, 'ltable_name': 0.03163718773928893, 'rtable_description': 0.006762205032099123, 'rtable_name': 0.0286594016799077, 'type': 'mojito'}",0.0,1.3395441159955226,1.0,[0.29518315 0.7048168 ],764-141,"[0.70477146, 0.70477146]","[0.7045625, 0.73598766]",mojito-d
10,"{'ltable_description': 0.017490024260972552, 'ltable_name': 0.016819544314172555, 'rtable_description': 0.014265538621735826, 'rtable_name': 0.012640991359825203, 'rtable_price': 0.010888111769235804, 'type': 'mojito'}",0.0,0.9828536030254327,1.0,[0.3524831  0.64751685],805-399,"[0.6984297, 0.752245]","[0.7085545, 0.621]",mojito-d
11,"{'ltable_description': 0.019458671985442044, 'ltable_id': 0.008108335502744896, 'rtable_description': 0.018353460769037253, 'rtable_name': 0.016095577314115376, 'type': 'mojito'}",0.0,1.420978779962752,1.0,[0.26942772 0.7305723 ],987-653,"[0.7493227, 0.7493227]","[0.79275614, 0.8023085]",mojito-d
12,"{'ltable_description': 0.010300592278362542, 'ltable_name': 0.01529450908703228, 'rtable_description': 0.011729668237222234, 'rtable_id': 0.008034901531300027, 'rtable_name': 0.01160894926082965, 'type': 'mojito'}",0.0,1.4647120850277133,1.0,[0.2917084  0.70829165],710-660,"[0.70834595, 0.7082205]","[0.7114294, 0.71798515]",mojito-d
